"Cluster","CO_ID","CI01","CI02","CI06","CI07","CI08","CO_E01","CO_E02","CO_E03","CO_E04","CO_E05","CO_E06","CO_E07","Basicweight"
7,6,1,1,1,1,1,11,"Amakusanyirizo y!amata",0,2,,,,22.7114407894737
7,6,1,1,1,1,1,20,"Aho basharija/bakora telefoni",2,,2016,1,1,22.7114407894737
7,6,1,1,1,1,1,8,"Poste de sante cg Farumasi",4,,888,1,1,22.7114407894737
7,6,1,1,1,1,1,12,"Amashami ya Banki",0,2,,,,22.7114407894737
7,6,1,1,1,1,1,6,"Amavuriro y!igenga",3,,888,1,1,22.7114407894737
8,7,1,1,1,1,1,18,"Aho bajya inama bakanatanga serivisi z!ubuhinzi",0,3,,,,28.8663050239234
8,7,1,1,1,1,1,17,"Imiryango itari ibigo by!imari itari iya leta",0,3,,,,28.8663050239234
8,7,1,1,1,1,1,15,"Ibiro by!iposita",0,3,,,,28.8663050239234
8,7,1,1,1,1,1,11,"Amakusanyirizo y!amata",0,0,,,,28.8663050239234
8,7,1,1,1,1,1,5,"Bus stop",1,,888,1,1,28.8663050239234
8,7,1,1,1,1,1,19,"Insyo/amabarizo/aho bakora amavuta ateka",0,1,,,,28.8663050239234
8,7,1,1,1,1,1,21,"Ipompo izamura amazi ikoresha amashanyarazi",0,8,,,,28.8663050239234
8,7,1,1,1,1,1,14,"Poste ya polisi",0,0,,,,28.8663050239234
8,7,1,1,1,1,1,6,"Amavuriro y!igenga",0,1,,,,28.8663050239234
8,7,1,1,1,1,1,10,"Amasoko",0,1,,,,28.8663050239234
8,7,1,1,1,1,1,13,"Ibigo by!imari iciriritse",0,1,,,,28.8663050239234
8,7,1,1,1,1,1,2,"Ibigo by!amashuri yibanza",0,2,,,,28.8663050239234
8,7,1,1,1,1,1,7,"Amavuriro ya Leta/Ikigo nderabuzima",0,2,,,,28.8663050239234
8,7,1,1,1,1,1,16,"Aho abantu babonera Internet",0,2,,,,28.8663050239234
8,7,1,1,1,1,1,4,"TVET (technical vocational training institution)",0,1,,,,28.8663050239234
8,7,1,1,1,1,1,12,"Amashami ya Banki",0,2,,,,28.8663050239234
8,7,1,1,1,1,1,3,"Ibigo by!amashuri yisumbuye",0,2,,,,28.8663050239234
8,7,1,1,1,1,1,8,"Poste de sante cg Farumasi",0,0,,,,28.8663050239234
8,7,1,1,1,1,1,20,"Aho basharija/bakora telefoni",0,1,,,,28.8663050239234
8,7,1,1,1,1,1,1,"Ibigo by!amashuri y!incuke",1,,2007,1,1,28.8663050239234
8,7,1,1,1,1,1,22,"Kiliziya/Umusigiti/Urusengero",1,,2001,1,1,28.8663050239234
8,7,1,1,1,1,1,23,"Ibiro by!ibigo bya Leta bitanga amashanyarazi",0,1,,,,28.8663050239234
8,7,1,1,1,1,1,9,"Ibitaro",0,2,,,,28.8663050239234
9,8,1,1,1,1,1,8,"Poste de sante cg Farumasi",0,1,,,,19.4070469002695
9,8,1,1,1,1,1,18,"Aho bajya inama bakanatanga serivisi z!ubuhinzi",0,3,,,,19.4070469002695
9,8,1,1,1,1,1,2,"Ibigo by!amashuri yibanza",0,1,,,,19.4070469002695
9,8,1,1,1,1,1,12,"Amashami ya Banki",0,1,,,,19.4070469002695
9,8,1,1,1,1,1,5,"Aho bategera Bus",0,1,,,,19.4070469002695
9,8,1,1,1,1,1,14,"Poste ya polisi",0,2,,,,19.4070469002695
9,8,1,1,1,1,1,1,"Ibigo by!amashuri y!incuke",0,1,,,,19.4070469002695
9,8,1,1,1,1,1,13,"Ibigo by!imari iciriritse",0,2,,,,19.4070469002695
9,8,1,1,1,1,1,21,"Ipompo izamura amazi ikoresha amashanyarazi",0,0,,,,19.4070469002695
9,8,1,1,1,1,1,15,"Ibiro by!iposita",0,3,,,,19.4070469002695
9,8,1,1,1,1,1,10,"Amasoko",0,2,,,,19.4070469002695
9,8,1,1,1,1,1,22,"Kiliziya/Umusigiti/Urusengero",0,1,,,,19.4070469002695
9,8,1,1,1,1,1,7,"Amavuriro ya Leta/Ikigo nderabuzima",0,1,,,,19.4070469002695
9,8,1,1,1,1,1,3,"Ibigo by!amashuri yisumbuye",0,2,,,,19.4070469002695
9,8,1,1,1,1,1,19,"Insyo/amabarizo/aho bakora amavuta ateka",0,3,,,,19.4070469002695
9,8,1,1,1,1,1,23,"Ibiro by!ibigo bya Leta bitanga amashanyarazi",0,2,,,,19.4070469002695
9,8,1,1,1,1,1,6,"Amavuriro y!igenga",0,1,,,,19.4070469002695
9,8,1,1,1,1,1,20,"Aho basharija/bakora telefoni",1,,2015,1,1,19.4070469002695
9,8,1,1,1,1,1,11,"Amakusanyirizo y!amata",0,1,,,,19.4070469002695
9,8,1,1,1,1,1,9,"Ibitaro",0,3,,,,19.4070469002695
9,8,1,1,1,1,1,17,"Imiryango itari ibigo by!imari itari iya leta",0,3,,,,19.4070469002695
9,8,1,1,1,1,1,4,"Ikigo cy!amashuri y!imyuga  (TVET)",0,3,,,,19.4070469002695
9,8,1,1,1,1,1,16,"Aho abantu babonera Internet",0,3,,,,19.4070469002695
