"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","K1A","K1B","K1C","K1D","K2A","K2B","K2C","K2D","K3A","K3B","K3C","K3D","K4A","K4B","K4C","K4D","K5A","K5B","K5C","K5D","K6A","K6B","K6C","K6D","K7A","K7B","K7C","K7D","K8A","K8B","K8C","K8D","K9A","K9B","K9C","K9D","L1A","L2A","L3A","L4A_1","L4A_2","L4A_3","L4A_4","L4A_5","L5A","L6A","L7A","L8A","L9A","L1B","L2B","L3B","L4B_1","L4B_2","L4B_3","L4B_4","L4B_5","L5B","L6B","L7B","L8B","L9B","L1C","L2C","L3C","L4C_1","L4C_2","L4C_3","L4C_4","L4C_5","L5C","L6C","L7C","L8C","L9C","L1D","L2D","L3D","L4D_1","L4D_2","L4D_3","L4D_4","L4D_5","L5D","L6D","L7D","L8D","L9D","L1E","L2E","L3E","L4E_1","L4E_2","L4E_3","L4E_4","L4E_5","L5E","L6E","L7E","L8E","L9E","hhid","camp","ref_weight"
2,25,93,2,11,3,81.83583,,,,,80,0,0,,60,0,60,,0,0,0,,360,0,360,,60,0,120,,0,0,0,,0,0,60,,30,0,60,,1,1,0,,,,,,0,0,0,,0,1,1,0,,,,,,0,0,0,,0,1,0,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,259301102,,
2,25,93,2,12,3,81.83583,,,,,70,,0,,30,,30,,0,,0,,240,,0,,40,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259301202,,
2,25,93,2,13,3,81.83583,,,,,20,,20,,0,,0,,0,,0,,0,,0,,0,,0,,60,,0,,0,,60,,0,,30,,1,0,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259301302,,
2,25,93,2,14,3,81.83583,,,,,30,,0,,30,,0,,0,,0,,480,,480,,0,,30,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,259301402,,
2,25,93,2,15,3,81.83583,,,,,60,,60,,0,,0,,0,,0,,360,,180,,120,,120,,120,,0,,60,,60,,360,,360,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259301502,,
2,25,93,2,16,3,60.3000852631579,,,,,90,,0,,30,,60,,0,,0,,300,,540,,240,,120,,0,,0,,60,,60,,0,,0,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,1,0,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259301602,,
2,25,93,2,17,3,81.83583,,,,,120,,90,60,60,,60,60,120,,120,120,600,,600,0,120,,120,120,120,,120,120,30,,30,0,120,,120,120,2,2,0,,,,,,1,0,0,,0,,,,,,,,,,,,,,4,4,0,,,,,,1,0,0,,0,1,1,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,259301702,,
2,25,93,2,18,3,81.83583,,,,,125,0,90,0,60,0,60,0,0,0,0,0,360,0,480,0,120,180,180,120,0,60,0,60,360,60,360,60,60,60,60,60,0,,0,,,,,,0,0,0,,0,1,1,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,259301802,,
2,25,94,2,1,3,84.76505,,,,,60,,,,240,,,,0,,,,230,,,,0,,,,0,,,,0,,,,0,,,,0,,0,,,,,,1,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259400102,,
2,25,94,2,2,3,84.76505,,,,,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,259400202,,
2,25,94,2,3,3,84.76505,,,,,120,,0,,120,,60,,60,,60,,0,,540,,120,,60,,0,,0,,0,,60,,60,,60,,1,0,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,1,0,0,,,,,,0,0,0,,1,,,,,,,,,,,,,,1,1,0,,,,,,0,0,0,,0,259400302,,
2,25,94,2,4,3,84.76505,,,,,0,,0,,90,,60,,0,,0,,360,,720,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,1,1,1,0,1,0,0,0,0,0,0,,0,259400402,,
2,25,94,2,6,3,84.76505,,,,,180,,,,0,,,,0,,,,300,,,,180,,,,0,,,,0,,,,0,,,,1,1,1,0,0,0,0,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259400602,,
2,25,94,2,7,3,84.76505,,,,,,,60,,,,120,,,,0,,,,0,,,,120,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259400702,,
2,25,94,2,8,3,84.76505,,,,,60,,90,0,120,,120,120,0,,60,120,540,,540,0,120,,60,120,0,,120,120,0,,0,0,120,,120,120,1,0,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,259400802,,
2,25,94,2,9,3,84.76505,,,,,,,30,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259400902,,
2,25,94,2,10,3,84.76505,,,,,60,,0,0,90,,0,0,0,,0,0,360,,0,0,90,,90,120,0,,0,540,0,,0,0,0,,0,0,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,259401002,,
2,25,94,2,11,3,84.76505,,,,,120,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,0,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,259401102,,
2,25,94,2,12,3,84.76505,,,,,90,,0,,90,,60,,0,,60,,360,,480,,120,,120,,0,,0,,60,,90,,90,,90,,1,1,1,0,0,1,0,0,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259401202,,
2,25,94,2,13,3,84.76505,,,,,,,30,,,,0,,,,0,,,,480,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259401302,,
2,25,94,2,14,3,84.76505,,,,,180,0,0,,120,120,120,,60,60,0,,540,0,540,,60,60,60,,120,120,0,,0,0,0,,0,0,0,,1,0,0,,,,,,0,0,0,,0,1,0,0,,,,,,1,0,0,,0,1,0,0,,,,,,1,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,259401402,,
2,25,94,2,15,3,84.76505,,,,,120,,60,60,0,,0,120,0,,0,0,0,,890,0,60,,120,320,60,,120,250,60,,520,0,90,,300,520,1,1,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,259401502,,
2,25,94,2,16,3,84.76505,,,,,90,120,0,60,30,0,10,0,0,30,0,0,360,0,360,0,0,60,60,60,0,30,0,30,0,0,0,0,0,0,30,0,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,1,0,0,,,,,,0,0,0,,0,259401602,,
2,25,94,2,17,3,84.76505,,,,,160,,0,0,60,,60,0,30,,30,0,360,,360,0,30,,60,30,0,,0,0,60,,60,0,60,,60,0,1,0,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,1,1,0,,,,,,0,0,0,,0,259401702,,
2,25,94,2,18,3,84.76505,,,,,30,30,0,0,20,60,15,300,0,60,0,45,360,0,360,0,60,300,45,300,0,45,0,240,0,0,0,0,0,0,0,0,1,0,0,,,,,,0,1,1,0,1,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,259401802,,
2,25,94,2,19,3,84.76505,,,,,120,0,120,0,20,0,30,0,120,30,30,0,300,0,300,0,30,30,120,60,0,30,0,60,60,0,60,0,30,0,60,0,0,,0,,,,,,1,0,0,,0,0,,,,,,,,0,0,0,,0,1,0,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,1,0,0,,0,259401902,,
2,25,95,2,1,3,64.8652657239057,,,,,,,30,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259500102,,
2,25,95,2,3,3,64.8652657239057,,,,,20,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259500302,,
2,25,95,2,4,3,64.8652657239057,,,,,,,30,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259500402,,
2,25,95,2,5,3,64.8652657239057,,,,,60,120,90,,120,60,120,,0,0,0,,120,0,420,,180,180,180,,0,120,0,,0,0,0,,0,0,0,,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259500502,,
2,25,95,2,6,3,64.8652657239057,,,,,60,,,,0,,,,0,,,,360,,,,120,,,,180,,,,0,,,,0,,,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259500602,,
2,25,95,2,7,3,66.31664,,,,,120,,30,,120,,120,,120,,60,,600,,600,,60,,60,,60,,60,,60,,60,,60,,60,,1,1,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,259500702,,
2,25,95,2,8,3,64.8652657239057,,,,,60,0,0,,90,0,60,,90,0,0,,0,0,480,,120,120,120,,0,540,0,,60,60,90,,90,90,90,,1,1,1,1,1,1,0,0,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259500802,,
2,25,95,2,9,3,64.8652657239057,,,,,90,90,0,0,90,0,90,0,0,0,0,0,360,0,480,0,90,120,120,120,0,60,0,60,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,,0,1,0,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,259500902,,
2,25,95,2,10,3,64.8652657239057,,,,,90,,,,90,,,,0,,,,480,,,,90,,,,0,,,,120,,,,120,,,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,259501002,,
2,25,95,2,11,3,66.31664,,,,,120,0,120,,240,120,120,,60,60,60,,600,0,600,,60,60,60,,60,60,60,,120,120,120,,60,60,60,,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259501102,,
2,25,95,2,12,3,64.8652657239057,,,,,150,,90,0,60,,45,120,60,,30,120,480,,480,0,180,,540,180,0,,0,120,0,,0,0,0,,0,0,1,1,0,,,,,,1,0,0,,0,,,,,,,,,,,,,,1,1,0,,,,,,0,0,0,,0,2,2,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,259501202,,
2,25,95,2,13,3,66.31664,,,,,120,60,0,0,320,120,60,120,45,60,45,60,490,0,480,0,0,0,20,300,240,300,0,350,0,240,60,0,90,0,90,0,0,,0,,,,,,0,0,0,,0,1,1,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,1,1,0,,,,,,0,0,0,,0,259501302,,
2,25,95,2,14,3,66.31664,,,,,120,,,,0,,,,0,,,,180,,,,60,,,,0,,,,45,,,,60,,,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259501402,,
2,25,95,2,15,3,66.31664,,,,,150,120,0,,0,0,0,,0,0,0,,600,0,660,,60,120,120,,120,60,120,,180,0,180,,0,0,0,,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259501502,,
2,25,95,2,16,3,66.31664,,,,,120,120,0,0,20,30,0,0,60,45,45,45,580,0,0,0,60,300,300,300,60,480,450,360,90,60,30,45,90,60,85,60,2,1,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,259501602,,
2,25,95,2,17,3,66.31664,,,,,120,120,0,0,60,0,120,60,30,60,0,50,360,0,840,0,60,60,60,60,0,60,0,60,0,0,120,0,0,0,120,0,0,,0,,,,,,0,0,0,,0,1,1,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,259501702,,
2,25,95,2,18,3,64.8652657239057,,,,,30,,0,,30,,0,,0,,0,,0,,0,,60,,0,,0,,0,,0,,0,,0,,0,,1,0,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259501802,,
2,25,95,2,21,3,64.8652657239057,,,,,150,0,0,0,30,60,60,30,0,30,0,30,0,0,360,0,30,60,60,60,0,30,0,30,0,0,120,0,0,0,0,0,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,259502102,,
2,25,96,2,1,3,160.396731614907,,,,,20,,20,,0,,0,,0,,30,,0,,480,,0,,0,,60,,30,,0,,0,,0,,0,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259600102,,
2,25,96,2,2,3,11.79711,,,,,170,0,60,0,120,0,30,0,30,0,0,0,0,0,0,0,60,120,120,120,60,60,60,0,60,0,60,0,180,60,60,0,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,259600202,,
2,25,96,2,3,3,160.396731614907,,,,,30,0,0,0,180,120,60,60,0,0,0,0,360,0,720,0,180,120,180,120,60,60,0,60,60,0,60,0,0,0,0,0,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,1,1,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,259600302,,
2,25,96,2,4,3,11.79711,,,,,120,,0,0,60,,60,0,0,,0,0,480,,540,0,60,,120,120,0,,0,90,90,,120,120,90,,120,120,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,259600402,,
2,25,96,2,5,3,160.396731614907,,,,,120,,120,,240,,60,,180,,60,,360,,360,,180,,240,,45,,45,,0,,60,,60,,60,,1,1,0,,,,,,0,0,0,,1,,,,,,,,,,,,,,4,4,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259600502,,
2,25,96,2,6,3,160.396731614907,,,,,15,0,,,120,120,,,120,120,,,720,0,,,120,120,,,0,120,,,0,0,,,0,0,,,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259600602,,
2,25,96,2,7,3,160.396731614907,,,,,30,20,,,0,0,,,0,0,,,320,0,,,0,60,,,0,60,,,0,0,,,0,0,,,2,1,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259600702,,
2,25,96,2,8,3,160.396731614907,,,,,60,,0,,0,,0,,0,,0,,480,,480,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259600802,,
2,25,96,2,9,3,160.396731614907,,,,,150,,120,,0,,0,,0,,0,,720,,0,,60,,60,,0,,0,,60,,60,,60,,60,,1,1,0,,,,,,1,0,0,,0,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259600902,,
2,25,96,2,10,3,11.79711,,,,,60,,0,,0,,0,,0,,0,,540,,540,,120,,120,,0,,0,,60,,90,,90,,120,,1,1,1,1,1,0,0,0,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259601002,,
2,25,96,2,11,3,11.79711,,,,,120,0,0,0,90,0,60,0,60,0,60,0,540,0,600,0,120,120,120,120,60,60,0,60,60,60,90,120,60,120,120,120,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,259601102,,
2,25,96,2,12,3,11.79711,,,,,60,,0,0,60,,0,60,0,,0,30,360,,360,0,0,,120,120,0,,0,60,0,,60,60,0,,0,0,1,1,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,259601202,,
2,25,96,2,13,3,11.79711,,,,,30,,0,120,60,,60,90,30,,60,45,600,,600,0,40,,60,320,60,,90,320,40,,60,0,45,,60,180,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,259601302,,
2,25,96,2,14,3,11.79711,,,,,90,0,0,0,60,30,30,30,30,60,0,30,480,0,480,0,30,60,60,30,0,60,0,60,30,0,60,0,30,60,60,30,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,259601402,,
2,25,96,2,15,3,11.79711,,,,,120,90,0,,30,60,60,,60,60,0,,300,0,0,,60,60,60,,0,60,30,,0,0,60,,60,30,60,,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259601502,,
2,25,96,2,16,3,11.79711,,,,,30,0,0,,60,0,30,,30,0,0,,0,0,0,,30,300,120,,60,300,30,,45,0,60,,120,180,240,,1,1,0,,,,,,0,0,0,,0,1,1,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259601602,,
2,25,96,2,17,3,11.79711,,,,,180,0,0,0,120,0,120,0,0,0,0,0,360,0,720,0,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,259601702,,
2,25,96,2,18,3,11.79711,,,,,120,,0,,20,,20,,0,,0,,600,,600,,30,,30,,45,,60,,120,,150,,60,,90,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259601802,,
2,25,97,2,1,3,66.53046,,,,,30,,30,,0,,0,,0,,0,,480,,480,,0,,0,,0,,0,,0,,60,,0,,60,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259700102,,
2,25,97,2,2,3,66.53046,,,,,90,,0,,0,,0,,0,,0,,480,,480,,90,,120,,0,,0,,60,,60,,60,,90,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,1,1,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259700202,,
2,25,97,2,3,3,66.53046,,,,,120,0,0,60,60,60,0,30,0,60,0,60,360,0,360,0,60,60,180,60,0,60,0,60,0,0,60,0,0,0,60,0,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,259700302,,
2,25,97,2,4,3,66.53046,,,,,,,0,,,,120,,,,60,,,,480,,,,240,,,,360,,,,240,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259700402,,
2,25,97,2,5,3,66.53046,,,,,180,0,0,,120,120,120,,60,60,0,,420,600,0,,180,120,600,,0,0,0,,0,0,0,,0,0,0,,1,0,0,,,,,,1,0,0,,0,1,1,0,,,,,,0,0,0,,0,1,1,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259700502,,
2,25,97,2,6,3,66.53046,,,,,38,60,30,60,20,60,20,45,30,45,60,0,45,45,45,45,50,50,36,50,40,40,40,40,50,30,60,60,30,60,60,60,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,259700602,,
2,25,97,2,7,3,66.53046,,,,,150,,120,0,60,,60,60,0,,60,60,0,,720,0,480,,240,240,0,,0,120,0,,0,0,0,,0,0,1,0,0,,,,,,1,0,0,,0,,,,,,,,,,,,,,1,0,0,,,,,,0,0,0,,0,1,0,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,259700702,,
2,25,97,2,8,3,66.53046,,,,,120,0,0,0,60,60,0,0,60,60,0,60,360,0,360,0,60,50,120,60,0,60,0,60,0,0,0,0,0,0,0,0,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,259700802,,
2,25,97,2,9,3,66.53046,,,,,180,,0,,0,,0,,0,,0,,180,,300,,120,,120,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259700902,,
2,25,97,2,10,3,66.53046,,,,,120,,,,0,,,,0,,,,0,,,,0,,,,0,,,,40,,,,40,,,,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259701002,,
2,25,97,2,11,3,66.53046,,,,,150,0,0,,120,240,120,,60,60,120,,600,0,600,,120,120,240,,0,60,0,,60,0,120,,240,120,240,,1,0,0,,,,,,0,0,0,,0,1,1,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259701102,,
2,25,97,2,12,3,66.53046,,,,,60,0,0,,60,30,60,,0,30,60,,360,0,540,,120,60,240,,0,60,0,,60,60,120,,60,60,120,,0,,0,,,,,,0,0,0,,0,1,1,1,0,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,,0,259701202,,
2,25,97,2,13,3,66.53046,,,,,120,120,0,,180,180,60,,45,45,0,,300,0,480,,60,300,90,,60,400,240,,30,0,90,,60,120,30,,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,259701302,,
2,25,97,2,14,3,66.53046,,,,,100,0,0,0,180,60,120,0,0,0,0,0,360,0,420,0,60,0,60,0,0,60,0,0,120,0,120,0,0,0,0,0,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,259701402,,
2,25,97,2,15,3,66.53046,,,,,60,0,0,0,60,30,30,60,0,0,30,45,320,0,0,0,30,240,60,300,0,240,250,240,60,30,240,90,60,60,90,90,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,1,1,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,259701502,,
2,25,97,2,16,3,66.53046,,,,,120,,0,0,120,,120,120,0,,0,0,360,,360,0,120,,120,180,120,,0,60,60,,60,0,0,,0,0,0,,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,259701602,,
2,25,97,2,17,3,66.53046,,,,,60,0,0,,120,0,60,,30,0,30,,360,0,540,,90,120,90,,0,60,0,,60,90,120,,60,90,120,,0,,0,,,,,,0,0,0,,0,2,0,0,,,,,,0,0,0,,0,1,0,1,1,1,0,0,0,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,259701702,,
2,25,97,2,18,3,66.53046,,,,,120,120,0,0,60,90,120,240,60,45,0,0,240,0,300,0,60,250,20,240,60,320,60,240,90,0,45,0,60,200,420,240,0,,0,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,0,0,0,,0,259701802,,
2,25,98,2,1,3,35.5647948387097,,,,,120,,0,,0,,0,,0,,0,,0,,0,,120,,120,,0,,0,,30,,30,,60,,60,,1,0,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,1,0,0,,,,,,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,259800102,,
2,25,98,2,2,3,35.5647948387097,,,,,120,,0,,360,,120,,0,,0,,360,,360,,60,,90,,60,,0,,60,,60,,45,,60,,1,0,0,,,,,,0,0,0,,0,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,1,0,0,,,,,,0,0,0,,0,259800202,,
