"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","F11","F12","F13","F14","F15","F16","hhid","camp","ref_weight"
1,11,11,1,14,1,486.8112,5,0,,,,,111101401,,
1,11,11,1,15,1,486.8112,7,0,,,,,111101501,,
1,11,11,1,16,1,486.8112,1,0,,,,,111101601,,
1,11,11,1,17,1,486.8112,5,0,,,,,111101701,,
1,11,11,1,18,1,486.8112,5,0,,,,,111101801,,
1,12,12,2,1,1,699.2959,3,0,,,,,121200101,,
1,12,12,2,2,1,73.1642186123348,6,0,,,,,121200201,,
1,12,12,2,3,1,699.2959,6,0,,,,,121200301,,
1,12,12,2,4,1,73.1642186123348,6,0,,,,,121200401,,
1,12,12,2,5,1,73.1642186123348,1,0,,,,,121200501,,
1,12,12,2,6,1,73.1642186123348,4,0,,,,,121200601,,
1,12,12,2,7,1,73.1642186123348,6,0,,,,,121200701,,
1,12,12,2,8,1,73.1642186123348,4,0,,,,,121200801,,
1,12,12,2,9,1,73.1642186123348,3,0,,,,,121200901,,
1,12,12,2,10,1,699.2959,5,0,,,,,121201001,,
1,12,12,2,11,1,699.2959,2,0,,,,,121201101,,
1,12,12,2,12,1,699.2959,4,0,,,,,121201201,,
1,12,12,2,13,1,699.2959,3,0,,,,,121201301,,
1,12,12,2,14,1,73.1642186123348,1,0,,,,,121201401,,
1,12,12,2,15,1,699.2959,4,0,,,,,121201501,,
1,12,12,2,16,1,699.2959,6,0,,,,,121201601,,
1,12,12,2,17,1,699.2959,6,0,,,,,121201701,,
1,12,12,2,18,1,699.2959,3,0,,,,,121201801,,
1,12,13,2,1,1,736.1804,3,0,,,,,121300101,,
1,12,13,2,2,1,736.1804,4,0,,,,,121300201,,
1,12,13,2,3,1,736.1804,4,0,,,,,121300301,,
1,12,13,2,4,1,736.1804,3,0,,,,,121300401,,
1,12,13,2,5,1,736.1804,3,0,,,,,121300501,,
1,12,13,2,6,1,13.4902167539267,4,0,,,,,121300601,,
1,12,13,2,7,1,13.4902167539267,3,0,,,,,121300701,,
1,12,13,2,8,1,736.1804,6,0,,,,,121300801,,
1,12,13,2,9,1,13.4902167539267,3,0,,,,,121300901,,
