"Cluster","CO_ID","CI01","CI02","CI06","CI07","CI08","CO_F01","CO_F01_YON","CO_F02","CO_F02B","CO_F02_OTHER","CO_F03","CO_F04","CO_F05","CO_F06","Basicweight"
15,14,1,2,1,1,1,3,1,4,,,888,0,,,20.4148122137405
15,14,1,2,1,1,1,6,1,8,34,,13000,0,,,20.4148122137405
16,15,1,2,1,1,1,6,1,8,35,,13000,1,10000,11000,7.50649791666667
16,15,1,2,1,1,1,1,1,1,,,1560,1,1350,1450,7.50649791666667
16,15,1,2,1,1,1,10,0,,,,,,,,7.50649791666667
16,15,1,2,1,1,1,12,0,,,,,,,,7.50649791666667
16,15,1,2,1,1,1,11,0,,,,,,,,7.50649791666667
16,15,1,2,1,1,1,5,0,,,,,,,,7.50649791666667
16,15,1,2,1,1,1,3,1,4,,,888,0,,,7.50649791666667
16,15,1,2,1,1,1,7,0,,,,,,,,7.50649791666667
16,15,1,2,1,1,1,2,0,,,,,,,,7.50649791666667
16,15,1,2,1,1,1,4,1,3,,,250,0,,,7.50649791666667
16,15,1,2,1,1,1,9,0,,,,,,,,7.50649791666667
16,15,1,2,1,1,1,8,0,,,,,,,,7.50649791666667
16,15,1,2,1,1,1,13,0,,,,,,,,7.50649791666667
17,16,1,2,1,1,1,9,0,,,,,,,,3.57904556634304
17,16,1,2,1,1,1,12,0,,,,,,,,3.57904556634304
17,16,1,2,1,1,1,1,1,1,,,1300,1,1250,1333,3.57904556634304
17,16,1,2,1,1,1,6,1,1,,,300,1,240,260,3.57904556634304
17,16,1,2,1,1,1,10,0,,,,,,,,3.57904556634304
17,16,1,2,1,1,1,8,0,,,,,,,,3.57904556634304
17,16,1,2,1,1,1,2,0,,,,,,,,3.57904556634304
17,16,1,2,1,1,1,7,0,,,,,,,,3.57904556634304
17,16,1,2,1,1,1,3,1,4,,,888,0,,,3.57904556634304
17,16,1,2,1,1,1,11,0,,,,,,,,3.57904556634304
17,16,1,2,1,1,1,4,0,,,,,,,,3.57904556634304
17,16,1,2,1,1,1,13,0,,,,,,,,3.57904556634304
17,16,1,2,1,1,1,5,1,5,5,,850,1,700,800,3.57904556634304
