"Cluster","HL_ID","CI01","CI02","CI06","CI07","CI08","HL_B01","HL_B02","HL_B04","HL_B05","HL_B06","HL_B07","HL_B08","HL_B11","HL_B12","HL_B13","HL_B14A","HL_B14B","HL_B15A","HL_B15","HL_B16A","HL_B16B","HL_B17A","HL_B17B","HL_B18","HL_B19","HL_B20","HL_B21","HL_B22","HL_B23","HL_B24","HL_B25","HL_B26","HL_B26_UNITY","HL_B27","HL_B28A","HL_B28B","HL_B29","HL_B30","HL_B31A","HL_B31B","HL_B32","HL_B33_1","HL_B33_2","HL_B33_3","HL_B34","HL_B35","HL_B36","HL_B37","HL_B38","HL_B39","HL_B40","HL_B41","HL_B42","HL_B43","HL_B44","HL_B45","HL_B46","HL_B47","HL_B48","HL_B49","HL_B50","HL_B51","HL_B52A","HL_B52B","HL_B53","HL_B54","HL_B55","HL_B56","HL_B57","HL_B58","HL_B59","HL_B60","HL_B61A","HL_B61B","HL_B61C","HL_B61D","HL_B62A","HL_B62B","HL_B62C","HL_B62D","HL_B63A","HL_B63B","HL_B63C","HL_B63D","HL_B64A","HL_B64B","HL_B64C","HL_B64D","HL_B65A","HL_B65B","HL_B65C","HL_B65D","HL_B66A","HL_B66B","HL_B66C","HL_B66D","HL_B67A","HL_B67B","HL_B67C","HL_B67D","HL_B68A","HL_B68B","HL_B68C","HL_B68D","HL_B69A","HL_B69B","HL_B69C","HL_B69D","HL_B70A","HL_B70B","HL_B70C","HL_B70D","HL_B71A","HL_B71B","HL_B71C","HL_B71D","HL_B72A","HL_B72B","HL_B72C","HL_B72D","HL_B73A","HL_B73B","HL_B73C","HL_B73D","HL_B74A","HL_B74B","HL_B74C","HL_B74D","HL_B75A","HL_B75B","HL_B75C","HL_B75D","HL_B76A","HL_B76B","HL_B76C","HL_B76D","HL_B77A","HL_B77B","HL_B77C","HL_B77D","HL_B78A","HL_B78B","HL_B78C","HL_B78D","HL_B79A","HL_B79B","HL_B79C","HL_B79D","HL_B80A","HL_B80B","HL_B80C","HL_B80D","HL_B81A","HL_B81B","HL_B81C","HL_B81D","HL_B82A","HL_B82B","HL_B82C","HL_B82D","HL_B83A","HL_B83B","HL_B83C","HL_B83D","HL_B84A","HL_B84B","HL_B84C","HL_B84D","HL_B85A","HL_B85B","HL_B85C","HL_B85D","HL_B86A","HL_B86B","HL_B86C","HL_B86D","HL_B87A","HL_B87B","HL_B87C","HL_B87D","HL_B88A","HL_B88B","HL_B88C","HL_B88D","HL_B89A","HL_B89B","HL_B89C","HL_B89D","HL_B90A","HL_B90B","HL_B90C","HL_B90D","HL_B91A","HL_B91B","HL_B91C","HL_B91D","HL_B92A","HL_B92B","HL_B92C","HL_B92D","HL_B93A","HL_B93B","HL_B93C","HL_B93D","HL_B94_01","HL_B94_02","HL_B94_03","HL_B94_04","HL_B94_05","HL_B94_06","HL_B94_07","HL_B94_08","HL_B94_09","HL_B94_10","HL_B94_11","HL_B94_12","HL_B94_13","HL_B94_14","HL_B94_15","HL_B94_16","HL_B94_17","HL_B94_18","HL_B94_19","HL_B94_20","HL_B94_21","HL_B94_22","HL_B94_23","HL_B94_24","HL_B94_25","HL_B94_26","HL_B94_27","HL_B94_28","HL_B94_29","HL_B94_30","HL_B94_31","HL_B94_32","HL_B94_33","HL_B95","HL_B95_OTHER","HL_B96","HL_B97","Basicweight"
50,27,2,1,1,3,1,"12:02","23/06/2022",2,6,3,5,,1,1,32,97,23,12,1,,,,,1,,1,24,0,,1,0,,2,,1,900000,1,600000,250,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,1,1,3,1,0,,7,1,20,2,0,1,2,2,0,0,,,,0,,,,1,1,2,1,0,,,,1,7,3,0,1,2,2,1,1,1,3,0,1,1,2,0,0,,,,0,,,,1,2,2,0,0,,,,1,1,3,0,1,10,2,0,0,,,,1,2,2,0,0,,,,0,,,,1,1,2,0,0,,,,1,1,2,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,5,2,0,0,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2," ",1,"12:17",20.2034487562189
52,28,2,1,2,3,1,"14:37","23/06/2022",1,6,4,5,,1,1,33,100,16,12,1,,,,,1,,1,24,0,,1,0,,2,,1,750000,1,150000,300,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,,7,1,28,1,0,0,,,,0,,,,0,,,,1,1,1,0,0,,,,1,3,1,0,1,2,1,0,1,1,1,0,0,,,,0,,,,0,,,,1,3,1,0,0,,,,0,,,,0,,,,0,,,,1,4,2,0,1,2,1,0,1,5,2,0,1,1,1,0,0,,,,1,1,888,0,1,3,1,0,0,,,,0,,,,0,,,,1,1,2,0,1,1,3,0,0,,,,0,,,,1,5,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"14:56",90.9873333333333
53,29,2,1,2,3,1,"11:22","23/06/2022",2,6,3,4,,1,1,27,120,25,12,1,,,,,1,,1,24,1,2,1,0,,2,,1,900000,1,1200000,300,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,1,3,7,1,12,1,1,0,,,,0,,,,0,,,,1,2,1,0,0,,,,1,5,1,0,1,3,1,0,0,,,,0,,,,0,,,,0,,,,1,3,1,0,0,,,,1,1,1,0,0,,,,0,,,,1,4,2,0,0,,,,1,5,1,0,1,2,1,0,0,,,,1,3,1,0,0,,,,1,2,1,0,0,,,,0,,,,1,1,1,0,1,1,1,0,0,,,,0,,,,1,3,2,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2," ",1,"11:45",152.80155
54,30,2,1,2,3,1,"13:57","21/06/2022",1,6,3,1,,1,1,28,50,27,12,1,,,,,1,,1,24,1,2,1,1,120,2,0,1,300000,1,150000,300,1,0,,,,,,,,,,,,,,,,,,,,,,0,,1,0,,,,1,3,5,0,,,,1,20,1,0,0,,,,0,,,,1,1,2,0,0,,,,1,10,2,0,1,1,2,0,1,1,2,0,0,,,,0,,,,0,,,,1,1,2,0,0,,,,0,,,,1,10,2,0,0,,,,1,5,1,0,0,,,,0,,,,1,2,2,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"14:36",45.2318409090909
55,31,2,1,2,3,1,"14:55","21/06/2022",1,6,6,5,,1,1,26,60,14,12,1,,,,,1,,1,24,0,,1,0,,2,,1,1200000,1,300000,300,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,1,7,7,1,30,1,0,1,3,1,0,0,,,,0,,,,1,1,1,1,0,,,,1,10,1,0,1,2,1,0,1,2,1,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,3,2,0,1,1,1,0,1,1,1,0,1,2,1,0,0,,,,1,2,1,1,0,,,,0,,,,0,,,,0,,,,0,,,,1,1,1,0,0,,,,0,,,,1,3,2,0,0,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3," ",1,"15:15",207.560347826087
58,32,2,2,2,3,10,"17:28","13/06/2022",1,6,3,5,,1,1,25,135,26,12,1,,,,,1,,1,22,0,,1,7,20,2,0,1,150000,1,600000,300,1,1,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,,2,1,40,888,0,1,12,888,0,0,,,,0,,,,1,2,888,0,0,,,,1,12,3,0,1,3,888,0,1,2,3,0,0,,,,0,,,,0,,,,1,4,2,0,0,,,,0,,,,1,50,2,0,0,,,,1,1,2,0,1,2,1,0,0,,,,1,2,2,0,0,,,,1,3,2,0,1,2,2,0,0,,,,0,,,,0,,,,1,2,2,0,1,1,2,0,0,,,,0,,,,1,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"17:47",94.0141550802139
68,33,2,2,2,3,1,"12:35","14/06/2022",1,6,14,5,,1,1,24,600,21,12,1,,,,,1,,1,24,1,2,1,2,1,1,0,1,150000,1,300000,300,1,0,,,,,,,,,,,,,,,,,,,,,,0,,1,0,,,,1,4,3,1,50,1,1,1,14,1,0,0,,,,0,,,,1,1,1,0,0,,,,1,8,1,0,1,4,1,0,1,2,1,0,0,,,,0,,,,0,,,,1,1,1,1,0,,,,0,,,,0,,,,0,,,,1,5,888,0,0,,,,0,,,,1,3,1,0,1,2,1,0,1,1,2,0,0,,,,1,2,3,0,0,,,,1,2,3,0,0,,,,0,,,,0,,,,0,,,,1,1,1,0,0,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1," ",1,"12:50",138.488
71,34,2,2,2,3,10,"15:58","21/06/2022",2,6,8,5,,1,1,35,300,50,12,1,,,,,1,,1,24,0,,1,5,2,1,0,1,180000,1,1200000,300,1,1,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,,7,0,,,,1,30,3,1,0,,,,0,,,,0,,,,0,,,,1,4,3,0,1,2,3,0,1,2,3,0,0,,,,0,,,,0,,,,1,1,1,0,0,,,,0,,,,0,,,,0,,,,1,2,1,0,0,,,,1,1,1,0,1,2,3,1,0,,,,0,,,,1,2,3,0,0,,,,1,2,3,0,1,2,3,1,1,2,1,0,1,1,1,0,1,4,1,1,0,,,,1,1,1,1,0,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,1,,2," ",1,"16:41",111.031052054795
79,35,2,3,1,3,2,"10:00","15/06/2022",1,6,20,5,,1,3,38,100,19,12,1,,,,,1,,1,24,0,,1,3,30,2,0,1,519990,1,450000,225,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,,5,1,30,1,0,1,4,1,0,0,,,,0,,,,1,3,1,0,1,1,1,0,1,7,3,0,1,2,1,0,1,1,3,0,0,,,,0,,,,0,,,,1,3,1,0,0,,,,0,,,,1,8,1,0,0,,,,1,7,2,0,1,2,1,0,0,,,,1,2,1,0,1,2,1,0,1,2,1,0,0,,,,1,3,3,0,0,,,,1,3,3,0,1,13,3,0,0,,,,0,,,,0,,,,1,3,888,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"10:21",13.34441
80,36,2,3,2,3,3,"13:23","13/06/2022",2,6,2,1,,1,1,6,70,15,12,1,,,,,1,,1,24,0,,1,1,30,2,0,1,888,1,300000,220,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,1,0,,,0,,5,1,17,888,0,0,,,,0,,,,0,,,,1,1,1,0,0,,,,1,13,3,0,0,,,,1,3,3,0,0,,,,0,,,,0,,,,1,3,888,0,0,,,,0,,,,1,15,1,0,0,,,,1,4,1,0,1,1,3,0,1,1,3,0,1,1,3,0,0,,,,1,2,1,0,1,3,3,0,1,5,3,0,0,,,,1,3,3,0,1,50,3,0,0,,,,0,,,,0,,,,1,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"14:16",104.835668449198
81,37,2,3,2,3,1,"09:43","18/06/2022",2,6,20,1,,1,1,24,150,18,12,1,,,,,1,,1,24,1,2,1,1,2,1,0,1,888,1,750000,230,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,,3,1,26,1,0,1,15,1,0,1,5,1,0,0,,,,1,1,1,0,0,,,,0,,,,1,1,1,0,1,1,3,0,0,,,,0,,,,0,,,,1,3,1,0,0,,,,0,,,,1,6,1,0,0,,,,0,,,,0,,,,0,,,,1,1,1,0,0,,,,1,1,1,0,0,,,,0,,,,1,1,3,0,1,1,3,0,1,50,3,0,0,,,,0,,,,0,,,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"10:05",112.872822222222
82,38,2,3,2,3,3,"13:15","14/06/2022",2,4,2,555,,1,1,24,120,13,12,1,,,,,1,,1,24,0,,1,5,30,2,0,1,369990,1,1200000,200,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,1,0,,,0,,3,0,,,,1,45,1,0,0,,,,0,,,,0,,,,0,,,,1,32,3,0,1,3,1,0,1,3,3,0,0,,,,0,,,,0,,,,1,3,1,0,0,,,,0,,,,0,,,,0,,,,1,3,888,0,1,1,1,0,1,4,1,0,1,2,1,0,0,,,,1,1,1,0,0,,,,1,2,3,1,0,,,,1,1,1,0,0,,,,0,,,,0,,,,1,1,1,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,555,"No space",1,"13:37",198.80024
84,39,2,4,2,3,1,"11:23","15/06/2022",1,3,6,4,,1,1,27,100,24,12,1,,,,,1,,1,24,0,,1,0,,2,,1,199980,1,300000,300,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,,7,1,20,1,0,1,4,1,0,0,,,,0,,,,1,1,1,0,0,,,,1,15,1,0,1,2,2,0,1,1,1,0,1,1,1,0,0,,,,0,,,,1,5,1,0,0,,,,0,,,,0,,,,0,,,,1,5,2,1,0,,,,1,1,1,1,1,2,1,0,0,,,,1,2,1,1,1,2,1,0,0,,,,0,,,,1,1,1,0,0,,,,0,,,,0,,,,0,,,,1,3,2,0,0,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,3," ",1,"11:46",72.2506289308176
86,40,2,4,1,3,1,"09:41","20/06/2022",1,6,6,5,,1,1,23,70,8,12,1,,,,,1,,1,24,0,,1,0,,2,,1,1050000,1,900000,300,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,,7,1,40,1,0,1,3,1,0,0,,,,1,2,1,0,0,,,,0,,,,1,12,1,0,1,3,1,0,1,3,1,0,0,,,,0,,,,0,,,,1,3,1,0,0,,,,0,,,,0,,,,0,,,,1,2,2,0,0,,,,1,3,1,0,1,2,1,0,0,,,,1,2,1,0,1,1,1,0,0,,,,0,,,,1,1,1,0,1,1,1,0,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"09:55",18.0087829787234
87,41,2,4,2,3,1,"15:42","20/06/2022",2,6,6,1,,1,1,30,100,21,12,1,,,,,1,,1,24,0,,1,0,,2,,1,750000,1,750000,300,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,,7,1,30,1,0,1,3,1,0,0,,,,0,,,,1,1,1,0,0,,,,1,4,1,0,1,2,1,0,1,3,1,0,0,,,,0,,,,0,,,,1,3,1,0,0,,,,0,,,,0,,,,0,,,,1,3,2,0,0,,,,0,,,,0,,,,0,,,,1,3,1,0,0,,,,0,,,,0,,,,1,2,1,0,1,1,1,0,1,1,2,0,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"16:00",102.260069686411
89,42,2,4,1,3,1,"12:23","16/06/2022",2,4,6,555,,1,1,30,105,14,12,1,,,,,1,,1,24,0,,1,0,,2,,1,159990,1,450000,300,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,,7,1,67,1,0,0,,,,0,,,,0,,,,1,2,1,0,0,,,,1,9,1,1,1,5,1,1,1,1,1,0,1,3,1,0,1,2,1,0,0,,,,1,2,1,1,0,,,,0,,,,0,,,,0,,,,1,2,2,0,1,1,1,0,0,,,,1,2,1,0,0,,,,1,1,1,0,0,,,,1,3,1,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,3,2,0,0,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,2," ",0,"12:33",15.4509974137931
90,43,2,5,2,3,1,"16:03","13/06/2022",1,6,6,5,,1,1,22,50,18,12,1,,,,,1,,1,24,0,,1,1,1,1,0,1,1050000,1,1200000,300,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,,7,1,5,888,0,1,10,1,0,0,,,,0,,,,1,1,2,0,0,,,,1,12,1,0,1,3,1,0,1,1,3,0,0,,,,0,,,,0,,,,1,2,1,0,0,,,,0,,,,0,,,,0,,,,1,5,1,0,1,1,1,0,1,5,2,0,1,1,1,0,0,,,,1,3,1,0,0,,,,1,1,3,0,1,1,2,0,1,1,3,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"16:27",124.678725925926
91,44,2,5,2,3,1,"15:26","14/06/2022",1,3,6,4,,1,1,32,150,30,12,1,,,,,1,,1,24,0,,1,0,,2,,1,1200000,1,900000,300,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,1,4,7,1,6,1,0,0,,,,0,,,,0,,,,1,2,1,0,0,,,,1,12,1,0,1,2,1,0,1,1,1,0,0,,,,0,,,,0,,,,1,2,1,0,0,,,,0,,,,0,,,,0,,,,1,7,2,0,0,,,,0,,,,1,3,1,0,0,,,,1,1,1,0,1,3,1,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"15:52",5.83359555555556
92,45,2,5,1,3,1,"08:00","20/06/2022",1,6,3,5,,1,1,26,80,10,12,1,,,,,1,,1,24,0,,1,1,15,2,0,1,750000,1,750000,260,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,1,3,7,0,,,,0,,,,0,,,,1,32,1,0,1,1,1,1,0,,,,1,10,1,0,1,1,1,0,1,1,1,0,0,,,,0,,,,0,,,,1,2,1,0,0,,,,1,1,3,0,1,15,1,0,0,,,,1,3,1,0,1,1,1,0,0,,,,1,1,1,0,0,,,,1,1,1,0,0,,,,0,,,,0,,,,1,4,3,0,0,,,,0,,,,0,,,,0,,,,1,1,1,0,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555,"It's not planned",1,"08:30",6.58144009096816
99,46,2,5,2,3,1,"10:02","20/06/2022",1,6,3,1,,1,1,22,50,18,12,1,,,,,1,,1,24,0,,1,0,,2,,1,450000,1,180000,216,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,1,3,7,0,,,,0,,,,0,,,,1,50,1,0,1,2,1,0,0,,,,1,7,1,0,1,2,1,0,1,1,1,0,0,,,,0,,,,0,,,,1,3,1,0,0,,,,1,1,1,0,1,10,1,0,0,,,,1,3,888,0,1,2,1,0,0,,,,1,1,1,0,0,,,,1,1,1,0,1,1,1,0,1,2,1,0,0,,,,0,,,,1,1,1,1,0,,,,0,,,,0,,,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,555,"It's not planned",1,"10:23",134.667481889764
100,47,2,5,2,3,1,"15:02","20/06/2022",1,6,4,5,,1,1,23,100,34,12,1,,,,,1,,1,24,0,,1,0,,2,,1,300000,1,300000,220,1,0,,,,,,,,,,,,,,,,,,,,,,0,,1,0,,,,1,4,2,0,,,,0,,,,0,,,,0,,,,1,3,1,0,0,,,,1,13,1,0,1,4,1,0,1,1,1,0,0,,,,0,,,,0,,,,1,3,1,0,0,,,,1,1,1,0,0,,,,0,,,,1,3,888,0,1,1,1,0,0,,,,1,2,1,0,0,,,,0,,,,0,,,,1,3,888,1,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,555,"No space",1,"15:15",179.081928947368
114,48,2,6,2,3,1,"14:25","22/06/2022",1,6,5,4,,1,1,32,120,12,12,1,,,,,1,,1,24,1,1,1,2,30,2,0,1,1200000,1,900000,300,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,1,3,3,1,34,1,0,1,10,1,0,0,,,,0,,,,1,2,1,1,0,,,,1,20,1,1,1,2,1,1,1,2,3,1,1,1,1,0,1,1,1,0,0,,,,1,5,1,0,0,,,,0,,,,0,,,,0,,,,1,5,1,0,1,3,1,1,0,,,,1,2,1,0,0,,,,1,5,1,0,0,,,,1,3,3,1,1,3,3,1,1,1,3,1,1,20,3,1,0,,,,0,,,,0,,,,1,1,888,0,0,,,,,,,,1,,1,1,1,,,,,,,,,,1,,,,,,1,1,1,1,,,,,,3," ",1,"15:02",109.48854
115,49,2,6,1,3,1,"14:23","21/06/2022",2,6,3,1,,1,1,36,120,20,12,1,,,,,1,,1,23,0,,1,1,1,1,0,1,600000,1,600000,250,1,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,,5,1,15,2,1,1,5,2,0,0,,,,0,,,,1,2,2,1,0,,,,1,9,1,1,1,2,2,1,1,1,1,1,0,,,,0,,,,0,,,,1,2,2,1,0,,,,1,2,3,0,1,8,2,0,0,,,,1,3,2,1,1,1,2,0,0,,,,1,1,2,0,1,1,2,0,1,1,2,0,0,,,,0,,,,0,,,,0,,,,1,1,2,0,0,,,,0,,,,0,,,,1,10,2,0,0,,,,1,,,,1,,1,1,1,,,,1,,,,,1,,,,,,,,,,,,,,,,2," ",1,"14:42",6.9631550877193
117,50,2,6,2,3,1,"16:25","18/06/2022",2,6,2,1,,1,3,40,80,21,12,1,,,,,1,,1,23,0,,1,1,30,2,0,1,150000,1,1500000,300,1,0,,,,,,,,,,,,,,,,,,,,,,0,,1,0,,,,0,,2,0,,,,0,,,,0,,,,1,40,2,0,1,1,2,0,0,,,,1,15,2,0,1,1,2,0,1,1,2,0,0,,,,0,,,,0,,,,1,4,2,0,0,,,,0,,,,1,40,2,0,0,,,,1,5,2,0,0,,,,1,1,2,0,1,1,2,0,1,1,2,0,1,1,2,0,1,1,2,0,0,,,,1,1,2,0,1,1,2,0,1,1,2,0,0,,,,0,,,,0,,,,1,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"16:50",121.078246153846
118,51,2,6,2,3,2,"14:27","23/06/2022",1,6,4,5,,1,1,43,100,22,12,1,,,,,1,,1,24,0,,1,1,1,1,0,1,900000,1,450000,250,1,0,,,,,,,,,,,,,,,,,,,,,,0,,1,0,,,,0,,3,1,2,1,1,1,18,2,1,0,,,,0,,,,1,2,2,0,1,1,3,0,1,16,2,0,1,6,2,0,1,1,3,0,0,,,,0,,,,0,,,,1,3,2,0,0,,,,1,1,3,0,1,15,2,0,0,,,,1,5,2,0,1,2,2,0,0,,,,1,2,2,0,1,1,2,0,1,3,2,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,1,2,0,1,2,2,0,0,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1," ",1,"14:49",164.318615384615
120,52,2,7,1,3,1,"13:43","13/06/2022",2,6,2,5,,1,2,36,110,45,12,1,,,,,1,,1,24,0,,1,1,1,1,0,1,150000,1,150000,300,1,0,,,,,,,,,,,,,,,,,,,,,,0,,1,0,,,,0,,2,1,99,2,0,0,,,,0,,,,0,,,,1,3,2,0,0,,,,1,24,2,0,1,1,2,0,1,2,3,0,0,,,,0,,,,0,,,,1,2,2,0,0,,,,0,,,,1,99,2,0,0,,,,1,2,2,0,1,1,2,0,0,,,,1,3,2,0,1,1,2,0,1,1,2,0,0,,,,1,1,2,0,0,,,,1,1,2,0,1,1,2,0,0,,,,1,1,2,0,0,,,,1,6,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"14:10",10.14123
121,53,2,7,2,3,1,"13:21","14/06/2022",2,6,4,4,,1,1,22,200,40,12,1,,,,,1,,4,24,1,3,0,,,,1,,,,,,,,1,1,,1,1,12017,1,,0,1,,0,,,,1500000,1,1,2,8,1,0,,0,0,,,,1,3,2,1,7,888,0,0,,,,0,,,,0,,,,1,1,2,1,0,,,,1,6,2,0,1,2,3,1,1,1,3,0,0,,,,0,,,,0,,,,1,4,2,1,0,,,,1,1,3,0,1,5,888,0,0,,,,1,4,1,0,1,1,1,1,0,,,,1,2,1,1,1,1,1,0,1,1,3,0,0,,,,0,,,,0,,,,1,2,1,0,1,1,3,0,0,,,,0,,,,0,,,,1,3,2,0,0,,,,,,,,1,,,1,,,,,1,,,,,,1,,1,,,,,,,,,,,,,3," ",0,"13:55",90.2549166666667
122,54,2,7,2,3,1,"15:26","15/06/2022",2,6,2,5,,1,3,37,100,20,12,1,,,,,1,,1,24,0,,1,1,1,1,0,1,150000,1,150000,300,1,0,,,,,,,,,,,,,,,,,,,,,,0,,1,0,,,,0,,3,0,,,,1,99,2,0,0,,,,0,,,,1,2,2,0,0,,,,1,12,2,0,1,1,2,0,1,1,2,0,0,,,,0,,,,0,,,,1,3,2,0,0,,,,1,1,2,0,1,99,2,0,0,,,,1,4,2,0,0,,,,0,,,,1,3,2,0,0,,,,1,1,2,0,0,,,,1,1,1,0,0,,,,1,1,2,0,1,1,2,0,0,,,,0,,,,0,,,,1,2,2,0,1,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"15:42",53.5930577507599
125,55,2,7,2,3,1,"13:15","16/06/2022",2,6,4,5,,1,1,28,150,21,12,1,,,,,1,,4,20,1,2,0,,,,1,,,,,,,,1,1,,1,2,32021,1,,1,2,1,0,,,,,1,1,4,1,1,1,1,0,0,,,,1,3,7,0,,,,1,3,1,1,0,,,,0,,,,1,2,1,0,0,,,,1,10,1,0,1,2,1,0,1,1,1,0,0,,,,0,,,,0,,,,1,5,1,1,0,,,,1,1,3,0,1,32,1,0,0,,,,1,10,1,0,1,2,1,0,0,,,,1,2,1,0,1,1,1,0,1,1,1,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,2,1,0,0,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3," ",0,"13:34",100.539116883117
126,56,2,7,1,3,1,"12:08","14/06/2022",2,6,4,4,,1,1,27,80,12,12,1,,,,,1,,1,24,0,,1,1,30,2,0,1,199980,2,900000,220,1,1,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,1,3,7,0,,,,1,20,1,1,0,,,,1,5,1,0,1,2,1,0,0,,,,1,9,3,1,1,3,1,0,1,4,3,0,0,,,,0,,,,0,,,,1,3,1,0,0,,,,0,,,,1,20,1,0,0,,,,1,4,888,0,1,1,1,0,0,,,,1,1,1,0,1,1,1,0,1,1,1,0,0,,,,1,2,3,0,0,,,,1,2,3,1,0,,,,0,,,,1,2,1,0,0,,,,1,1,1,0,0,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,555,"No space",1,"12:55",16.0080777777778
127,57,2,8,2,3,2,"09:44","07/06/2022",2,6,4,5,,1,1,21,80,20,12,1,,,,,1,,1,24,0,,1,0,,2,,1,150000,2,900000,313,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,,1,3,7,0,,,,1,1,888,0,0,,,,1,50,888,0,1,2,888,0,0,,,,1,12,888,0,1,1,888,0,1,5,888,0,0,,,,0,,,,0,,,,1,3,888,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,2,888,0,0,,,,1,4,888,0,0,,,,1,3,888,0,0,,,,0,,,,0,,,,1,2,888,0,0,,,,0,,,,0,,,,0,,,,1,1,888,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",1,"10:23",60.01412
