"Cluster","ED_ID","CI01","CI02","CI06","CI07","CI08","QE_B04","QE_B05","QE_B06","QE_B07","QE_B08","QE_B11","QE_B11_OTHER","QE_B12","QE_B13","QE_B13A","QE_B14A","QE_B14B","QE_B15A","QE_B15B","QE_B16","QE_B17","QE_B17_OTHER","QE_B18","QE_B18_OTHER","QE_B19","QE_B20","QE_B21","QE_B22","QE_B23","QE_B24A","QE_B24B","QE_B25","QE_B26","QE_B27A","QE_B27A_OTHER","QE_B27B","QE_B28","QE_B28_OTHER","QE_B29","QE_B30A","QE_B30B","QE_B31","QE_B32_1","QE_B32_2","QE_B32_3","QE_B33","QE_B34_1","QE_B34_2","QE_B34_3","QE_B34_4","QE_B35","QE_B36","QE_B37","QE_B38","QE_B39","QE_B40","QE_B40_OTHER","QE_B41","QE_B42","QE_B43","QE_B43_OTHER","QE_B44","QE_B45","QE_B46","QE_B46_OTHER","QE_B47","QE_B48","QE_B48_OTHER","QE_B49","QE_B50","QE_B51A","QE_B51B","QE_B51B_OTHER","QE_B52","QE_B53","QE_B54","QE_B55","QE_B56","QE_B57","QE_B58","QE_B58_OTHER","QE_B59","QE_B59_OTHER","QE_B60A","QE_B60B","QE_B60C","QE_B61A","QE_B61B","QE_B61C","QE_B62A","QE_B62B","QE_B62C","QE_B63A","QE_B63B","QE_B63C","QE_B64A","QE_B64B","QE_B64C","QE_B65A","QE_B65B","QE_B65C","QE_B66A","QE_B66B","QE_B66C","QE_B67A","QE_B67B","QE_B67C","QE_B68A","QE_B68B","QE_B68C","QE_B69A","QE_B69B","QE_B69C","QE_B70A","QE_B70B","QE_B70C","QE_B71A","QE_B71B","QE_B71C","QE_B72A","QE_B72B","QE_B72C","QE_B73A","QE_B73B","QE_B73C","QE_B74A","QE_B74B","QE_B74C","QE_B75A","QE_B75B","QE_B75C","QE_B76A","QE_B76B","QE_B76C","QE_B77A","QE_B77B","QE_B77C","QE_B78A","QE_B78B","QE_B78C","QE_B79_01","QE_B79_02","QE_B79_03","QE_B79_04","QE_B79_05","QE_B79_06","QE_B79_07","QE_B79_08","QE_B79_09","QE_B79_10","QE_B79_11","QE_B79_12","QE_B79_13","QE_B79_14","QE_B79_15","QE_B79_16","QE_B79_17","QE_B79_18","QE_B79_19","QE_B80","QE_B80_OTHER","QE_B81","QE_C01","QE_C02","QE_C03","QE_C04","QE_C05","QE_C06","QE_C06_1","QE_C06_2","QE_C06_3","QE_C06_4","QE_C06_5","QE_C06_6","QE_C06_7","QE_C06_8","QE_C10","QE_C11_1","QE_C11_2","QE_C11_3","QE_C11_4","QE_C11_5","QE_C11_6","QE_C11_7","QE_C11_OTHER","QE_C12_1","QE_C12_2","QE_C12_3","QE_C12_4","QE_C12_5","QE_C12_6","QE_C12_7","QE_C12_OTHER","QE_C12A","QE_C12B","QE_C13","QE_C13_OTHER","QE_C14","QE_C14_OTHER","QE_C15A","QE_C15B","QE_C16A","QE_C16B","QE_C17A","QE_C17A_UNITY","QE_C17B","QE_C17B_UNITY","QE_C18A","QE_C18B","QE_C19","QE_C20A","QE_C20B","QE_C20C","QE_C21","QE_C22","QE_C23","QE_C24","QE_C25","QE_C26","QE_C27_01","QE_C27_02","QE_C27_03","QE_C27_04","QE_C27_05","QE_C27_06","QE_C27_07","QE_C27_08","QE_C27_09","QE_C27_10","QE_C27_11","QE_C27_12","QE_C28","QE_C29","QE_C30","QE_C31","QE_C32_1","QE_C32_2","QE_C32_3","QE_C32_4","QE_C32_5","QE_C32_6","Basicweight"
30,28,1,2,2,2,1,1,3,3,3,2,1," ",30,2112,9,"6h00","18h30","888","888",1,,,1," ",24,0,,1,0,,,,0,1," ",30000,1," ",30000,270,1,1,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",7," ",1,22,0,0,,,0,,,0,,,0,,,1,170,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,2100,1,2,"B",,1,,,,,,,6,,,,,,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,29,4,,,290000,,3,0,120,0,1,1,3,1,1,1,,,,,,,,,,,,,888,1,,888,,,,1,1,,27.3053669724771
31,29,1,2,1,2,2,1,6,4,4,6,1," ",23,798,9,"7h00","17h00","888","888",1,,,1," ",12,0,,1,0,,,,0,1," ",50000,1," ",1100000,888,1,1,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",7," ",0,,,0,,,1,10,1,0,,,1,1,0,1,16,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,,1,50,0,0,,,0,,,0,,,0,,,0,,,,,1,,,,,,,,,,,,,,,,,2," ",1,0,,,,," ",,,,,,,,,,,,,,,,," ",,,,,,,," ",,,," ",," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.984714375
32,30,1,2,1,2,1,2,6,4,1,18,2," ",17,810,10,"7h00","12h00","14h00","17h00",1,,,1," ",24,0,,1,0,,,,0,1," ",1500000,1," ",30000,205,1,1,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",7," ",0,,,0,,,0,,,0,,,1,1,0,1,65,0,1,1,1,1,17,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,6,0,0,,,0,,,,,,,,,1,1,,,,,,,,,,,,3," ",,1,1,810,1,2,"A",1,,,,,,,,3,,1,,,,,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,10,4,,,120000,,2,0,240,0,2,1,3,1,2,1,,,,,,,,,,,,,888,555,,888,,,,,,555,4.23082260869565
33,31,1,2,1,2,1,1,6,5,3,7,2," ",52,2050,9,"7h00","19h00","888","888",1,,,1," ",24,0,,1,0,,,,0,1," ",200000,1," ",70000,267,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",1,0,,,,0,," ",5," ",0,,,1,80,0,1,20,0,0,,,0,,,1,340,1,1,3,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,2,1,1,5,0,0,,,0,,,,,,,,1,1,,,,,,,,,1,,,,1," ",1,1,1,800,1,2,"B",,1,,,,,,,5,,,,,,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,9,4,,,108000,,2,0,120,0,2,1,3,1,3,1,,,,,,,,,,,,,1,1,,111,1,,,,,,21.1555548
34,32,1,2,2,2,1,2,3,3,4,5,1," ",29,710,10,"7h00","17h00","888","888",1,,,1," ",12,0,,1,1,3,180,2,0,1," ",15000,555,"our school",150000,268,1,1,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",5," ",0,,,0,,,0,,,1,15,0,0,,,1,128,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,1,5,0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,710,1,2,"A",1,,,,,,,,4,,,,,,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,2,,7,4,,,70000,,1,0,300,0,2,3,,1,3,1,,,,,,,,,,,,,888,888,,111,1,,,1,,,48.7433
35,33,1,3,1,2,1,2,4,6,1,6,1," ",8,188,12,"7h00","15h00","888","888",1,,,1," ",24,0,,1,2,0,25,2,0,1," ",50000,1," ",2000,230,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",7," ",1,5,0,0,,,0,,,0,,,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,188,1,1,"B",,1,,,,,,,2,,,,1,,,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,3,4,,,30000,,1,0,180,0,2,1,2,2,3,1,,,,,,,,,,,,,1,1,,1,,,1,,1,,39.1813092105263
36,34,1,3,2,2,1,1,6,4,555,4,555,"12 year Educati",55,2320,9,"7h00","17h00","888","888",1,,,1," ",24,0,,1,1,0,10,1,0,1," ",200000,555,"The management of",2000000,295,1,1,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,555,"private people",0,0,,,,0,," ",5," ",0,,,1,40,0,0,,,1,30,0,0,,,1,146,0,1,4,0,0,,,0,,,1,7,0,0,,,0,,,1,1,0,0,,,0,,,0,,,1,6,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,2320,1,2,"A",1,,,,,,,,6,,,,,,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,27,4,,,270000,,1,0,120,0,2,1,2,1,3,1,,,,,,,,,,,,,888,1,,111,1,1,1,1,,,33.7477419354839
37,35,1,3,1,2,1,2,6,4,1,10,555,"Nursery School",5,55,10,"7h30","17h30","888","888",0,1,,," ",,,,,,,,,,," ",,," ",,,,,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,,," ",,,,,,,," ",," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,0,,,,," ",,,,,,,,,,,,,,,,," ",,,,,,,," ",,,," ",," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9474928131417
38,36,1,3,1,2,1,2,6,4,2,13,1," ",14,632,9,"7h20","17h00","888","888",1,,,1," ",23,0,,1,3,0,20,1,0,1," ",50000,1," ",20000,250,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",7," ",1,24,0,1,7,1,0,,,0,,,0,,,1,3,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,1,,,,1,,,,,,,,,,,,,,555,"Don't have",1,1,1,632,1,1,"B",,1,,,,,,,4,,,,1,1,,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,10,4,,,130000,,2,0,180,0,2,1,4,1,2,1,,,,,,,,,,,,,888,555,,888,,1,,1,,,12.3686712765957
39,37,1,3,1,2,6,2,6,4,4,3,555,"Nursery School",4,91,9,"7h45","11h45","888","888",1,,,1," ",24,0,,1,0,,,,0,1," ",50000,555,"Themselves",25000,292,1,1,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,555,"None",0,0,,,,0,," ",7," ",0,,,0,,,0,,,1,10,0,0,,,1,2,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,0,,,,," ",,,,,,,,,,,,,,,,," ",,,,,,,," ",,,," ",," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5102728323699
40,38,1,3,1,2,1,2,4,6,1,5,555,"Nursery School",5,90,12,"8h00","12h30","888","888",0,1,,," ",,,,,,,,,,," ",,," ",,,,,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,5," ",0,0,,,,0,," ",7," ",0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,2,1,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,1,,,,,,2," ",1,1,1,90,1,2,"A",1,,,,,,,,1,,,,,,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,2,,1,4,,,13000,,1,0,888,0,2,1,2,1,1,1,,,,,,,,,,,,,888,1,,888,,1,,,,,46.9627568421053
41,39,1,3,1,2,1,1,6,4,4,10,4," ",70,2100,9,"7h00","17h00","888","888",1,,,1," ",24,0,,1,0,,,,0,1," ",888,1," ",200000,255,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",5," ",0,,,0,,,1,40,0,0,,,1,2,0,1,350,0,1,2,0,1,1,0,0,,,0,,,0,,,0,,,0,,,1,20,0,0,,,1,2,0,1,7,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,2100,1,2,"A",1,,,,,,,,6,,,,,,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,2,,13,4,,,143000,,2,0,180,0,1,1,5,1,2,1,,,,,,,,,,,,,3,1,,888,1,,,,,,43.053996
42,40,1,3,1,2,1,2,6,4,3,11,2," ",90,1190,9,"7h00","13h50","888","888",1,,,1," ",24,0,,1,0,,,,0,1," ",200000,1," ",200000,888,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",7," ",1,6,1,1,4,0,0,,,0,,,1,6,0,1,121,1,1,4,1,1,3,0,0,,,1,4,0,0,,,0,,,1,1,0,1,1,0,0,,,0,,,1,7,0,0,,,1,5,0,1,,,,,1,1,,,,,,,,,,,,,555,"Not needed",1,1,3,590,3,1,"B",,1,,,,,,,3,,,,,1,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,30,4,,,300000,,2,60,120,90,1,1,5,1,1,1,,,,,,,,,,,,,1,1,,888,,,,1,,,23.9960368421053
44,41,1,3,1,2,1,2,4,6,2,7,555,"Nursery School",6,65,11,"7h00","17h30","888","888",1,,,1," ",24,0,,1,0,,,,0,1," ",888,555,"the facility",5000,250,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,555,"Not done",0,0,,,,0,," ",7," ",1,3,0,0,,,1,1,0,0,,,0,,,1,1,0,1,1,1,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,1,,,,,,,,,,,,,2," ",1,0,,,,," ",,,,,,,,,,,,,,,,," ",,,,,,,," ",,,," ",," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2778612716763
45,42,1,3,1,2,1,2,4,6,555,0,1," ",24,215,9,"7h30","16h30","888","888",1,,,1," ",12,1,2,1,2,1,60,3,0,1," ",8509981,1," ",20000,255,1,1,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",3," ",1,5,0,1,25,0,0,,,0,,,0,,,1,19,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,214,1,1,"B",,1,,,,,,,2,,1,,,,,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,3,4,,,39000,,2,0,240,0,2,3,,1,3,2,,,,1,,,,,,,1,,1,1,,111,1,,1,,,,17.1043262068966
46,43,1,3,2,2,3,1,6,4,4,1,1," ",17,420,9,"7h00","17h00","888","888",0,1,,," ",,,,,,,,,,," ",,," ",,,,,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,,," ",,,,,,,," ",," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,420,1,2,"A",1,,,,,,,,2,,,,1,1,,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,5,4,,,50000,,2,0,180,0,2,3,,1,3,1,,,,,,,,,,,,,888,1,,111,,,1,,1,555,34.238744813278
47,44,1,3,1,2,1,2,6,4,1,4,2," ",19,180,9,"7h30","13h40","888","888",1,,,1," ",24,0,,1,1,0,1,1,0,1," ",120000,1," ",120000,888,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,1,3," ",2," ",0,,,0,,,0,,,1,30,0,1,1,0,1,80,0,1,3,0,1,3,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,3,0,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,," ",,0,,,,," ",,,,,,,,,,,,,,,,," ",,,,,,,," ",,,," ",," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.8850588235294
48,45,1,3,1,2,1,1,6,4,4,12,2," ",48,595,9,"6h00","17h00","888","888",1,,,1," ",24,0,,1,0,,,,0,1," ",2125000,2," ",400000,270,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,1,1," ",0,0,,,,1,3," ",5," ",0,,,1,50,0,0,,,0,,,1,2,0,1,60,0,1,3,0,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,10,0,1,3,0,1,2,0,1,2,0,,,,,,,,,,,,,,,,,,,,," ",,1,3,595,3,1,"B",,1,,,,,,,4,,,,,,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,20,4,,,240000,,2,180,180,180,2,1,5,1,3,1,,,,,,,,,,,,,888,3,,888,,1,1,,,,24.1846151162791
49,46,1,3,1,2,1,1,6,4,1,14,1," ",27,341,9,"7h00","17h00","888","888",1,,,1," ",12,0,,1,0,,,,0,1," ",7500000,1," ",50000,265,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",7," ",0,,,0,,,0,,,0,,,1,3,1,1,20,1,1,2,1,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,1,0,0,,,0,,,0,,,,,,,1,1,1,,,,,,,,,,,,,2," ",1,0,,,,," ",,,,,,,,,,,,,,,,," ",,,,,,,," ",,,," ",," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5478852941176
50,47,2,1,1,2,1,1,7,2,1,4,4," ",42,1389,9,"7h20","17h40","888","888",1,,,1," ",24,0,,1,2,1,60,2,0,1," ",200000,1," ",60000,888,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",3," ",1,2,0,1,4,0,1,3,0,0,,,0,,,1,108,1,1,2,1,1,2,0,0,,,0,,,0,,,0,,,0,,,1,10,0,0,,,0,,,1,2,0,1,2,1,0,,,,,,,,1,1,,,,,,,,,,,1,,1," ",1,1,1,1300,1,2,"B",,1,,,,,,,5,,,,,1,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,22,4,,,220000,,3,0,240,0,2,1,5,1,1,1,,,,,,,,,,,,,888,1,,888,,,1,1,,,20.2034487562189
51,48,2,1,1,2,1,1,6,3,5,8,2," ",48,701,12,"7h40","12h30","14h00","17h00",1,,,1," ",24,0,,1,0,,,,0,1," ",500000,1," ",500000,888,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",7," ",1,40,0,1,30,0,0,,,0,,,1,2,0,1,10,0,0,,,1,2,0,1,1,0,0,,,0,,,1,1,0,0,,,0,,,0,,,0,,,1,1,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,3,701,2,2,"B",,1,,,,,,,4,,,,1,1,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,32,4,,,320000,,2,60,180,180,2,1,6,1,3,1,,,,,,,,,,,,,888,1,,111,,,1,1,,,8.52196355140187
52,49,2,1,2,2,1,1,4,5,3,16,1," ",33,800,12,"7h00","12h20","888","888",1,,,1," ",24,0,,1,0,,,,0,1," ",7000,1," ",7000,888,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",7," ",1,12,0,0,,,0,,,0,,,0,,,1,149,0,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,800,1,2,"B",,1,,,,,,,4,,,,,1,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,10,4,,,100000,,3,0,240,0,1,1,6,1,2,1,,,,,,,,,,,,,888,1,,888,,1,1,1,,,90.9873333333333
53,50,2,1,2,2,1,2,6,3,4,8,4," ",60,1352,12,"7h00","12h20","14h00","17h00",1,,,1," ",24,0,,1,0,,,,0,1," ",100000,1," ",30000,255,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,1,1," ",0,0,,,,0,," ",7," ",1,20,0,0,,,0,,,0,,,0,,,1,228,0,1,2,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,1352,1,2,"B",,1,,,,,,,4,,,,1,1,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,17,4,,,170000,,2,0,180,0,1,1,8,1,2,1,,,,,,,,,,,,,888,1,,111,,,1,1,,,152.80155
54,51,2,1,2,2,1,1,6,3,1,12,1," ",46,1200,9,"7h00","17h00","888","888",1,,,1," ",24,0,,1,1,1,60,1,0,1," ",20000,1," ",150000,255,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",5," ",1,17,0,0,,,0,,,0,,,0,,,1,5,0,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20,0,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,1200,1,2,"B",,1,,,,,,,5,,,,1,,,," ",1,,,,,,," ",1,1,1," ",888," ",1,,2,,7,4,,,70000,,2,0,300,0,2,1,3,1,2,1,,,,,,,,,,,,,1,2,,888,1,,,,,,45.2318409090909
55,52,2,1,2,2,1,1,3,6,4,8,1," ",29,370,12,"7h00","12h20","14h00","17h00",1,,,1," ",12,0,,1,0,,,,0,1," ",7000,1," ",7000,888,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,1,4," ",7," ",1,14,0,0,,,0,,,0,,,0,,,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,2,370,1,2,"B",,1,,,,,,,2,,,,,1,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,10,4,,,110000,,2,60,240,888,2,1,6,1,2,1,,,,,,,,,,,,,888,1,,111,,,1,1,,,207.560347826087
68,53,2,2,2,2,10,1,6,4,1,3,2," ",27,600,10,"7h00","16h00","888","888",1,,,1," ",24,1,2,1,3,1,60,1,0,1," ",100000,1," ",15000,888,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",3," ",0,,,0,,,0,,,0,,,0,,,1,58,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,600,1,2,"B",,1,,,,,,,4,,,,,,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,2,,4,4,,,36000,,3,0,120,0,2,1,2,1,2,1,,,,,,,,,,,,,888,2,,888,1,1,1,1,,,138.488
71,54,2,2,2,2,10,1,6,4,1,7,1," ",26,769,10,"7h20","17h00","888","888",1,,,1," ",24,0,,1,0,,,,0,1," ",30000,1," ",30000,888,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",7," ",0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,769,1,2,"A",1,,,,,,,,4,,,,,1,,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,12,4,,,132000,,2,0,180,0,1,1,5,1,1,1,,,,,,,,,,,,,888,1,,888,1,,1,,,,111.031052054795
79,55,2,3,1,2,1,2,6,4,1,12,1," ",17,457,9,"7h20","12h40","888","888",1,,,1," ",12,0,,1,1,1,60,1,0,1," ",50000,1," ",5000,227,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",7," ",1,6,0,0,,,0,,,0,,,0,,,1,141,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,17,0,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,457,1,2,"B",,1,,,,,,,2,,,,,1,,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,6,4,,,66000,,3,0,120,0,2,1,4,1,2,1,,,,,,,,,,,,,888,1,,888,,,1,,,,13.34441
80,56,2,3,2,2,1,2,4,6,1,12,1," ",15,511,9,"6h00","17h00","888","888",1,,,1," ",12,0,,1,0,,,,0,1," ",10000,1," ",10000,888,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",7," ",0,,,1,6,0,1,3,0,0,,,0,,,1,103,0,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,,1,15,0,0,,,0,,,1,1,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,511,1,2,"B",,1,,,,,,,4,,,,,1,,," ",1,,,,,,," ",1,1,1," ",888," ",1,,2,,4,4,,,36000,,1,0,180,0,2,1,5,1,3,2,,,,,,,,,,1,1,,888,1,,888,,,,1,,,104.835668449198
81,57,2,3,2,2,2,2,6,4,5,8,2," ",43,1396,9,"7h00","17h00","888","888",1,,,1," ",24,0,,1,2,0,30,1,0,1," ",50000,1," ",40000,255,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",7," ",1,40,0,0,,,0,,,0,,,1,1,0,1,309,0,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,,1,43,0,0,,,1,23,0,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,1396,1,2,"B",,1,,,,,,,4,,,,,,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,19,4,,,209000,,1,0,240,0,2,1,5,1,2,2,1,,,1,,,,,,1,1,,888,1,,111,,,1,,,,112.872822222222
82,58,2,3,2,2,2,1,3,3,555,2,1," ",25,718,9,"7h00","11h45","888","888",1,,,1," ",12,0,,1,3,1,60,3,0,1," ",20000,1," ",20000,888,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",6," ",1,2,0,0,,,0,,,0,,,0,,,1,200,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,718,1,2,"B",,1,,,,,,,4,,,1,,,,," ",1,,,,,,," ",1,1,1," ",888," ",1,,2,,4,4,,,40000,,1,0,888,0,2,1,8,1,2,2,,,1,1,,,,,,1,1,,888,1,,888,,,,1,,,198.80024
84,59,2,4,2,2,1,1,3,6,3,2,1," ",21,500,9,"7h00","12h20","14h00","17h00",1,,,1," ",24,0,,1,0,,,,0,1," ",10000,1," ",14000,255,1,0,,,,,,,,,,,,,,," ",,,," ",,,," ",,," ",,,0,1," ",0,0,,,,0,," ",7," ",1,4,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,1,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,," ",,1,1,500,1,2,"B",,1,,,,,,,4,,,,,1,1,," ",1,,,,,,," ",1,1,1," ",888," ",1,,1,,6,4,,,60000,,3,0,120,0,2,1,6,1,3,1,,,,,,,,,,,,,888,1,,888,,,,1,,,72.2506289308176
