"Cluster","CO_ID","CI01","CI02","CI06","CI07","CI08","CO_B01","CO_B02","CO_B03","CO_B05","CO_B06","CO_B07","CO_B07B","CO_B07_OTHER","Basicweight"
45,43,1,3,1,1,1,2,"11:57","08/06/2022",2,29,2,555,19,17.1043262068966
45,43,1,3,1,1,1,5,"12:02","08/06/2022",2,26,7,999,,17.1043262068966
45,43,1,3,1,1,1,4,"12:00","08/06/2022",2,37,555,999,14,17.1043262068966
46,44,1,3,2,1,4,1,"15:54","08/06/2022",1,32,1,999,,34.238744813278
46,44,1,3,2,1,4,2,"15:55","08/06/2022",1,28,4,999,,34.238744813278
46,44,1,3,2,1,4,3,"15:56","08/06/2022",1,45,2,4,,34.238744813278
47,45,1,3,1,1,1,1,"12:09","10/06/2022",1,30,1,999,,88.8850588235294
47,45,1,3,1,1,1,3,"12:11","10/06/2022",1,45,4,999,,88.8850588235294
47,45,1,3,1,1,1,2,"12:10","10/06/2022",1,50,3,999,,88.8850588235294
48,46,1,3,1,1,1,3,"09:39","08/06/2022",1,49,4,999,,24.1846151162791
48,46,1,3,1,1,1,1,"09:36","08/06/2022",1,63,1,999,,24.1846151162791
48,46,1,3,1,1,1,2,"09:37","08/06/2022",1,53,3,999,,24.1846151162791
49,47,1,3,1,1,1,3,"09:33","09/06/2022",2,56,4,999,,22.5478852941176
49,47,1,3,1,1,1,1,"09:30","09/06/2022",1,51,1,999,,22.5478852941176
49,47,1,3,1,1,1,2,"09:31","09/06/2022",1,49,3,999,,22.5478852941176
50,48,2,1,1,1,1,1,"11:09","23/06/2022",1,42,1,9,,20.2034487562189
50,48,2,1,1,1,1,2,"11:10","23/06/2022",2,53,2,8,,20.2034487562189
50,48,2,1,1,1,1,3,"11:12","23/06/2022",1,43,3,999,,20.2034487562189
51,49,2,1,1,1,1,1,"07:36","22/06/2022",1,30,3,999,,8.52196355140187
51,49,2,1,1,1,1,2,"07:37","22/06/2022",2,50,2,999,,8.52196355140187
51,49,2,1,1,1,1,3,"07:38","22/06/2022",2,52,4,999,,8.52196355140187
52,50,2,1,2,1,1,5,"13:09","23/06/2022",2,35,6,999,,90.9873333333333
52,50,2,1,2,1,1,3,"13:06","23/06/2022",1,42,2,999,,90.9873333333333
52,50,2,1,2,1,1,1,"13:04","23/06/2022",1,40,1,999,,90.9873333333333
52,50,2,1,2,1,1,4,"13:07","23/06/2022",2,30,4,8,,90.9873333333333
52,50,2,1,2,1,1,2,"13:05","23/06/2022",1,38,3,999,,90.9873333333333
53,51,2,1,2,1,1,3,"12:07","22/06/2022",2,40,2,999,,152.80155
53,51,2,1,2,1,1,2,"12:07","22/06/2022",1,45,3,999,,152.80155
53,51,2,1,2,1,1,1,"12:06","22/06/2022",2,54,1,999,,152.80155
53,51,2,1,2,1,1,4,"12:08","22/06/2022",2,60,4,999,,152.80155
54,52,2,1,2,1,1,1,"12:07","21/06/2022",1,34,3,999,,45.2318409090909
54,52,2,1,2,1,1,2,"12:08","21/06/2022",1,35,1,999,,45.2318409090909
54,52,2,1,2,1,1,3,"12:08","21/06/2022",2,36,4,999,,45.2318409090909
55,53,2,1,2,1,1,3,"11:59","21/06/2022",2,38,11,999,,207.560347826087
55,53,2,1,2,1,1,1,"11:57","21/06/2022",1,32,1,999,,207.560347826087
55,53,2,1,2,1,1,4,"11:59","21/06/2022",2,30,2,999,,207.560347826087
55,53,2,1,2,1,1,2,"11:58","21/06/2022",1,40,3,999,,207.560347826087
56,54,2,2,2,1,10,1,"14:13","20/06/2022",1,27,1,999,,11.9489366834171
57,55,2,2,2,1,10,2,"09:55","13/06/2022",1,53,555,3,14,6.323716875
57,55,2,2,2,1,10,1,"09:52","13/06/2022",1,49,1,999,,6.323716875
58,56,2,2,2,1,10,1,"15:15","13/06/2022",1,37,1,999,,94.0141550802139
59,57,2,2,2,1,10,1,"09:59","18/06/2022",1,36,1,8,,11.4382214285714
60,58,2,2,2,1,10,1,"11:38","19/06/2022",1,38,1,999,,15.5927013157895
60,58,2,2,2,1,10,2,"11:40","19/06/2022",2,40,555,3,2,15.5927013157895
61,59,2,2,2,1,10,1,"13:22","17/06/2022",1,32,3,999,,10.5182256410256
61,59,2,2,2,1,10,2,"13:22","17/06/2022",1,38,1,999,,10.5182256410256
62,60,2,2,2,1,10,1,"09:42","17/06/2022",1,24,1,999,,9.59673777777778
62,60,2,2,2,1,10,2,"09:43","17/06/2022",1,40,11,999,,9.59673777777778
63,61,2,2,2,1,10,2,"13:46","16/06/2022",1,42,555,3,7,5.68636416666667
63,61,2,2,2,1,10,1,"13:44","16/06/2022",2,29,1,999,,5.68636416666667
64,62,2,2,2,1,10,2,"12:07","20/06/2022",2,30,2,999,,7.20332459016393
64,62,2,2,2,1,10,1,"12:06","20/06/2022",2,28,1,999,,7.20332459016393
65,63,2,2,2,1,10,1,"15:36","15/06/2022",1,47,1,999,,10.1865876923077
66,64,2,2,2,1,10,1,"09:49","16/06/2022",2,49,2,999,,4.40477818181818
