"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","M01_01","M01_02","M01_03","M01_04","M01_05","M01_06","M01_07","M01_08","M01_09","M01_10","M01_11","M01_12","M01_OTHER","M02_01","M02_02","M02_03","M02_04","M02_OTHER","M03","M04","M04_OTHER","N01","N02","N11_01","N11_02","N11_03","N11_04","N11_05","N11_06","N11_07","N11_08","N11_09","N11_10","N11_11","N11_13","N11_14","N11_15","N11_16","N11_17","N11_18","N11_20","N11_21","N11_22","N11_23","N11_24","N11_26","N11_27","N11_28","N11_29","N11_30","N11_31","N11_32","N11_33","N11_34","N11_35","N11_37","hhid","camp","ref_weight"
1,11,4,1,7,1,262.5804,1,,,,,,,,,,,," ",1,,,,,1,2," ","02",1,"0102"," ","0102"," "," "," ","02"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0102"," "," ","01"," "," "," "," ",110400701,,
1,11,4,1,8,1,262.5804,1,,1,1,,,,,,,,," ",1,,,,,2,2," ","01",1,"01"," ","01"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",110400801,,
1,11,4,1,9,1,262.5804,1,,,1,,,,,,,,," ",1,,,,,2,2," ","02",3," "," ","0102"," "," "," ","01"," "," "," "," ","0102"," "," "," "," "," "," "," "," "," "," ","0102","0102","0102","0102"," "," ","0102"," "," "," "," ",110400901,,
1,11,4,1,10,1,262.5804,1,,,,,,,,,,,," ",1,,,,,1,2," ","01",2,"0102"," ","0102"," "," "," "," "," "," "," "," ","01"," "," "," "," "," "," "," "," "," "," "," "," ","0102","0102"," "," "," "," "," "," "," ",110401001,,
1,11,4,1,11,1,262.5804,1,,,,,,,,,,,," ",1,,,,,2,1," ","02",3," "," ","0102"," "," "," ","0102"," "," ","0102"," ","0102"," ","0102"," "," "," "," "," "," "," "," ","0102","0102","0102","0102"," ","0102"," ","0102"," "," "," ",110401101,,
1,11,4,1,12,1,262.5804,,,,,,,,,,,1,," ",,,,555,6,2,2," ","02",3," "," ","0102"," "," "," "," "," "," "," "," ","01"," "," "," "," "," "," "," "," "," "," "," "," "," ","0102"," ","01"," "," "," "," "," ",110401201,,
1,11,4,1,13,1,262.5804,1,,,1,,1,,,,1,,," ",1,,,,,2,2," ","01",1," "," ","01"," "," "," "," "," "," "," "," ","01"," "," "," "," "," "," "," "," "," "," "," "," ","01"," "," ","01"," "," "," "," "," ",110401301,,
1,11,4,1,15,1,262.5804,,,,,,,,,,,1,," ",,,,555,6,1,2," ","02",2," "," ","0102"," "," "," ","0102"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0102","0102","0102"," "," "," "," "," ",110401501,,
1,11,4,1,17,1,262.5804,,,,,,,,,,,,555,"They have them",,,,555,6,2,2," ","01",2," "," ","01"," "," ","01","01"," "," "," "," ","01"," "," "," "," "," "," "," "," "," "," "," "," ","03","01"," ","01"," "," "," "," "," ",110401701,,
1,11,4,1,19,1,262.5804,1,,,,,,,,,,,," ",1,,,,,1,2," ","02",1," "," ","0102"," "," "," "," "," "," "," "," ","0102"," "," "," "," "," "," "," "," "," "," "," "," ","0102"," "," ","0102"," "," "," "," "," ",110401901,,
1,11,4,1,21,1,262.5804,1,,,1,,,,,,,,," ",1,,,,,2,1," ","01",2," "," ","01"," "," "," ","01"," "," "," "," ","01"," "," "," "," "," "," "," "," "," "," ","01"," ","01","01"," "," ","01"," "," "," "," ",110402101,,
1,11,4,1,22,1,262.5804,1,,1,1,,,,,,,,," ",1,,,,,3,2," ","01",2," "," ","01"," "," "," ","0102"," "," "," "," ","010203"," "," "," "," "," "," "," "," "," "," ","0203"," ","01","010203"," "," "," "," "," "," "," ",110402201,,
1,11,5,1,1,1,35.6145062761506,,1,1,,,,,,,,1,," ",1,,1,,,,3," ","02",2," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","01"," "," "," "," "," "," "," ",110500101,,
1,11,5,1,2,1,35.6145062761506,,1,1,,,,,,,,,," ",1,,,,,,2," ","02",3," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",110500201,,
1,11,5,1,3,1,35.6145062761506,,,1,1,,,,,,,,," ",1,,,,,,2," ","02",3," "," "," "," "," ","01"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0102"," "," "," "," "," "," "," "," ",110500301,,
1,11,5,1,4,1,35.6145062761506,,,1,,,,,,,,1,," ",1,,,,,,2," ","02",1," "," "," "," "," ","01"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0102"," "," "," "," "," "," "," ",110500401,,
1,11,5,1,5,1,187.074,1,,,,,,,,,,,," ",1,,,,,1,2," ","01",1,"0102"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",110500501,,
1,11,5,1,6,1,187.074,1,,,,,,,,,,,," ",1,,,,,1,2," ","01",2,"0102"," ","0102"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0102"," "," "," "," "," "," "," ",110500601,,
1,11,5,1,7,1,187.074,1,,,1,,,,,,1,,," ",1,,,,,2,2," ","01",1," "," ","01"," "," "," ","01"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","01"," "," "," "," "," "," "," "," ",110500701,,
1,11,5,1,8,1,187.074,1,,,,,,,,,,1,," ",1,,,,,2,2," ","02",1," "," ","0102"," "," "," ","01"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","01"," ","0102"," "," "," "," "," ",110500801,,
1,11,5,1,9,1,187.074,1,,1,1,,,,,,,1,," ",1,,,,,1,1," ","01",2," "," ","01"," "," ","01","01"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","01"," "," "," "," "," "," "," ",110500901,,
1,11,5,1,10,1,187.074,1,,,,,,,,,,,," ",1,,,,,1,2," ","01",2,"01"," ","01"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",110501001,,
1,11,5,1,11,1,187.074,1,,,1,,,,,,,,," ",1,,1,,,3,2," ","01",1," "," ","0102"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0203","0102"," ","0102"," "," "," "," "," ",110501101,,
1,11,5,1,12,1,187.074,1,,,1,,,,,,1,,," ",1,,,,,3,2," ","02",3," "," ","0102"," ","02"," ","01"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0102"," "," "," ","0102"," "," "," "," ",110501201,,
1,11,5,1,14,1,187.074,1,,,1,,1,,,,,,," ",1,,,,,2,2," ","02",1," "," ","0102"," ","01","01","01"," "," "," "," ","01"," "," "," "," "," "," "," "," "," "," "," "," ","01","01"," "," ","01"," "," "," "," ",110501401,,
1,11,5,1,16,1,187.074,1,,,,,,,,,,,," ",1,,,,,1,1," ","01",1," "," ","01"," "," "," "," "," "," "," "," ","01","01"," "," "," "," "," "," "," "," "," "," "," ","02","01"," ","01"," "," "," "," "," ",110501601,,
1,11,5,1,17,1,187.074,1,,1,1,,,,,,,,," ",1,,,,,1,2," ","01",2," "," ","01"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","01"," "," "," "," "," "," "," "," ",110501701,,
1,11,5,1,18,1,187.074,1,,,1,,1,,,,,,," ",1,,,,,1,2," ","01",2,"01"," "," "," ","01","01","01"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","01","01"," "," ","01","01"," "," "," ",110501801,,
1,11,5,1,20,1,187.074,,,1,1,,,,,,,,," ",,,,555,16,2,2," ","02",1,"0102"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0102"," "," "," "," "," "," "," ",110502001,,
1,11,6,1,1,1,504.2603,1,,,1,,1,,,,,,," ",1,,,,,2,2," ","02",2," ","0102","0102"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",110600101,,
1,11,6,1,2,1,504.2603,1,,,1,,,,,,,,," ",1,,,,,1,2," ","01",2," "," ","01","01"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","01"," ","01"," "," "," "," "," "," "," "," ",110600201,,
1,11,6,1,3,1,504.2603,1,,,1,,,,,,,,," ",1,,,,,2,2," ","02",1," "," ","0102"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","02"," "," "," ","01"," "," "," "," ",110600301,,
1,11,6,1,4,1,504.2603,1,,1,,,1,,,,,,," ",1,,,,,2,2," ","01",2," "," ","01"," ","01"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","01","01"," "," "," "," "," "," "," ",110600401,,
1,11,6,1,5,1,504.2603,1,,,1,,,,,,,,," ",1,,,,,1,2," ","02",3," "," ","0102"," "," "," "," "," "," "," "," ","01"," "," "," "," "," "," "," "," "," "," "," "," ","0102"," "," ","01","01"," "," "," "," ",110600501,,
1,11,6,1,6,1,504.2603,1,,1,,,,,,,,,," ",1,,,,,2,2," ","01",2,"01"," "," "," "," "," "," "," "," "," "," ","01"," "," "," "," "," "," "," "," "," "," ","01"," ","01"," "," "," "," "," "," "," "," ",110600601,,
1,11,6,1,7,1,504.2603,1,,1,1,,,,,,,,," ",1,,,,,2,2," ","02",2," "," ","0102"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0102"," "," "," "," "," "," "," ",110600701,,
1,11,6,1,8,1,504.2603,1,,1,1,,,,,,,,," ",1,,,,,3,2," ","02",1," "," ","0102"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","01"," "," "," "," "," "," "," "," ",110600801,,
1,11,6,1,9,1,504.2603,1,,,1,,,,,,,,," ",1,,,,,2,2," ","01",2,"01"," "," "," "," "," "," "," "," "," "," ","01"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","01"," "," "," "," "," ",110600901,,
1,11,6,1,10,1,504.2603,1,,,,,,,,,,,," ",1,,,,,2,2," ","01",2," "," ","01"," "," "," "," "," "," "," "," ","01"," "," "," "," "," "," "," "," "," "," ","01"," ","01","03"," ","01"," "," "," "," "," ",110601001,,
1,11,6,1,11,1,504.2603,,1,,,,,,,,,,," ",,,1,,,1,2," ","02",2," "," ","0102"," "," "," "," "," "," "," "," ","02"," "," "," "," "," "," "," "," "," "," "," "," ","02"," "," "," ","01"," "," "," "," ",110601101,,
