"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","G01","G02","G02A","G02B","G28","G29","G30","G31","G32","G33","G34","G35A","G35B","G36A","G36B","G37A","G37B","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G48_AREA_OTHER","G49_SQUARE","G49_L","G49_W","G49_CERCLE","G50","G51","G52","G53","G54","G54_OTHER","G55_1","G55_2","G55_3","G55_4","G55_5","G55_6","G55_7","G55_8","G55_9","G55_10","G55_OTHER","hhid","camp","ref_weight"
1,11,3,2,8,1,179.50659375,"02",90,1,,,,,,,,,0,,1,4,0,,2,2,4,3,3,4,5,3,0,0,2,,,4,3,,1,5,1,1,6,,,,,,,,,,,," ",110300801,,
1,11,3,2,9,1,1566.603,"01",60,2,,,,,,,,,0,,0,,0,,3,888,3,888,3,3,4,3,0,,,,,,,,,,,,555,6,,,,,,,,,,," ",110300901,,
1,11,3,2,10,1,1566.603,"02",60,1,,,,,,,,,0,,1,4,0,,4,2,2,2,2,5,5,888,1,0,1,,3,,,,1,2,1,1,1,,,,,,,,,,,," ",110301001,,
1,11,3,2,11,1,1566.603,"02",480,1,,2,2,2,2,2,2,3,0,,0,,0,,2,2,4,2,2,2,2,4,1,1,2,,,3,2,,1,3,1,1,2,,,,,,,,,,,," ",110301101,,
1,11,3,2,12,1,1566.603,"02",240,1,,,,,,,,,0,,0,,0,,3,2,3,4,4,3,3,5,1,0,2,,,3,2,,1,3,1,1,2,,,,,,,,,,,," ",110301201,,
1,11,3,2,13,1,1566.603,"02",440,1,,,,,,,,,0,,0,,0,,2,2,2,4,5,3,3,3,1,1,1,,3,,,,1,3,2,1,2,,,,,,,,,,,," ",110301301,,
1,11,3,2,14,1,179.50659375,"01",60,1,,,,,,,,,0,,1,4,0,,888,2,888,4,2,888,2,888,0,,,,,,,,,,,,2,,,,,,,,,,,," ",110301401,,
1,11,3,2,15,1,179.50659375,"02",60,2,,,,,,,,,0,,0,,0,,888,2,888,2,2,888,4,888,0,,,,,,,,,,,,2,,,,,,,,,,,," ",110301501,,
1,11,3,2,16,1,1566.603,"02",120,2,,,,,,,,,0,,1,4,0,,5,888,888,1,2,4,2,888,1,0,2,,,2,2,,1,2,0,0,1,,,,,,,,,,,," ",110301601,,
1,11,3,2,17,1,1566.603,"02",60,2,,,,,,,,,0,,0,,0,,2,2,2,888,2,2,5,888,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110301701,,
1,11,3,2,18,1,1566.603,"02",150,1,,,,,,,,,0,,1,4,0,,888,2,888,2,2,888,888,888,1,0,1,,2,,,,1,5,0,1,2,,,,,,,,,,,," ",110301801,,
1,11,4,1,1,1,262.5804,"01",30,2,2,,,,,,,,0,,0,,0,,3,1,3,888,2,4,5,888,0,,,,,,,,,,,,2,,,,,,,,,,,," ",110400101,,
1,11,4,1,2,1,262.5804,"03",180,1,2,,,,,,,,0,,1,0,0,,2,2,3,4,2,2,5,2,0,,,,,,,,,,,,2,,,,,,,,,,,," ",110400201,,
1,11,4,1,3,1,262.5804,"02",180,1,1,,,,,,,,0,,0,,0,,2,2,5,888,2,888,5,888,0,,,,,,,,,,,,2,,,,,,,,,,,," ",110400301,,
1,11,4,1,4,1,262.5804,"03",120,1,2,,,,,,,,0,,0,,0,,888,888,888,1,2,3,2,5,0,,,,,,,,,,,,2,,,,,,,,,,,," ",110400401,,
1,11,4,1,5,1,262.5804,"03",240,1,1,3,3,3,5,3,5,5,0,,0,,0,,4,4,2,2,1,4,5,2,1,1,1,,2,,,,1,3,2,1,5,,,,,,,,,,,," ",110400501,,
1,11,4,1,6,1,262.5804,"02",240,1,1,,,,,,,,0,,0,,0,,3,5,5,4,4,3,5,5,0,,,,,,,,,,,,4,,,,,,,,,,,," ",110400601,,
1,11,4,1,7,1,262.5804,"02",90,1,2,,,,,,,,0,,0,,0,,888,1,3,888,4,3,5,888,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110400701,,
1,11,4,1,8,1,262.5804,"01",30,2,2,,,,,,,,0,,0,,0,,888,1,888,888,2,888,888,888,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110400801,,
1,11,4,1,9,1,262.5804,"02",145,1,1,,,,,,,,1,0,1,0,0,,2,2,2,2,1,2,2,2,1,1,1,,2,,,,1,2,2,1,2,,,,,,,,,,,," ",110400901,,
1,11,4,1,10,1,262.5804,"02",30,1,2,,,,,,,,0,,0,,0,,888,1,888,2,888,3,4,888,1,1,1,,3,,,,1,3,1,1,2,,,,,,,,,,,," ",110401001,,
1,11,4,1,11,1,262.5804,"06",240,1,1,3,3,3,3,3,5,5,0,,0,,0,,2,2,2,5,2,2,5,2,1,1,2,,,5,4,,1,4,2,0,2,,,,,,,,,,,," ",110401101,,
1,11,4,1,12,1,262.5804,"05",120,1,2,,,,,,,,1,1,1,0,0,,2,2,2,5,2,2,2,2,0,,,,,,,,,,,,4,,,,,,,,,,,," ",110401201,,
1,11,4,1,13,1,262.5804,"01",180,1,1,,,,,,,,0,,0,,0,,4,5,2,2,2,5,5,888,1,1,1,,2,,,,1,3,2,1,5,,,,,,,,,,,," ",110401301,,
1,11,4,1,15,1,262.5804,"02",120,1,1,,,,,,,,1,1,1,1,0,,1,2,2,2,2,2,1,2,0,,,,,,,,,,,,2,,,,,,,,,,,," ",110401501,,
1,11,4,1,17,1,262.5804,"01",60,1,2,,,,,,,,1,0,1,0,0,,1,1,2,3,2,2,5,2,1,1,1,,3,,,,1,3,1,1,1,,,,,,,,,,,," ",110401701,,
1,11,4,1,19,1,262.5804,"02",300,1,1,,,,,,,,0,,0,,0,,2,4,4,4,3,3,4,4,0,,,,,,,,,,,,2,,,,,,,,,,,," ",110401901,,
1,11,4,1,21,1,262.5804,"05",180,1,1,,,,,,,,0,,0,,0,,5,4,2,3,3,1,5,3,0,,,,,,,,,,,,3,,,,,,,,,,,," ",110402101,,
1,11,4,1,22,1,262.5804,"05",180,1,2,,,,,,,,0,,0,,0,,4,2,1,2,1,5,1,888,1,1,2,,,3,2,,1,3,2,1,5,,,,,,,,,,,," ",110402201,,
1,11,5,1,1,1,35.6145062761506,"02",120,1,2,,,,,,,,1,0,1,0,0,,1,2,888,2,2,1,2,2,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110500101,,
1,11,5,1,2,1,35.6145062761506,"01",60,2,2,,,,,,,,1,0,1,0,0,,888,2,888,2,2,2,2,2,0,0,1,,2,,,,1,2,1,1,1,,,,,,,,,,,," ",110500201,,
1,11,5,1,3,1,35.6145062761506,"02",260,1,2,,,,,,,,1,1,1,3,0,,2,2,2,2,1,2,2,2,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110500301,,
1,11,5,1,4,1,35.6145062761506,"02",180,1,1,,,,,,,,0,,1,2,0,,2,2,2,4,2,2,5,3,0,,,,,,,,,,,,2,,,,,,,,,,,," ",110500401,,
1,11,5,1,5,1,187.074,"02",60,1,2,,,,,,,,0,,0,,0,,3,1,888,888,4,4,5,888,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110500501,,
1,11,5,1,6,1,187.074,"02",60,1,2,,,,,,,,0,,0,,0,,4,1,2,3,888,888,888,5,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110500601,,
1,11,5,1,7,1,187.074,"01",120,1,2,,,,,,,,0,,1,2,0,,2,2,3,2,2,5,5,888,1,1,1,,3,,,,1,5,2,1,2,,,,,,,,,,,," ",110500701,,
1,11,5,1,8,1,187.074,"02",240,1,2,,,,,,,,0,,1,2,0,,2,1,4,4,2,3,5,2,0,,,,,,,,,,,,2,,,,,,,,,,,," ",110500801,,
1,11,5,1,9,1,187.074,"01",120,1,2,,,,,,,,1,0,1,0,0,,4,1,3,1,1,3,5,3,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110500901,,
1,11,5,1,10,1,187.074,"01",30,1,2,,,,,,,,0,,0,,0,,4,1,888,3,4,888,4,888,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110501001,,
1,11,5,1,11,1,187.074,"01",120,2,2,,,,,,,,0,,1,3,0,,3,1,3,4,2,3,5,4,0,,,,,,,,,,,,2,,,,,,,,,,,," ",110501101,,
1,11,5,1,12,1,187.074,"02",120,1,2,3,3,3,5,3,3,5,0,,0,,0,,1,2,2,2,2,2,5,2,1,1,2,,,4,2,,1,4,3,1,2,,,,,,,,,,,," ",110501201,,
1,11,5,1,14,1,187.074,"06",150,1,1,,,,,,,,1,1,1,0,0,,4,1,3,1,1,3,5,3,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110501401,,
1,11,5,1,16,1,187.074,"01",180,2,2,,,,,,,,0,,1,3,0,,1,2,3,4,2,3,5,4,0,,,,,,,,,,,,2,,,,,,,,,,,," ",110501601,,
1,11,5,1,17,1,187.074,"01",120,1,2,,,,,,,,1,0,1,0,0,,3,1,3,3,1,3,5,3,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110501701,,
1,11,5,1,18,1,187.074,"01",150,1,2,,,,,,,,1,0,1,0,0,,4,2,3,2,1,3,5,3,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110501801,,
1,11,5,1,20,1,187.074,"02",120,1,2,,,,,,,,1,0,1,0,0,,4,1,3,2,1,3,5,3,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110502001,,
1,11,6,1,1,1,504.2603,"02",60,1,2,3,3,3,3,3,3,3,1,888,1,3,1,0,1,888,5,5,5,5,4,1,0,,,,,,,,,,,,1,,,,,,,,,,,," ",110600101,,
