"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","D1","D_TIER","D_PRICE","D2","D3","D4","D5","D6","D7","D07_OTHER","E00A","E01A","E01B","E01C","E02A","E02B","E02C","E03A","E03B","E03C","E04A","E04B","E04C","E05A","E05B","E05C","E06A","E06B","E06C","E07A","E07B","E07C","E08A","E08B","E09A","E09B","E09C","E10A","E10B","E10C","E11A","E11B","E13A","E13B","E14A","E14B","E15A","E15B","E16A","E16B","E17A","E17B","E18A","E18B","E20A","E20B","E21A","E21B","E22A","E22B","E23A","E23B","E24A","E24B","E26A","E26B","E27A","E27B","E28A","E28B","E29A","E29B","E30A","E30B","E30C","E31A","E31B","E31C","E32A","E32B","E32C","E33A","E33B","E34A","E34B","E35A","E35B","E37A","E37B","E38","E38_OTHER","F01","F10","F10_OTHER","hhid","camp","ref_weight"
1,11,4,1,5,1,262.5804,,,," ",,,,,,,0,0,,,0,,,12,1,12,0,,,0,,,0,,,0,,,0,,0,,,1,1,8,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,1,0,,2,1,1,1,0,,,1,1,6,0,,,0,,0,,0,,0,,2,,"01",1,,110400501,,
1,11,4,1,6,1,262.5804,,,," ",,,,,,,0,0,,,0,,,5,1,4,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,1,0,,0,,,0,,,1,1,5,0,,0,,0,,0,,555,4,"01",1,,110400601,,
1,11,4,1,7,1,262.5804,,,," ",,,,,,,0,4,1,5,0,,,4,1,5,0,,,0,,,0,,,1,1,3,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,1,0,,,0,,,1,1,4,0,,0,,0,,0,,555,4,"02",111,,110400701,,
1,11,4,1,8,1,262.5804,,,," ",,,,,,,0,2,1,4,0,,,2,1,4,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,0,,0,,0,,555,4,"01",111,,110400801,,
1,11,4,1,9,1,262.5804,,,," ",,,,,,,0,0,,,0,,,8,1,4,0,,,0,,,0,,,1,1,0,0,,0,,,0,,,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,1,1,2,1,1,1,0,,,0,,,1,1,6,0,,0,,0,,0,,4,,"01",1,,110400901,,
1,11,4,1,10,1,262.5804,,,," ",,,,,,,0,4,1,4,0,,,4,1,4,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,1,1,1,0,,,0,,,0,,,0,,0,,0,,0,,555,4,"01",1,,110401001,,
1,11,4,1,11,1,262.5804,,,," ",,,,,,,0,0,,,0,,,9,1,11,0,,,0,,,0,,,1,1,2,0,,0,,,1,1,24,0,,1,1,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,,1,1,1,1,2,1,2,1,0,,,1,1,5,0,,,1,1,0,,0,,0,,4,,"02",1,,110401101,,
1,11,4,1,12,1,262.5804,,,," ",,,,,,,0,0,,,0,,,5,1,7,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,1,0,,,1,1,2,0,,,0,,0,,0,,0,,4,,"01",111,,110401201,,
1,11,4,1,13,1,262.5804,,,," ",,,,,,,0,0,,,0,,,6,1,12,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,1,0,,0,,,1,1,6,0,,,0,,0,,0,,0,,2,,"01",111,,110401301,,
1,11,4,1,15,1,262.5804,,,," ",,,,,,,0,0,,,0,,,2,1,6,0,,,0,,,0,,,1,1,7,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,1,1,0,6,1,1,3,0,,,0,,0,,0,,0,,555,4,"01",1,,110401501,,
1,11,4,1,17,1,262.5804,,,," ",,,,,,,0,0,,,0,,,6,1,12,0,,,0,,,1,1,1,1,1,1,0,,0,,,0,,,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,1,1,0,,,1,1,3,0,,,0,,0,,0,,0,,1,,"01",1,,110401701,,
1,11,4,1,19,1,262.5804,,,," ",,,,,,,0,0,,,0,,,4,1,4,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,0,,,1,1,2,0,,,0,,0,,0,,0,,555,4,"01",1,,110401901,,
1,11,4,1,21,1,262.5804,,,," ",,,,,,,0,0,,,0,,,3,1,5,0,,,0,,,0,,,1,1,12,0,,0,,,0,,,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,3,1,1,1,0,,,0,,,1,1,3,0,,0,,0,,0,,2,,"05",111,,110402101,,
1,11,4,1,22,1,262.5804,,,," ",,,,,,,0,0,,,0,,,7,1,12,0,,,0,,,0,,,1,1,3,0,,0,,,0,,,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,6,1,1,1,0,,,0,,,0,,,0,,0,,0,,0,,2,,"01",1,,110402201,,
1,11,5,1,1,1,35.6145062761506,111,1,82500,"01",0,0,0,1,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,,0,,,0,,,0,,0,,0,,0,,555,4,"01",111,,110500101,,
1,11,5,1,2,1,35.6145062761506,111,2,245000,"01",0,0,0,0,1,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,0,,0,,0,,555,4,"01",6,,110500201,,
1,11,5,1,3,1,35.6145062761506,111,2,215000,"01",0,0,0,0,555,11,0,0,,,0,,,0,,,0,,,0,,,1,1,6,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,0,,,0,,,0,,,0,,0,,0,,0,,555,4,"01",6,,110500301,,
1,11,5,1,4,1,35.6145062761506,111,2,215000,"02",0,0,0,1,,,0,0,,,0,,,0,,,0,,,0,,,1,0,12,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,1,0,,,0,,,0,,,0,,0,,0,,0,,2,,"02",6,,110500401,,
1,11,5,1,5,1,187.074,,,," ",,,,,,,0,3,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,0,,0,,0,,555,4,"01",1,,110500501,,
1,11,5,1,6,1,187.074,,,," ",,,,,,,0,3,1,4,0,,,3,1,4,0,,,0,,,0,,,0,,,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,1,0,,,0,,,0,,,0,,0,,0,,0,,555,4,"01",1,,110500601,,
1,11,5,1,7,1,187.074,,,," ",,,,,,,0,0,,,0,,,4,1,12,0,,,0,,,0,,,1,1,3,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,0,,,0,,,0,,,0,,0,,0,,0,,2,,"01",111,,110500701,,
1,11,5,1,8,1,187.074,,,," ",,,,,,,0,0,,,0,,,5,1,10,0,,,0,,,0,,,1,1,1,0,,0,,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,,1,1,3,0,,,0,,0,,0,,0,,2,,"02",1,,110500801,,
