"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","A01","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","A13","A13_OTHER","A14","A15","A15_OTHER","A16","A17","A18","A19","A19_OTHER","A20","A22","A22B","A22B_OTHER","hhid","camp","ref_weight"
1,11,2,2,13,1,221.941,4,1,3,13,1,1,2,1,7,1,1,," ",,," ",1,,,,,6,,,,110201301,,
1,11,2,2,13,1,221.941,3,1,3,16,1,1,4,1,7,1,1,," ",,," ",1,,,,,6,,,,110201301,,
1,11,2,2,14,1,221.941,1,1,1,54,1,1,2,1,1,1,1,," ",,," ",1,,,,,6,2,,,110201401,,
1,11,2,2,14,1,221.941,5,1,3,5,1,1,1,0,,,,," ",,," ",,,,,,,,,,110201401,,
1,11,2,2,14,1,221.941,3,2,3,16,1,1,4,1,7,1,1,," ",,," ",1,,,,,2,,,,110201401,,
1,11,2,2,14,1,221.941,2,2,2,40,1,1,2,1,1,1,1,," ",,," ",1,,,,,1,,,,110201401,,
1,11,2,2,14,1,221.941,4,2,3,15,1,1,2,1,7,1,1,," ",,," ",1,,,,,2,,,,110201401,,
1,11,2,2,15,1,221.941,3,2,3,14,1,1,4,1,7,1,1,," ",,," ",2,2017,"Gasabo",4,,6,,,,110201501,,
1,11,2,2,15,1,221.941,1,1,1,34,1,1,2,1,2,1,1,," ",,," ",2,2017,"Gasabo",555,2,6,1,8,31,110201501,,
1,11,2,2,15,1,221.941,2,2,2,32,1,1,2,1,2,1,1,," ",,," ",2,2017,"Gasabo",555,2,1,,,,110201501,,
1,11,2,2,15,1,221.941,4,1,3,11,1,1,2,0,,,,," ",,," ",,,,,,6,,,,110201501,,
1,11,2,2,15,1,221.941,5,1,3,6,1,1,2,0,,,,," ",,," ",,,,,,6,,,,110201501,,
1,11,2,2,15,1,221.941,6,2,3,5,1,1,1,0,,,,," ",,," ",,,,,,,,,,110201501,,
1,11,2,2,16,1,221.941,1,1,1,61,1,1,2,1,1,1,1,," ",,," ",1,,,,,6,1,2,,110201601,,
1,11,2,2,16,1,221.941,3,2,3,18,1,1,4,1,7,1,1,," ",,," ",1,,,,,2,,,,110201601,,
1,11,2,2,16,1,221.941,4,2,3,15,1,1,2,1,7,1,1,," ",,," ",1,,,,,2,,,,110201601,,
1,11,2,2,16,1,221.941,2,2,2,61,1,1,2,1,1,1,1,," ",,," ",1,,,,,2,,,,110201601,,
1,11,2,2,18,1,221.941,1,1,1,47,1,1,2,1,2,1,1,," ",,," ",2,2018,"bugesera",1,,6,1,8,40,110201801,,
1,11,2,2,18,1,221.941,2,2,2,32,1,1,1,1,2,1,1,," ",,," ",2,2018,"nyamagabe",4,,1,,,,110201801,,
1,11,2,2,18,1,221.941,4,2,3,9,1,1,1,0,,,,," ",,," ",,,,,,6,,,,110201801,,
1,11,2,2,18,1,221.941,3,1,3,12,1,1,1,1,7,1,2,," ",,," ",1,,,,,6,,,,110201801,,
1,11,2,2,22,1,221.941,1,2,1,50,1,0,,1,6,1,1,," ",,," ",1,,,,,1,1,1,,110202201,,
