"Cluster","HI05","HH_WT","PROVINCE","DISTRICT","HI04","TYPEHH","C128","C135_6","C135_Other","C144","C144_OTHER","C149A","C149B","C149_OTHER","C129","C130","C131","C132","C133","C134","C135_1","C135_2","C135_3","C135_4","C135_5","C136","C137_1","C137_2","C137_3","C137_4","C137_5","C137_6","C138","C139","C140","C141","C142","C143","C145","C146","C147","C148","C150","C151","hhid","camp","ref_weight"
56,16,169.8456,2,22,2,3,1,,,,,7,111,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,888,0,3,"0102",1,75000,0,1,2,1,1,225601602,,
57,2,92.0452122916667,2,22,2,3,1,,,,,111,111,,2,1,1,1,6,1,,,,1,,1,,,,,,,3,888,0,1,"01",1,25000,0,0,12,,3,225700202,,
57,3,92.0452122916667,2,22,2,3,1,,,,,6,4,,3,1,1,0,2,0,,,,,111,0,,,,,111,,1,,,1,"01",1,16000,1,1,3,0,1,225700302,,
57,7,92.0452122916667,2,22,2,3,1,,,,,1,6,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,10,0,1,"01",1,30000,0,0,1,,1,225700702,,
57,8,92.0452122916667,2,22,2,3,1,,,,,3,1,,3,1,3,1,4,1,,,,,111,0,,,,,111,,2,20,1,1,"0102",1,95000,1,1,4,,2,225700802,,
57,11,33.72649,2,22,2,3,1,,,,,2,111,,3,1,1,1,3,1,1,,,,,1,,,,,,,3,888,1,4,"01",1,300000,1,1,12,,1,225701102,,
58,2,837.580654350997,2,22,2,1,1,,,,,111,111,,1,1,1,1,1,0,,,,,111,0,,,,,111,,2,12,1,1,"01",1,5000,0,1,12,,2,225800202,,
58,5,837.580654350997,2,22,2,1,1,555,3,,,1,111,,1,1,1,0,2,0,,,,,,1,,,,,,,1,,,1,"01",1,16000,0,0,3,,3,225800502,,
58,6,837.580654350997,2,22,2,1,1,,,,,5,111,,2,1,1,0,3,0,,,,,111,0,,,,,111,,2,7,0,1,"02",1,30000,0,0,11,1,1,225800602,,
58,10,837.580654350997,2,22,2,1,1,555,14,,,111,111,,2,1,1,0,2,1,,,,,,1,,,,,,,2,888,1,1,"01",1,16000,0,1,4,,4,225801002,,
58,11,837.580654350997,2,22,2,1,1,555,14,,,1,6,,2,1,1,0,2,0,,,,,,1,,,,,,,2,888,1,1,"01",1,16000,0,1,2,,2,225801102,,
