"Cluster","HI05","HH_WT","PROVINCE","DISTRICT","HI04","TYPEHH","C128","C135_6","C135_Other","C144","C144_OTHER","C149A","C149B","C149_OTHER","C129","C130","C131","C132","C133","C134","C135_1","C135_2","C135_3","C135_4","C135_5","C136","C137_1","C137_2","C137_3","C137_4","C137_5","C137_6","C138","C139","C140","C141","C142","C143","C145","C146","C147","C148","C150","C151","hhid","camp","ref_weight"
134,2,13.9770985339988,2,28,1,1,1,,,,,3,111,,1,0,1,0,1,0,,,,,111,0,,,,,111,,1,,,3,"02",1,7000,0,1,8,,3,293400202,,
135,1,69.0437322727273,3,31,2,3,1,,,,,111,111,,3,1,1,0,3,0,,,,,111,0,,,,,111,,3,888,0,1,"02",1,20000,0,0,12,,3,323500103,,
135,2,69.0437322727273,3,31,2,3,1,,,,,111,111,,3,1,1,1,1,0,,,,,111,0,,,,,111,,1,,,3,"0102",1,4500,0,0,6,,3,323500203,,
135,3,69.0437322727273,3,31,2,3,2,555,18,,,111,111,,3,0,1,1,2,1,,,,,,1,,,,,,,2,15,0,1,"01",1,12000,0,0,888,,555,323500303,,
135,3,69.0437322727273,3,31,2,3,1,,,,,7,3,,2,1,1,0,3,0,,,,,111,0,,,,,111,,2,15,0,1,"01",1,25000,0,0,20,0,1,323500303,,
135,15,69.0437322727273,3,31,2,3,1,,,1,,3,1,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,888,0,6,"01",2,,,0,3,,1,323501503,,
135,16,69.0437322727273,3,31,2,3,1,,,2,,1,3,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,50,0,3,"01",2,,,0,2,,1,323501603,,
136,1,55.98943,3,31,2,3,2,555,17,1,,111,111,,1,0,1,0,3,0,,,,,,1,,,,,,,,888,0,1,"01",2,,,0,3,,1,323600103,,
136,1,55.98943,3,31,2,3,1,,,,,3,5,,2,1,3,1,3,1,,,,,111,0,,,,,111,,2,888,0,1,"01",1,10000,1,1,2,1,1,323600103,,
136,3,55.98943,3,31,2,3,1,555,14,,,111,111,,3,1,1,1,6,1,,,,,,1,,,,,,,2,12,0,7,"0102",1,30000,1,0,24,,3,323600303,,
136,3,55.98943,3,31,2,3,2,555,14,,,111,111,,3,0,1,1,3,1,,,,,,1,,,,,,,2,12,0,5,"0102",1,43000,1,0,12,,3,323600303,,
136,8,55.98943,3,31,2,3,1,,,,,1,3,,2,1,1,0,3,0,,,,,111,0,,,,,111,,2,50,0,5,"01",1,80000,1,0,7,,1,323600803,,
136,14,55.98943,3,31,2,3,1,,,,,111,111,,1,1,1,1,1,1,,,,,111,0,,,,,111,,1,,,1,"01",1,2500,0,0,2,,555,323601403,,
137,9,185.2749,3,31,1,1,1,,,,,111,111,,3,1,1,1,3,1,,,,1,,1,,,,,,,3,888,0,1,"01",1,24000,1,0,4,,1,323700903,,
138,9,67.64816,3,31,2,3,1,,,,,1,6,,2,1,1,0,2,0,,,,,111,0,,,,,111,,2,888,0,2,"02",1,30000,0,1,3,,4,323800903,,
138,10,67.64816,3,31,2,3,1,555,17,,,111,111,,1,1,1,1,1,1,,,,,,1,,,,,,,1,,,20,"01",1,28000,1,1,12,,3,323801003,,
138,16,67.64816,3,31,2,3,1,555,14,2,,6,111,,2,1,1,1,3,1,,,,,,1,,,,,,,2,60,0,5,"0102",2,,,1,12,,4,323801603,,
138,17,67.64816,3,31,2,3,1,,,2,,111,111,,2,1,1,1,3,0,,,,,111,0,,,,,111,,2,888,0,20,"01",2,,,1,12,,2,323801703,,
138,18,67.64816,3,31,2,3,1,,,,,111,111,,3,1,1,1,4,0,,,,,111,0,,,,,111,,2,888,0,6,"01",1,130000,1,1,4,,1,323801803,,
138,19,67.64816,3,31,2,3,1,555,18,,,6,1,,1,1,1,0,1,0,,,,,,1,,,,,,,1,,,1,"02",1,15000,0,1,2,,4,323801903,,
139,5,24.5736306818182,3,31,2,3,1,555,9,,,4,3,,1,1,3,0,1,0,,,,,,1,,,,,,,1,,,1,"02",1,25000,0,0,4,0,1,323900503,,
139,7,24.5736306818182,3,31,2,3,1,,,4,,1,111,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,20,0,1,"01",2,,,1,6,,555,323900703,,
139,9,24.5736306818182,3,31,2,3,1,,,,,7,6,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,7,"01",1,29000,1,1,4,0,555,323900903,,
139,11,24.5736306818182,3,31,2,3,1,,,,,4,7,,1,1,1,1,1,1,,,,,111,0,,,,,111,,1,,,3,"01",1,18000,1,1,2,0,4,323901103,,
140,1,84.8561658385093,3,31,2,3,1,,,,,111,111,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,3,"01",1,27500,1,0,4,,555,324000103,,
141,8,65.05402,3,31,2,3,1,,,,,1,111,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,7,"01",1,31000,1,1,3,,3,324100803,,
141,9,65.05402,3,31,2,3,1,,,,,111,111,,1,1,1,1,1,0,,,,,111,0,,,,,111,,1,,,1,"01",1,25000,1,1,12,,3,324100903,,
141,14,65.05402,3,31,2,3,1,555,14,,,3,4,,2,1,1,1,4,0,,,,,,1,,,,,,,2,50,0,6,"02",1,130000,1,1,12,1,2,324101403,,
141,15,65.05402,3,31,2,3,1,,,,,1,3,,3,1,1,1,4,1,1,,,,,1,,,,,,,3,50,0,2,"01",1,402000,1,1,6,,1,324101503,,
141,16,65.05402,3,31,2,3,1,,,,,1,6,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,888,0,1,"01",1,260000,1,1,5,,1,324101603,,
141,17,65.05402,3,31,2,3,1,,,,,1,4,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,5,"01",1,30000,1,1,4,1,2,324101703,,
141,18,65.05402,3,31,2,3,1,555,3,,,6,1,,1,1,1,0,1,0,,,,,,1,,,,,,,1,,,3,"02",1,30000,1,1,12,,555,324101803,,
142,3,56.9154581043956,3,31,2,3,1,555,3,,,4,111,,1,1,1,0,1,0,,,,,,1,,,,,,,1,,,2,"01",1,20000,0,0,888,0,1,324200303,,
142,7,56.9154581043956,3,31,2,3,1,,,,,2,6,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,2,"01",1,29500,1,0,3,,4,324200703,,
142,9,75.33537,3,31,2,3,1,,,,,111,111,,3,1,1,1,6,1,1,,,,,1,,,,,,,3,55,1,5,"01",1,764000,1,1,24,,2,324200903,,
142,13,75.33537,3,31,2,3,1,,,,,555,111,5,3,1,1,1,5,1,1,,,,,1,,,,,,,3,55,1,7,"01",1,720000,0,1,24,,2,324201303,,
142,16,56.9154581043956,3,31,2,3,1,555,3,,,3,2,,1,1,1,1,1,0,,,,,,1,,,,,,,1,,,2,"01",1,20000,1,0,4,,555,324201603,,
142,17,75.33537,3,31,2,3,1,555,9,,,3,2,,2,1,1,1,3,0,,,,,,1,,,,,,,2,20,0,4,"01",1,450000,1,1,3,,1,324201703,,
143,4,2033.97452747253,3,31,2,1,1,,,3,,3,111,,2,1,1,0,3,0,,,,,111,0,,,,,111,,2,888,0,1,"02",2,,,0,12,,4,324300403,,
143,8,2033.97452747253,3,31,2,1,1,,,,,111,111,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,5,"01",1,31000,1,1,6,,3,324300803,,
143,10,2033.97452747253,3,31,2,1,1,,,,,111,111,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,3,"01",1,29000,1,1,5,,3,324301003,,
144,8,85.5889524210526,3,31,2,3,1,555,9,,,1,6,,1,1,1,0,1,0,,,,,,1,,,,,,,1,,,7,"01",1,16000,1,0,5,,1,324400803,,
144,16,85.5889524210526,3,31,2,3,1,555,18,,,111,111,,1,1,1,1,1,0,,,,,,1,,,,,,,1,,,2,"04",1,18000,0,0,5,,3,324401603,,
145,5,1774.622,3,31,2,1,1,,,,,111,111,,1,1,1,1,1,0,,,,,111,0,,,,,111,,1,,,7,"01",1,19000,1,1,5,,3,324500503,,
146,6,259.8435,3,31,1,1,1,555,3,,,111,111,,3,0,1,0,3,1,,,,,,1,,,,,,,3,888,0,2,"01",1,95000,0,0,5,,2,324600603,,
146,6,259.8435,3,31,1,1,2,555,17,,,111,111,,3,1,1,0,4,1,,,,,,1,,,,,,,3,888,0,1,"01",1,80000,1,0,4,,2,324600603,,
146,10,259.8435,3,31,1,1,1,555,18,,,111,111,,3,1,1,1,2,1,,,,,,1,,,,,,,2,888,1,1,"01",1,95000,1,1,4,,1,324601003,,
146,13,259.8435,3,31,1,1,3,,,1,,111,111,,2,0,1,0,1,1,,,,,111,0,,,,,111,,1,,,1,"01",2,,,0,3,,1,324601303,,
146,13,259.8435,3,31,1,1,1,,,,,1,111,,2,0,1,1,6,1,1,,,,,1,,,,,,,3,888,0,4,"01",1,10000,0,1,12,,1,324601303,,
146,13,259.8435,3,31,1,1,2,,,,,1,111,,2,1,1,1,13,1,1,,,,,1,,,,,,,3,888,1,5,"01",1,10000,0,1,12,,1,324601303,,
147,2,58.42857,3,31,2,3,1,555,8,,,4,6,,1,1,1,0,1,0,,,,,,1,,,,,,,1,,,3,"01",1,20000,0,0,2,0,2,324700203,,
147,7,58.42857,3,31,2,3,1,555,3,,,6,1,,1,1,1,0,3,0,,,,,,1,,,,,,,1,,,3,"01",1,30000,1,0,4,,1,324700703,,
147,8,58.42857,3,31,2,3,1,555,3,,,1,4,,1,1,1,0,1,0,,,,,,1,,,,,,,1,,,5,"01",1,15000,1,0,10,0,1,324700803,,
147,9,58.42857,3,31,2,3,1,555,3,,,6,4,,1,1,1,0,3,0,,,,,,1,,,,,,,1,,,1,"01",1,8000,1,0,4,0,1,324700903,,
147,15,58.42857,3,31,2,3,1,,,,,111,111,,3,1,1,1,4,1,,,,1,,1,,,,,,,3,888,0,2,"01",1,150000,1,1,4,,4,324701503,,
147,16,58.42857,3,31,2,3,1,,,,,111,111,,3,1,1,1,3,0,,,,1,,1,,,,,,,3,220,0,1,"02",1,8000,1,0,4,,3,324701603,,
147,18,58.42857,3,31,2,3,1,,,,,111,111,,3,1,1,1,3,0,,,,1,,1,,,,,,,3,888,0,2,"02",1,85000,1,1,3,,3,324701803,,
149,2,19.84271,3,31,2,3,1,,,,,111,111,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,4,"01",1,72000,1,1,4,,1,324900203,,
149,5,19.84271,3,31,2,3,1,555,14,,,111,111,,1,1,1,1,3,0,,,,,,1,,,,,,,2,10,0,5,"0102",1,74500,1,1,4,,1,324900503,,
149,7,19.84271,3,31,2,3,1,,,,,3,6,,2,1,1,1,3,0,,,,,111,0,,,,,111,,2,888,0,1,"0102",1,95000,1,0,12,,3,324900703,,
149,14,19.84271,3,31,2,3,1,,,,,111,111,,2,1,1,0,3,0,,,,,111,0,,,,,111,,2,888,1,1,"01",1,75000,1,0,3,,1,324901403,,
150,4,1244.887,3,31,2,1,1,,,3,,111,111,,3,1,1,0,3,0,,,,,111,0,,,,,111,,3,888,0,3,"01",2,,,0,8,,2,325000403,,
150,9,1244.887,3,31,2,1,1,555,16,,,111,111,,3,1,1,1,3,0,,,,,,1,,,,,,,2,11,0,1,"01",1,45000,0,1,12,,3,325000903,,
150,9,1244.887,3,31,2,1,2,555,16,,,111,111,,2,0,1,1,2,1,,,,,,1,,,,,,,2,888,0,5,"01",1,25000,1,1,4,,3,325000903,,
150,10,1244.887,3,31,2,1,1,555,9,,,555,555,10,1,1,1,0,1,0,,,,,,1,,,,,,,1,,,5,"01",1,74000,1,1,12,,1,325001003,,
150,11,1244.887,3,31,2,1,3,,,,,6,111,,2,0,1,1,4,1,,,,,111,0,,,,,111,,2,888,1,2,"01",1,100000,0,0,4,,1,325001103,,
150,11,1244.887,3,31,2,1,4,,,,,6,111,,2,0,1,1,3,1,,,,,111,0,,,,,111,,2,888,1,2,"01",1,100000,0,0,3,,1,325001103,,
150,11,1244.887,3,31,2,1,5,,,,,111,111,,2,0,1,1,3,1,,,,,111,0,,,,,111,,2,888,1,2,"01",1,100000,0,0,4,,1,325001103,,
150,11,1244.887,3,31,2,1,2,,,,,111,111,,2,0,1,1,3,1,,,,,111,0,,,,,111,,2,888,0,2,"01",1,100000,0,0,4,,1,325001103,,
150,11,1244.887,3,31,2,1,1,,,,,6,111,,2,1,1,1,4,1,,,,,111,0,,,,,111,,2,888,1,2,"01",1,100000,0,1,3,,1,325001103,,
150,13,1244.887,3,31,2,1,1,,,,,111,111,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,1,"0102",1,30000,1,0,4,,1,325001303,,
150,14,1244.887,3,31,2,1,1,,,,,111,111,,3,1,1,1,2,1,,,,,111,0,,,,,111,,2,15,0,1,"01",1,200000,1,1,10,,1,325001403,,
150,15,1244.887,3,31,2,1,1,,,,,111,111,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,5,"01",1,22000,1,1,3,,1,325001503,,
150,20,1244.887,3,31,2,1,1,,,,,1,3,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,72,0,2,"01",1,85000,1,1,3,,2,325002003,,
151,1,,3,31,2,2,1,555,15,,,6,1,,1,1,1,0,1,0,,,,,,1,,,,,,,1,,,1,"01",1,15000,0,0,3,,3,325100103,2,22.3819446563721
151,3,,3,31,2,2,2,555,15,,,1,7,,1,1,3,0,4,0,,,,,,1,,,,,,,1,,,1,"0102",1,30000,1,0,4,,1,325100303,2,22.3819446563721
151,3,,3,31,2,2,1,555,15,,,6,1,,3,0,1,0,1,0,,,,,,1,,,,,,,3,888,0,1,"01",1,25000,0,1,4,0,1,325100303,2,22.3819446563721
151,9,,3,31,2,2,1,555,3,,,111,111,,3,1,1,0,2,0,,,,,,1,,,,,,,3,888,0,1,"01",1,10000,0,1,2,,3,325100903,2,22.3819446563721
151,10,,3,31,2,2,1,,,,,7,111,,3,1,1,0,3,1,1,,,,,1,,,,,,,3,888,0,3,"01",1,85000,1,0,2,0,1,325101003,2,22.3819446563721
151,11,,3,31,2,2,1,555,3,,,111,111,,3,1,1,0,1,0,,,,,,1,,,,,,,3,888,0,1,"01",1,8000,1,0,2,,3,325101103,2,22.3819446563721
151,14,,3,31,2,2,1,555,9,,,2,111,,2,1,1,1,4,1,,,,,,1,,,,,,,2,20,0,5,"01",1,95000,1,1,12,,1,325101403,2,22.3819446563721
151,15,,3,31,2,2,1,,,,,1,6,,2,1,1,0,2,0,,,,,111,0,,,,,111,,2,6,0,4,"01",1,33500,1,1,3,,1,325101503,2,22.3819446563721
152,8,,3,31,2,2,1,,,,,111,111,,3,1,1,0,4,0,,,,,111,0,,,,,111,,3,888,0,3,"02",1,95000,1,1,4,,3,325200803,2,22.3819446563721
152,9,,3,31,2,2,1,,,,,1,111,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,1,"01",1,3000,1,0,2,,555,325200903,2,22.3819446563721
152,12,,3,31,2,2,1,,,,,1,111,,3,1,1,0,3,0,,,,,111,0,,,,,111,,3,888,0,1,"01",1,30000,1,1,3,,3,325201203,2,22.3819446563721
152,15,,3,31,2,2,1,555,3,2,,1,3,,3,1,1,0,3,0,,,,,,1,,,,,,,3,888,0,3,"01",2,,,0,3,,4,325201503,2,22.3819446563721
152,16,,3,31,2,2,1,,,3,,111,111,,3,1,1,0,3,0,,,,,111,0,,,,,111,,3,60,0,1,"02",2,,,0,3,,2,325201603,2,22.3819446563721
152,17,,3,31,2,2,1,,,,,111,111,,3,1,1,1,4,0,,,,,111,0,,,,,111,,2,888,0,1,"01",1,30000,1,0,4,,2,325201703,2,22.3819446563721
153,1,,3,31,2,2,1,555,3,,,6,4,,2,1,1,0,3,0,,,,,,1,,,,,,,2,12,0,1,"04",1,10000,0,0,3,0,1,325300103,2,22.3819446563721
153,2,,3,31,2,2,1,555,3,,,4,2,,2,1,1,0,3,0,,,,,,1,,,,,,,2,20,0,2,"02",1,50000,1,1,6,0,1,325300203,2,22.3819446563721
153,4,,3,31,2,2,1,,,,,2,4,,2,1,1,0,3,0,,,,,111,0,,,,,111,,2,20,0,5,"03",1,10000,0,0,24,1,1,325300403,2,22.3819446563721
153,7,,3,31,2,2,1,555,15,,,4,1,,1,1,1,0,1,0,,,,,,1,,,,,,,1,,,1,"01",1,10000,0,0,6,0,1,325300703,2,22.3819446563721
153,8,,3,31,2,2,1,555,3,3,,6,4,,1,1,1,0,1,0,,,,,,1,,,,,,,1,,,5,"01",2,,,0,5,0,4,325300803,2,22.3819446563721
153,9,,3,31,2,2,1,555,9,,,4,111,,1,1,1,0,3,0,,,,,,1,,,,,,,1,,,2,"01",1,30000,1,0,888,0,1,325300903,2,22.3819446563721
153,10,,3,31,2,2,1,555,3,,,4,111,,1,1,1,0,1,0,,,,,,1,,,,,,,1,,,1,"01",1,10000,1,0,888,0,1,325301003,2,22.3819446563721
153,11,,3,31,2,2,1,555,14,3,,6,1,,1,1,1,0,1,0,,,,,,1,,,,,,,1,,,5,"01",2,,,0,15,,4,325301103,2,22.3819446563721
153,12,,3,31,2,2,1,555,3,3,,4,6,,1,1,1,0,1,0,,,,,,1,,,,,,,1,,,5,"01",2,,,0,3,0,4,325301203,2,22.3819446563721
153,15,,3,31,2,2,1,555,3,3,,555,111,10,3,1,1,0,2,0,,,,,,1,,,,,,,3,888,0,2,"01",2,,,0,2,,3,325301503,2,22.3819446563721
154,1,,3,31,2,2,1,,,3,,1,111,,3,1,1,1,2,0,,,,,111,0,,,,,111,,2,888,0,2,"02",2,,,0,3,,4,325400103,2,22.3819446563721
154,3,,3,31,2,2,1,,,1,,1,111,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,8,"01",2,,,1,4,,3,325400303,2,22.3819446563721
155,1,,3,31,2,2,1,,,,,1,4,,2,1,1,0,2,0,,,,,111,0,,,,,111,,2,888,0,1,"01",1,30000,1,0,2,0,1,325500103,2,22.3819446563721
155,2,,3,31,2,2,1,,,3,,111,111,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,2,"01",2,,,0,3,,3,325500203,2,22.3819446563721
155,4,,3,31,2,2,1,,,3,,4,111,,2,1,1,1,6,1,,,,,111,0,,,,,111,,2,888,0,1,"01",2,,,0,6,0,3,325500403,2,22.3819446563721
155,5,,3,31,2,2,1,,,,,4,1,,2,1,1,0,2,0,,,,,111,0,,,,,111,,2,888,0,1,"01",1,25000,1,0,2,0,4,325500503,2,22.3819446563721
155,6,,3,31,2,2,1,,,,,111,111,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,888,0,2,"01",1,30100,0,0,6,,1,325500603,2,22.3819446563721
155,9,,3,31,2,2,1,555,9,1,,111,111,,1,1,1,0,1,0,,,,,,1,,,,,,,1,,,2,"0102",2,,,0,3,,4,325500903,2,22.3819446563721
155,12,,3,31,2,2,1,555,9,,,1,6,,1,1,1,0,1,0,,,,,,1,,,,,,,1,,,2,"01",1,30000,0,0,4,,1,325501203,2,22.3819446563721
155,14,,3,31,2,2,1,,,,,1,111,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,3,"01",1,5000,0,0,1,,3,325501403,2,22.3819446563721
155,15,,3,31,2,2,1,,,1,,111,111,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,8,"01",2,,,0,3,,3,325501503,2,22.3819446563721
155,16,,3,31,2,2,1,,,,,111,111,,3,1,1,1,3,0,,,,,111,0,,,,,111,,2,888,0,3,"01",1,110000,0,0,4,,3,325501603,2,22.3819446563721
155,18,,3,31,2,2,1,,,3,,1,111,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,1,"01",2,,,0,2,,3,325501803,2,22.3819446563721
156,7,,3,31,2,2,1,555,18,,,111,111,,3,1,1,1,5,1,,,,1,,1,,,,,,,3,888,1,4,"01",1,85000,0,1,6,,2,325600703,2,22.3819446563721
156,8,,3,31,2,2,1,555,16,,,7,111,,3,1,1,1,4,1,,,,,,1,,,,,,,2,17,1,2,"02",1,85000,0,1,6,0,1,325600803,2,22.3819446563721
156,9,,3,31,2,2,1,555,16,,,7,111,,3,1,1,1,2,0,,,,,,1,,,,,,,2,888,1,2,"01",1,40000,1,1,5,0,1,325600903,2,22.3819446563721
156,11,,3,31,2,2,1,555,3,3,,7,111,,3,1,1,0,3,0,,,,,,1,,,,,,,3,888,0,1,"01",2,,,0,3,0,1,325601103,2,22.3819446563721
156,12,,3,31,2,2,1,555,3,,,7,111,,3,1,1,0,2,0,,,,,,1,,,,,,,3,888,0,1,"01",1,9000,0,0,3,0,1,325601203,2,22.3819446563721
156,17,,3,31,2,2,1,,,,,111,111,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,20,0,1,"01",1,30000,1,1,24,,1,325601703,2,22.3819446563721
156,18,,3,31,2,2,1,555,3,,,3,6,,2,1,1,0,2,0,,,,,,1,,,,,,,2,12,0,1,"01",1,10000,0,0,2,,1,325601803,2,22.3819446563721
157,1,,3,31,2,2,1,555,3,,,1,2,,2,1,1,0,3,0,,,,,,1,,,,,,,2,20,0,2,"01",1,120000,1,1,12,,1,325700103,2,22.3819446563721
157,2,,3,31,2,2,1,555,9,,,4,6,,2,1,1,1,5,1,,,,,,1,,,,,,,2,20,0,3,"02",1,10000,1,1,6,1,1,325700203,2,22.3819446563721
157,3,,3,31,2,2,1,555,15,,,6,4,,2,1,1,0,2,0,,,,,,1,,,,,,,2,12,0,3,"02",1,50000,1,1,3,1,1,325700303,2,22.3819446563721
157,4,,3,31,2,2,1,555,3,,,2,4,,1,1,1,0,3,0,,,,,,1,,,,,,,1,,,3,"01",1,100000,1,1,12,1,1,325700403,2,22.3819446563721
157,6,,3,31,2,2,1,,,,,3,6,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,4,"01",1,30000,0,0,3,,555,325700603,2,22.3819446563721
157,8,,3,31,2,2,1,555,3,,,111,111,,1,1,1,0,2,0,,,,,,1,,,,,,,1,,,3,"0102",1,50000,1,0,23,,1,325700803,2,22.3819446563721
157,9,,3,31,2,2,1,555,3,3,,111,111,,1,1,1,1,3,0,,,,,,1,,,,,,,2,888,0,4,"01",2,,,0,6,,4,325700903,2,22.3819446563721
157,11,,3,31,2,2,1,555,14,3,,111,111,,1,1,1,0,2,0,,,,,,1,,,,,,,1,,,1,"01",2,,,0,24,,4,325701103,2,22.3819446563721
157,12,,3,31,2,2,1,555,9,,,6,1,,1,1,1,0,1,0,,,,,,1,,,,,,,1,,,1,"01",1,8000,0,0,4,,1,325701203,2,22.3819446563721
157,14,,3,31,2,2,1,555,3,3,,7,111,,2,1,1,0,3,0,,,,,,1,,,,,,,1,,,3,"01",2,,,0,5,0,4,325701403,2,22.3819446563721
157,15,,3,31,2,2,1,,,,,111,111,,3,1,1,1,4,0,,,,1,,1,,,,,,,3,888,1,4,"01",1,85000,1,1,6,,2,325701503,2,22.3819446563721
157,16,,3,31,2,2,1,,,,,7,4,,3,1,1,1,3,1,,,,1,,1,,,,,,,3,888,0,1,"01",1,85000,0,0,6,0,1,325701603,2,22.3819446563721
158,1,,3,31,2,2,1,555,9,,,1,111,,1,1,1,0,1,0,,,,,,1,,,,,,,1,,,2,"01",1,10000,0,0,1,,4,325800103,2,22.3819446563721
158,7,,3,31,2,2,1,555,9,1,,1,111,,1,1,1,0,1,0,,,,,,1,,,,,,,1,,,6,"01",2,,,0,3,,555,325800703,2,22.3819446563721
158,8,,3,31,2,2,1,,,,,4,1,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,4,"01",1,3000,0,0,2,0,555,325800803,2,22.3819446563721
158,10,,3,31,2,2,1,555,18,1,,1,4,,1,1,1,1,3,0,,,,,,1,,,,,,,2,888,0,4,"02",2,,,0,3,0,2,325801003,2,22.3819446563721
158,12,,3,31,2,2,1,,,,,111,111,,2,1,1,0,3,0,,,,,111,0,,,,,111,,2,888,0,1,"03",1,30000,0,0,4,,4,325801203,2,22.3819446563721
158,17,,3,31,2,2,1,555,17,,,111,111,,3,1,1,1,3,1,,,,,,1,,,,,,,2,888,0,2,"01",1,30000,1,1,12,,1,325801703,2,22.3819446563721
158,18,,3,31,2,2,1,,,,,1,111,,1,1,1,0,1,0,,,,,111,0,,,,,111,,1,,,2,"01",1,3000,0,0,2,,3,325801803,2,22.3819446563721
161,1,1397.90642222222,3,32,2,1,1,,,2,,111,111,,3,1,1,1,3,1,1,,,,,1,,,,,,,3,50,0,1,"0102",2,,,0,12,,2,336100103,,
161,3,331.0831,3,32,2,1,1,,,2,,3,1,,2,1,1,0,3,0,,,,,111,0,,,,,111,,2,10,0,1,"01",2,,,0,5,,4,336100303,,
161,12,1397.90642222222,3,32,2,1,1,,,2,,4,111,,3,1,1,1,3,1,,,,,111,0,,,,,111,,2,50,0,1,"0102",2,,,0,4,0,1,336101203,,
161,13,331.0831,3,32,2,1,1,,,,,111,111,,2,1,1,1,4,1,,,,,111,0,,,,,111,,2,120,0,3,"01",1,170000,1,1,24,,4,336101303,,
161,17,1397.90642222222,3,32,2,1,1,,,,,111,111,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,20,0,1,"0102",1,25000,0,0,6,,1,336101703,,
162,14,1184.27806451613,3,33,2,1,1,,,,,111,111,,3,1,1,1,3,1,1,,,,,1,,,,,,,3,50,0,1,"0102",1,243000,1,1,4,,1,346201403,,
162,15,1184.27806451613,3,33,2,1,1,,,,,1,3,,3,1,1,1,3,1,1,,,,,1,,,,,,,3,50,0,2,"0102",1,243600,1,1,6,,1,346201503,,
163,10,39.26535,3,33,1,1,1,,,,,111,111,,3,1,1,1,5,1,,,,,111,0,,,,,111,,2,125,1,2,"01",1,45000,0,0,1,,2,346301003,,
165,7,303.6827,3,33,1,1,1,,,,,111,111,,2,1,1,1,5,1,1,,,,,1,,,,,,,3,50,0,2,"0102",1,52000,1,1,12,,1,346500703,,
167,1,1067.15995098039,3,33,2,1,1,,,2,,111,111,,2,1,1,1,3,1,,,,,111,0,,,,,111,,2,10,0,3,"01",2,,,0,3,,1,346700103,,
167,2,1067.15995098039,3,33,2,1,1,555,3,,,3,1,,2,1,1,0,1,0,,,,,,1,,,,,,,2,5,0,1,"01",1,20000,0,0,1,,4,346700203,,
167,5,1067.15995098039,3,33,2,1,1,,,,,6,111,,2,1,1,1,4,0,,,,,111,0,,,,,111,,2,10,0,4,"01",1,148000,0,1,5,,1,346700503,,
167,9,1067.15995098039,3,33,2,1,1,555,14,2,,111,111,,2,1,1,1,3,1,,,,,,1,,,,,,,2,888,0,2,"01",2,,,0,3,,1,346700903,,
167,11,1067.15995098039,3,33,2,1,1,,,,,111,111,,2,1,1,1,3,1,1,,,,,1,,,,,,,3,888,0,1,"0102",1,450000,1,0,4,,1,346701103,,
167,14,1067.15995098039,3,33,2,1,1,,,,,6,1,,2,1,1,1,3,0,,,,,111,0,,,,,111,,2,10,0,3,"02",1,138000,1,1,4,,1,346701403,,
167,15,1067.15995098039,3,33,2,1,1,555,14,2,,1,111,,2,1,1,1,3,1,,,,,,1,,,,,,,2,888,0,2,"02",2,,,0,3,,1,346701503,,
167,16,1067.15995098039,3,33,2,1,1,,,,,4,111,,3,1,1,1,3,1,1,,,,,1,,,,,,,3,888,0,3,"02",1,223000,1,1,12,1,1,346701603,,
167,17,1067.15995098039,3,33,2,1,1,,,,,6,1,,2,1,1,1,3,0,,,,,111,0,,,,,111,,2,10,0,2,"02",1,138000,1,1,2,,1,346701703,,
170,3,1065.687,3,33,2,1,1,555,18,,,1,3,,2,1,1,1,2,1,,,,,,1,,,,,,,2,5,0,1,"01",1,20000,1,1,4,,3,347000303,,
170,13,1375.08,3,33,2,1,1,,,,,111,111,,2,1,1,1,4,1,,,,1,,1,,,,,,,3,888,0,3,"0102",1,225000,1,1,3,,1,347001303,,
