"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","H01","H02","MARKET_PRICE","H03","H04","H05","H06","H07","H07_OTHER","hhid","camp","ref_weight"
1,11,8,1,7,1,709.7715,,,,,,,,,,110800701,,
1,11,8,1,8,1,709.7715,,,,,,,,,,110800801,,
1,11,8,1,9,1,709.7715,,,,,,,,,,110800901,,
1,11,8,1,10,1,709.7715,,,,,,,,,,110801001,,
1,11,8,1,11,1,709.7715,,,,,,,,,,110801101,,
1,11,8,1,12,1,709.7715,2,"02",8200,1,,,,,,110801201,,
1,11,8,1,13,1,709.7715,,,,,,,,,,110801301,,
1,11,8,1,14,1,709.7715,2,"01",8200,1,,,,,,110801401,,
1,11,8,1,15,1,709.7715,,,,,,,,,,110801501,,
1,11,8,1,16,1,709.7715,,,,,,,,,,110801601,,
1,11,8,1,17,1,709.7715,,,,,,,,,,110801701,,
1,11,8,1,18,1,57.7326100478469,,,,,,,,,,110801801,,
1,11,9,1,2,1,450.0009,2,"02",16000,1,,,,,,110900201,,
1,11,9,1,4,1,450.0009,,,,,,,,,,110900401,,
1,11,9,1,5,1,450.0009,,,,,,,,,,110900501,,
1,11,9,1,6,1,450.0009,2,"02",45100,1,,,,,,110900601,,
1,11,9,1,7,1,450.0009,,,,,,,,,,110900701,,
1,11,9,1,8,1,450.0009,,,,,,,,,,110900801,,
1,11,9,1,9,1,450.0009,,,,,,,,,,110900901,,
1,11,9,1,10,1,450.0009,2,"02",45100,1,,,,,,110901001,,
1,11,9,1,11,1,450.0009,,,,,,,,,,110901101,,
1,11,9,1,12,1,450.0009,,,,,,,,,,110901201,,
1,11,9,1,13,1,450.0009,,,,,,,,,,110901301,,
1,11,9,1,14,1,450.0009,,,,,,,,,,110901401,,
1,11,9,1,15,1,450.0009,,,,,,,,,,110901501,,
1,11,9,1,16,1,450.0009,2,"01",45100,1,,,,,,110901601,,
1,11,9,1,17,1,450.0009,,,,,,,,,,110901701,,
1,11,9,1,18,1,450.0009,,,,,,,,,,110901801,,
1,11,9,1,19,1,29.1105703504043,,,,,,,,,,110901901,,
1,11,9,1,20,1,29.1105703504043,2,"01",24600,1,,,,,,110902001,,
1,11,10,1,2,1,581.4858,,,,,,,,,,111000201,,
1,11,10,1,3,1,581.4858,,,,,,,,,,111000301,,
1,11,10,1,4,1,581.4858,2,"02",21000,0,0,0,0,1,,111000401,,
1,11,10,1,5,1,45.3452229357798,2,"01",16000,1,,,,,,111000501,,
1,11,10,1,6,1,581.4858,,,,,,,,,,111000601,,
1,11,10,1,7,1,581.4858,2,"01",21000,0,0,0,0,1,,111000701,,
1,11,10,1,8,1,581.4858,,,,,,,,,,111000801,,
1,11,10,1,9,1,581.4858,,,,,,,,,,111000901,,
1,11,10,1,10,1,581.4858,,,,,,,,,,111001001,,
1,11,10,1,11,1,581.4858,2,"02",16000,0,0,0,0,1,,111001101,,
1,11,10,1,12,1,581.4858,,,,,,,,,,111001201,,
1,11,10,1,13,1,581.4858,,,,,,,,,,111001301,,
1,11,10,1,14,1,581.4858,,,,,,,,,,111001401,,
1,11,10,1,15,1,581.4858,,,,,,,,,,111001501,,
1,11,10,1,16,1,581.4858,,,,,,,,,,111001601,,
1,11,10,1,17,1,581.4858,,,,,,,,,,111001701,,
1,11,10,1,18,1,581.4858,,,,,,,,,,111001801,,
1,11,10,1,19,1,581.4858,,,,,,,,,,111001901,,
1,11,11,1,1,1,486.8112,,,,,,,,,,111100101,,
1,11,11,1,2,1,486.8112,,,,,,,,,,111100201,,
1,11,11,1,3,1,486.8112,,,,,,,,,,111100301,,
1,11,11,1,4,1,486.8112,,,,,,,,,,111100401,,
1,11,11,1,5,1,486.8112,,,,,,,,,,111100501,,
1,11,11,1,6,1,486.8112,,,,,,,,,,111100601,,
1,11,11,1,7,1,486.8112,,,,,,,,,,111100701,,
1,11,11,1,8,1,486.8112,,,,,,,,,,111100801,,
1,11,11,1,9,1,486.8112,,,,,,,,,,111100901,,
1,11,11,1,10,1,486.8112,2,"01",16000,0,0,0,0,2,,111101001,,
1,11,11,1,11,1,486.8112,,,,,,,,,,111101101,,
1,11,11,1,12,1,486.8112,,,,,,,,,,111101201,,
1,11,11,1,13,1,486.8112,,,,,,,,,,111101301,,
1,11,11,1,14,1,486.8112,,,,,,,,,,111101401,,
1,11,11,1,15,1,486.8112,,,,,,,,,,111101501,,
1,11,11,1,16,1,486.8112,,,,,,,,,,111101601,,
1,11,11,1,17,1,486.8112,,,,,,,,,,111101701,,
1,11,11,1,18,1,486.8112,,,,,,,,,,111101801,,
1,12,12,2,1,1,699.2959,,,,,,,,,,121200101,,
1,12,12,2,2,1,73.1642186123348,1,"01",7500,0,0,0,0,1,,121200201,,
1,12,12,2,3,1,699.2959,,,,,,,,,,121200301,,
1,12,12,2,4,1,73.1642186123348,1,"01",2500,1,,,,,,121200401,,
1,12,12,2,5,1,73.1642186123348,1,"01",7500,0,1,,,,,121200501,,
1,12,12,2,6,1,73.1642186123348,1,"02",7500,0,0,0,1,,,121200601,,
1,12,12,2,7,1,73.1642186123348,,,,,,,,,,121200701,,
1,12,12,2,8,1,73.1642186123348,,,,,,,,,,121200801,,
1,12,12,2,9,1,73.1642186123348,,,,,,,,,,121200901,,
1,12,12,2,10,1,699.2959,,,,,,,,,,121201001,,
1,12,12,2,11,1,699.2959,,,,,,,,,,121201101,,
1,12,12,2,12,1,699.2959,,,,,,,,,,121201201,,
1,12,12,2,13,1,699.2959,2,"02",21000,0,0,1,,,,121201301,,
1,12,12,2,14,1,73.1642186123348,,,,,,,,,,121201401,,
1,12,12,2,15,1,699.2959,,,,,,,,,,121201501,,
1,12,12,2,16,1,699.2959,,,,,,,,,,121201601,,
1,12,12,2,17,1,699.2959,1,"01",7500,0,0,0,0,1,,121201701,,
1,12,12,2,18,1,699.2959,,,,,,,,,,121201801,,
1,12,13,2,1,1,736.1804,1,"01",7500,0,1,,,,,121300101,,
1,12,13,2,2,1,736.1804,,,,,,,,,,121300201,,
1,12,13,2,3,1,736.1804,,,,,,,,,,121300301,,
1,12,13,2,4,1,736.1804,,,,,,,,,,121300401,,
1,12,13,2,5,1,736.1804,1,"01",7500,0,0,1,,,,121300501,,
1,12,13,2,6,1,13.4902167539267,,,,,,,,,,121300601,,
1,12,13,2,7,1,13.4902167539267,,,,,,,,,,121300701,,
1,12,13,2,8,1,736.1804,,,,,,,,,,121300801,,
1,12,13,2,9,1,13.4902167539267,1,"01",7500,1,,,,,,121300901,,
1,12,13,2,10,1,736.1804,1,"01",7500,0,0,1,,,,121301001,,
1,12,13,2,11,1,736.1804,,,,,,,,,,121301101,,
1,12,13,2,12,1,736.1804,,,,,,,,,,121301201,,
1,12,13,2,13,1,13.4902167539267,,,,,,,,,,121301301,,
1,12,13,2,14,1,736.1804,,,,,,,,,,121301401,,
1,12,13,2,15,1,736.1804,,,,,,,,,,121301501,,
1,12,13,2,16,1,736.1804,,,,,,,,,,121301601,,
1,12,13,2,17,1,736.1804,1,"01",2500,0,0,1,,,,121301701,,
1,12,13,2,18,1,736.1804,,,,,,,,,,121301801,,
1,12,14,1,1,1,219.6804,,,,,,,,,,121400101,,
1,12,14,1,2,1,219.6804,,,,,,,,,,121400201,,
1,12,14,1,3,1,219.6804,,,,,,,,,,121400301,,
1,12,14,1,4,1,219.6804,,,,,,,,,,121400401,,
1,12,14,1,5,1,219.6804,,,,,,,,,,121400501,,
1,12,14,1,6,1,219.6804,,,,,,,,,,121400601,,
1,12,14,1,7,1,219.6804,,,,,,,,,,121400701,,
1,12,14,1,8,1,219.6804,,,,,,,,,,121400801,,
1,12,14,1,9,1,219.6804,,,,,,,,,,121400901,,
1,12,14,1,10,1,219.6804,,,,,,,,,,121401001,,
1,12,14,1,11,1,219.6804,,,,,,,,,,121401101,,
1,12,14,1,12,1,219.6804,,,,,,,,,,121401201,,
1,12,14,1,13,1,221.307662222222,,,,,,,,,,121401301,,
1,12,14,1,14,1,219.6804,,,,,,,,,,121401401,,
1,12,14,1,15,1,219.6804,,,,,,,,,,121401501,,
1,12,14,1,16,1,219.6804,,,,,,,,,,121401601,,
1,12,14,1,17,1,219.6804,,,,,,,,,,121401701,,
1,12,14,1,18,1,219.6804,,,,,,,,,,121401801,,
1,12,15,1,1,1,20.4148122137405,1,"01",2500,0,1,,,,,121500101,,
1,12,15,1,2,1,20.4148122137405,1,"01",2500,0,0,1,,,,121500201,,
1,12,15,1,3,1,668.5851,,,,,,,,,,121500301,,
1,12,15,1,4,1,668.5851,,,,,,,,,,121500401,,
1,12,15,1,5,1,668.5851,2,"01",24600,0,0,0,0,1,,121500501,,
1,12,15,1,6,1,668.5851,2,"01",8200,0,0,0,0,3,,121500601,,
1,12,15,1,8,1,668.5851,,,,,,,,,,121500801,,
1,12,15,1,9,1,668.5851,2,"01",21000,0,0,0,0,2,,121500901,,
1,12,15,1,10,1,668.5851,,,,,,,,,,121501001,,
1,12,15,1,11,1,668.5851,,,,,,,,,,121501101,,
1,12,15,1,12,1,668.5851,,,,,,,,,,121501201,,
1,12,15,1,13,1,668.5851,,,,,,,,,,121501301,,
1,12,15,1,14,1,668.5851,,,,,,,,,,121501401,,
1,12,15,1,15,1,668.5851,,,,,,,,,,121501501,,
1,12,15,1,16,1,668.5851,,,,,,,,,,121501601,,
1,12,15,1,17,1,668.5851,,,,,,,,,,121501701,,
1,12,15,1,18,1,668.5851,,,,,,,,,,121501801,,
1,12,15,1,19,1,668.5851,2,"02",8200,0,0,0,0,2,,121501901,,
1,12,16,1,1,1,22.51949375,,,,,,,,,,121600101,,
1,12,16,1,2,1,22.51949375,,,,,,,,,,121600201,,
1,12,16,1,3,1,22.51949375,,,,,,,,,,121600301,,
1,12,16,1,4,1,22.51949375,,,,,,,,,,121600401,,
1,12,16,1,5,1,443.4608,,,,,,,,,,121600501,,
1,12,16,1,6,1,443.4608,,,,,,,,,,121600601,,
1,12,16,1,7,1,443.4608,,,,,,,,,,121600701,,
1,12,16,1,8,1,443.4608,,,,,,,,,,121600801,,
1,12,16,1,9,1,443.4608,,,,,,,,,,121600901,,
1,12,16,1,10,1,443.4608,,,,,,,,,,121601001,,
1,12,16,1,11,1,443.4608,,,,,,,,,,121601101,,
1,12,16,1,12,1,22.51949375,,,,,,,,,,121601201,,
1,12,16,1,13,1,443.4608,,,,,,,,,,121601301,,
1,12,16,1,14,1,443.4608,,,,,,,,,,121601401,,
1,12,16,1,15,1,443.4608,,,,,,,,,,121601501,,
1,12,16,1,16,1,443.4608,,,,,,,,,,121601601,,
1,12,16,1,17,1,443.4608,2,"02",8200,1,,,,,,121601701,,
1,12,16,1,18,1,443.4608,,,,,,,,,,121601801,,
1,12,17,1,1,1,7.15809113268609,2,"01",16000,1,,,,,,121700101,,
1,12,17,1,2,1,85.07116,2,"02",21000,1,,,,,,121700201,,
1,12,17,1,3,1,7.15809113268609,2,"01",21000,0,0,1,,,,121700301,,
1,12,17,1,4,1,7.15809113268609,1,"01",7500,1,,,,,,121700401,,
1,12,17,1,5,1,7.15809113268609,1,"02",2500,1,,,,,,121700501,,
1,12,17,1,6,1,85.07116,,,,,,,,,,121700601,,
1,12,17,1,7,1,85.07116,,,,,,,,,,121700701,,
1,12,17,1,8,1,85.07116,,,,,,,,,,121700801,,
1,12,17,1,9,1,85.07116,,,,,,,,,,121700901,,
1,12,17,1,10,1,7.15809113268609,1,"01",8200,1,,,,,,121701001,,
1,12,17,1,11,1,85.07116,,,,,,,,,,121701101,,
1,12,17,1,12,1,85.07116,,,,,,,,,,121701201,,
1,12,17,1,13,1,85.07116,,,,,,,,,,121701301,,
1,12,17,1,14,1,85.07116,,,,,,,,,,121701401,,
1,12,17,1,15,1,85.07116,,,,,,,,,,121701501,,
1,12,17,1,16,1,85.07116,,,,,,,,,,121701601,,
1,12,17,1,17,1,85.07116,,,,,,,,,,121701701,,
1,12,17,1,18,1,85.07116,,,,,,,,,,121701801,,
1,12,18,2,1,1,947.7518,,,,,,,,,,121800101,,
1,12,18,2,2,1,947.7518,1,"02",7500,1,,,,,,121800201,,
1,12,18,2,3,1,143.598757575758,,,,,,,,,,121800301,,
1,12,18,2,4,1,143.598757575758,1,"02",7500,0,0,0,0,1,,121800401,,
1,12,18,2,5,1,143.598757575758,1,"01",7500,0,0,888,888,,,121800501,,
1,12,18,2,6,1,947.7518,1,"02",2500,1,,,,,,121800601,,
1,12,18,2,7,1,143.598757575758,1,"01",2500,0,0,0,0,1,,121800701,,
1,12,18,2,8,1,947.7518,1,"01",2500,1,,,,,,121800801,,
1,12,18,2,9,1,143.598757575758,,,,,,,,,,121800901,,
1,12,18,2,10,1,947.7518,,,,,,,,,,121801001,,
1,12,18,2,11,1,947.7518,,,,,,,,,,121801101,,
1,12,18,2,12,1,947.7518,2,"02",21000,1,,,,,,121801201,,
1,12,18,2,13,1,143.598757575758,1,"01",7500,1,,,,,,121801301,,
1,12,18,2,14,1,947.7518,,,,,,,,,,121801401,,
1,12,18,2,15,1,143.598757575758,1,"01",2500,0,1,,,,,121801501,,
1,12,18,2,16,1,947.7518,2,"02",21000,1,,,,,,121801601,,
1,12,18,2,17,1,143.598757575758,1,"01",7500,0,0,1,,,,121801701,,
1,12,18,2,18,1,947.7518,,,,,,,,,,121801801,,
1,12,19,1,1,1,683.8179,2,"02",21000,1,,,,,,121900101,,
1,12,19,1,2,1,44.8755496875,1,"02",2500,1,,,,,,121900201,,
1,12,19,1,3,1,44.8755496875,1,"02",2500,1,,,,,,121900301,,
1,12,19,1,4,1,44.8755496875,,,,,,,,,,121900401,,
1,12,19,1,5,1,683.8179,,,,,,,,,,121900501,,
1,12,19,1,6,1,683.8179,2,"02",16000,1,,,,,,121900601,,
1,12,19,1,8,1,44.8755496875,1,"01",7500,1,,,,,,121900801,,
1,12,19,1,9,1,683.8179,2,"02",21000,1,,,,,,121900901,,
1,12,19,1,10,1,683.8179,,,,,,,,,,121901001,,
1,12,19,1,11,1,683.8179,,,,,,,,,,121901101,,
1,12,19,1,12,1,683.8179,,,,,,,,,,121901201,,
1,12,19,1,13,1,683.8179,,,,,,,,,,121901301,,
1,12,19,1,14,1,683.8179,,,,,,,,,,121901401,,
1,12,19,1,15,1,683.8179,,,,,,,,,,121901501,,
1,12,19,1,16,1,683.8179,,,,,,,,,,121901601,,
1,12,19,1,17,1,683.8179,,,,,,,,,,121901701,,
1,12,19,1,18,1,683.8179,,,,,,,,,,121901801,,
1,12,19,1,19,1,683.8179,,,,,,,,,,121901901,,
1,12,20,2,1,1,446.4181,1,"02",2500,1,,,,,,122000101,,
1,12,20,2,2,1,604.193264109589,1,"02",7500,0,0,0,0,1,,122000201,,
1,12,20,2,3,1,446.4181,1,"02",2500,1,,,,,,122000301,,
1,12,20,2,4,1,604.193264109589,1,"01",7500,0,0,1,,,,122000401,,
1,12,20,2,5,1,446.4181,,,,,,,,,,122000501,,
1,12,20,2,6,1,604.193264109589,1,"01",7500,0,0,0,0,1,,122000601,,
1,12,20,2,7,1,446.4181,1,"01",7500,1,,,,,,122000701,,
1,12,20,2,8,1,446.4181,1,"02",7500,1,,,,,,122000801,,
1,12,20,2,9,1,446.4181,1,"02",2500,1,,,,,,122000901,,
1,12,20,2,10,1,446.4181,1,"01",2500,1,,,,,,122001001,,
1,12,20,2,11,1,446.4181,1,"02",7500,0,1,,,,,122001101,,
1,12,20,2,12,1,446.4181,1,"01",7500,1,,,,,,122001201,,
1,12,20,2,13,1,446.4181,1,"02",2500,1,,,,,,122001301,,
1,12,20,2,14,1,604.193264109589,1,"01",2500,1,,,,,,122001401,,
1,12,20,2,15,1,446.4181,2,"01",21000,1,,,,,,122001501,,
1,12,20,2,16,1,446.4181,1,"01",7500,1,,,,,,122001601,,
1,12,20,2,17,1,446.4181,1,"01",7500,1,,,,,,122001701,,
1,12,20,2,18,1,604.193264109589,1,"02",2500,1,,,,,,122001801,,
1,12,21,1,1,1,560.5378,,,,,,,,,,122100101,,
1,12,21,1,2,1,560.5378,,,,,,,,,,122100201,,
1,12,21,1,4,1,560.5378,,,,,,,,,,122100401,,
