"PROVINCE","DISTRICT","Cluster","HI04","HI05","TYPEHH","HH_WT","B01","B02","B02_OTHER","B03","B04","B05","B05_OTHER","B06_1","B06_2","B06_3","B06_4","B06_5","B06_OTHER","B07_1","B07_2","B07_3","B07_4","B07_OTHER","B08_01","B08_02","B08_03","B08_04","B08_05","B08_06","B08_07","B08_08","B08_09","B08_10","B08_11","B08_12","B08_13","B08_14","B08_15","B08_OTHER","B09","B10","B11_01","B11_02","B11_03","B11_04","B11_05","B11_06","B11_07","B11_08","B11_09","B11_10","B11_11","B11_12","B11_13","B11_OTHER","B12","B13","B14","hhid","camp","ref_weight"
1,11,5,1,1,1,35.6145062761506,"01",13,8,,,5,,,,,,555,8,,,,555,4,,,,,,,,,,,,1,,,,,1,1,1,1,,,,,,,,,1,,,,,3,1,110500101,,
1,11,5,1,2,1,35.6145062761506,"01",13,8,,,1,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,1,1,1,,,,,,,,,1,,,,,2,1,110500201,,
1,11,5,1,3,1,35.6145062761506,"01",13,8,,,5,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,2,1,110500301,,
1,11,5,1,4,1,35.6145062761506,"02",7,,,,5,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,2,1,110500401,,
1,11,5,1,5,1,187.074,"01",1,,,,1,,,,,111,,,1,,,,,,,,,,,,,,,,,,1,,,1,1,1,,,,,,,,,,,,,,,2,1,110500501,,
1,11,5,1,6,1,187.074,"01",1,,,,5,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,1,1,,,,,,,,,,,,,,,2,1,110500601,,
1,11,5,1,7,1,187.074,"01",1,,,,5,,,1,,,,,1,,,,,,1,,1,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,2,2,110500701,,
1,11,5,1,8,1,187.074,"02",1,,,,5,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,3,1,110500801,,
1,11,5,1,9,1,187.074,"01",1,,,,5,,1,,,,,,,,111,,,1,,,,,,,,,,,,,,,,1,1,1,1,,,1,1,,,,,,,,,,2,2,110500901,,
1,11,5,1,10,1,187.074,"01",1,,,,5,,1,,,,,,,,111,,,,,,,,,,,,,,,,1,,,1,1,1,,,,,,,,,,,,,,,1,2,110501001,,
1,11,5,1,11,1,187.074,"01",1,,,,5,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,1,,,,,,,,,,,3,1,110501101,,
1,11,5,1,12,1,187.074,"02",1,,,,4,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,1,1,1,1,,,1,,,,,,,,,,,2,2,110501201,,
1,11,5,1,14,1,187.074,"01",1,,,,5,,1,,,,,,,,111,,,,,1,,,,,,,,,,,,,,1,1,1,1,,,1,1,,,,,,,,,,2,1,110501401,,
1,11,5,1,16,1,187.074,"01",1,,,,5,,,,,,555,8,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,,,,,,,,,,,,,,,3,2,110501601,,
1,11,5,1,17,1,187.074,"01",1,,,,5,,,,,111,,,,,111,,,,,,,,,,,,,,1,,,,,1,1,1,1,,,1,1,,,,,,,,,,3,2,110501701,,
1,11,5,1,18,1,187.074,"01",1,,,,5,,1,,,,,,,,111,,,1,,,,,,,,,,,,,,,,1,1,1,1,,,1,1,,,,,,,,,,3,1,110501801,,
1,11,5,1,20,1,187.074,"01",1,,,,1,,,,,111,,,,,111,,,,,,,,,,,,,,1,,,,,1,1,1,1,,,1,,,,,,,,,,,2,1,110502001,,
1,11,6,1,1,1,504.2603,"02",1,,,,4,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,3,1,110600101,,
1,11,6,1,2,1,504.2603,"01",1,,,,5,,1,,,,,,,,111,,,,,,,,,,,,,,,,1,,,1,1,1,1,,,1,1,,,,,,,,,,2,2,110600201,,
1,11,6,1,3,1,504.2603,"02",1,,,,5,,1,,,,,,,,111,,,1,,,,,,,,,,,,,,,,1,1,1,1,,,1,,,,1,,,,,,,3,2,110600301,,
1,11,6,1,4,1,504.2603,"01",1,,,,5,,1,,,,,,,,111,,,1,,,,,,,,,,,,,,,,1,1,1,1,,,,,,1,,,,,,,,3,2,110600401,,
1,11,6,1,5,1,504.2603,"02",1,,,,5,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,1,1,1,,,,,,,,,1,,,,,3,2,110600501,,
1,11,6,1,6,1,504.2603,"01",1,,,,5,,,,,111,,,,,111,,,,,,,,,,,,,,,1,,,,1,1,1,1,,,1,,,,,,,,,,,2,2,110600601,,
1,11,6,1,7,1,504.2603,"02",1,,,,5,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,2,4,110600701,,
1,11,6,1,8,1,504.2603,"01",1,,,,5,,1,,,,,,,,111,,,1,,,,,,,,,,,,,,,,1,1,1,1,,,,,,1,,,,,,,,3,2,110600801,,
1,11,6,1,9,1,504.2603,"01",1,,,,5,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,1,1,1,,,1,,,,,,,,,,,2,1,110600901,,
1,11,6,1,10,1,504.2603,"01",1,,,,5,,1,,,,,,,,111,,,1,,,,,,,,,,,,,,,,1,1,1,1,,,1,,,1,,,,,,,,2,2,110601001,,
1,11,6,1,11,1,504.2603,"02",1,,,,5,,1,,,,,,,,111,,,1,,,,,,,,,,,,,,,,1,1,,1,,,1,,,,,,,,,,,2,2,110601101,,
1,11,6,1,12,1,504.2603,"01",1,,,,5,,,,,111,,,,,111,,,,,,,,,,,,,,,1,,,,1,1,1,,,,,,,1,,,,,,,,2,1,110601201,,
1,11,6,1,13,1,504.2603,"01",1,,,,5,,1,,,,,,,,111,,,1,,,,,,,,,,,,,,,,1,1,,1,,,1,,,,,,,,,,,3,2,110601301,,
1,11,6,1,14,1,504.2603,"02",1,,,,5,,1,,,,,,,,111,,,1,,,,,,,,,,,,,,,,1,1,1,1,,,,,,1,,,,,,,,3,2,110601401,,
1,11,6,1,15,1,504.2603,"01",1,,,,5,,,,,111,,,1,,,,,,,,,,,,,,,,1,,,,,1,1,,1,,,,,,,,,1,,,,,2,2,110601501,,
1,11,6,1,16,1,504.2603,"01",1,,,,5,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,3,1,110601601,,
1,11,6,1,17,1,504.2603,"02",1,,,,5,,,,,111,,,,,111,,,,,,,,,,,,,1,,,,,,1,1,,1,,,,,,,,,,,,,,2,2,110601701,,
1,11,6,1,18,1,504.2603,"03",1,,,,5,,1,,,,,,,,111,,,1,,,,,,,,,,,,,,,,1,1,,1,,,1,1,,,,,1,,,,,888,2,110601801,,
1,11,7,1,1,1,191.7855,"01",1,,,,4,,1,,,,,,,,111,,,1,,,,,,,,,,,,,,,,1,1,1,1,,,1,1,,,,,,,,,,3,1,110700101,,
1,11,7,1,2,1,191.7855,"02",1,,,,4,,1,,,,,,,,111,,,1,,,,,,,,,,,,,,,,1,1,1,1,,,1,,,1,,,,,,,,3,1,110700201,,
1,11,7,1,3,1,191.7855,"02",1,,,,4,,1,,,,,,,,111,,,1,,,,,,,,,,,,,,,,1,1,1,1,,,,,,1,,,,,,,,3,1,110700301,,
1,11,7,1,4,1,191.7855,"02",1,,,,5,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,3,2,110700401,,
1,11,7,1,5,1,191.7855,"01",1,,,,4,,1,,,,,,,,111,,,1,,,,,,,,,,,,,,,,1,1,1,1,,,1,1,,,,1,,,,,,3,2,110700501,,
1,11,7,1,6,1,191.7855,"01",1,,,,5,,1,,,,,,,,111,,,1,,,,,,,,,,,,,,,,1,1,1,,,,1,,,1,,,,,,,,1,4,110700601,,
1,11,7,1,7,1,191.7855,"02",1,,,,4,,1,,,,,,,,111,,,1,,,,,,,,,,,,,,,,1,1,1,1,,,,,,1,,,,,,,,3,2,110700701,,
1,11,7,1,8,1,191.7855,"01",1,,,,4,,1,,,,,,,,111,,,,,,,,,,,,,,1,,,,,1,1,,1,,,,,,,,,,,,,,3,1,110700801,,
1,11,7,1,9,1,191.7855,"01",1,,,,5,,1,,,,,,,,111,,,,,,,,,,,,,,,1,,,,1,1,1,1,,,,,,1,,,1,,,,,2,2,110700901,,
1,11,7,1,10,1,191.7855,"01",1,,,,5,,1,,,,,,,,111,,,1,,,,,,,,,,,,,,,,1,1,1,1,,,,1,,1,,,,,,,,3,1,110701001,,
1,11,7,1,11,1,191.7855,"05",1,,,,4,,1,,,,,,,,111,,,1,,,,,,,,,,,,,,,,1,1,1,1,,,1,1,,,,,,,,,,3,2,110701101,,
1,11,7,1,12,1,191.7855,"02",1,,,,5,,,,1,,,,,,111,,,,,,,,,,,,,1,1,,,,,1,1,1,1,,,1,,,1,,,1,,,,,1,1,110701201,,
1,11,7,1,13,1,191.7855,"01",1,,,,4,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,3,1,110701301,,
1,11,7,1,14,1,191.7855,"01",1,,,,5,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,3,1,110701401,,
1,11,7,1,15,1,191.7855,"02",1,,,,5,,1,,1,,,,1,1,,,,1,,,1,,,,,,,,,,,,,1,1,1,1,,,1,,,,,,1,,,,,2,2,110701501,,
1,11,7,1,16,1,191.7855,"01",1,,,,5,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,1,1,,,,1,,,,,,,,,,,3,1,110701601,,
1,11,7,1,17,1,191.7855,"01",1,,,,4,,1,,,,,,,,111,,,1,,,,,,,,,,,,,,,,1,1,,1,,,1,,,,,,,,,,,2,2,110701701,,
