"Cluster","HI05","HH_WT","PROVINCE","DISTRICT","HI04","TYPEHH","F02","F03","F03_OTHER1","F04","F04_OTHER","F05","F06","F07","F08A","F08B","F08_OTHER","F09_1","F09_2","F09_3","F09_4","F09_5","F09_6","F09_7","F09_8","F09_9","hhid","camp","ref_weight"
2,10,221.941,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110201001,,
2,11,221.941,1,11,2,1,1,1," ",," ",,1,1,111,111,,,,,,,,,,,110201101,,
2,11,221.941,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110201101,,
2,11,221.941,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110201101,,
2,11,221.941,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110201101,,
2,11,221.941,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110201101,,
2,12,221.941,1,11,2,1,1,1," ",," ",,1,1,111,111,,,,,,,,,,,110201201,,
2,12,221.941,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110201201,,
2,12,221.941,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110201201,,
2,12,221.941,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110201201,,
2,12,221.941,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110201201,,
2,13,221.941,1,11,2,1,1,1," ",," ",,1,1,111,111,,,,,,,,,,,110201301,,
2,13,221.941,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110201301,,
2,13,221.941,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110201301,,
2,13,221.941,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110201301,,
2,13,221.941,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110201301,,
2,14,221.941,1,11,2,1,3,0," ",," ",,,,,,,,,,,,,,,,110201401,,
2,14,221.941,1,11,2,1,2,0," ",," ",,,,,,,,,,,,,,,,110201401,,
2,14,221.941,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110201401,,
2,14,221.941,1,11,2,1,1,0," ",," ",,,,,,,,,,,,,,,,110201401,,
2,14,221.941,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110201401,,
2,15,221.941,1,11,2,1,1,0," ",," ",,,,,,,,,,,,,,,,110201501,,
2,15,221.941,1,11,2,1,4,0," ",," ",,,,,,,,,,,,,,,,110201501,,
2,15,221.941,1,11,2,1,5,0," ",," ",,,,,,,,,,,,,,,,110201501,,
