"Cluster","ED_ID","CI01","CI02","CI06","CI07","CI08","QE_C06A","QE_C06B","QE_C07","QE_C08","QE_C09","QE_C09A","Basicweight"
143,90,3,1,2,2,1,1,2,2021,0,2,1,129.616023809524
145,91,3,1,2,2,1,1,2,2022,0,2,1,143.114677419355
146,92,3,1,1,2,1,1,2,2021,0,3,1,19.6108301886792
149,93,3,1,2,2,4,1,1,2022,0,2,1,7.28915877551021
150,94,3,1,2,2,2,1,1,2021,0,2,1,84.5583622641509
159,95,3,2,2,2,3,1,2,2019,0,4,1,112.320421052632
160,96,3,2,2,2,1,1,2,2021,0,2,1,147.572481927711
162,97,3,3,2,2,5,1,2,2022,0,2,1,184.221032258065
163,98,3,3,1,2,3,1,1,2012,0,5,1,17.2384463414634
164,99,3,3,1,2,1,1,2,2000,350000,5,1,27.1421528455285
165,100,3,3,1,2,1,1,1,2021,0,2,1,30.559265408805
167,101,3,3,2,2,1,1,2,2022,300000,2,1,121.961137254902
168,102,3,3,1,2,1,1,2,2017,300000,2,1,7.21586578366446
169,103,3,3,1,2,1,1,2,2022,0,2,1,22.0445028571429
171,104,3,3,1,2,1,1,1,2012,0,4,1,16.8267534626039
174,106,3,3,1,2,1,1,2,2017,250000,3,1,11.7204483568075
175,107,3,3,1,2,7,1,1,2021,0,2,1,13.050107253886
177,108,3,4,2,2,1,1,2,2009,150000,3,1,113.6677875
179,109,3,4,2,2,1,1,1,2022,0,2,1,91.1654625
180,110,3,4,1,2,1,1,2,2022,300000,2,1,24.0643146067416
181,111,3,4,2,2,1,1,2,2022,250000,2,1,175.267767857143
182,112,3,5,2,2,3,1,1,2014,0,2,1,166.146574074074
183,113,3,5,2,2,5,1,1,2021,0,3,1,142.1882875
184,114,3,5,2,2,2,1,1,2021,0,5,1,132.641397129187
185,115,3,5,1,2,8,1,1,2007,0,2,1,6.94327538461538
186,116,3,5,2,2,1,1,2,2021,0,4,1,71.7433459770115
187,117,3,6,1,2,1,1,2,2018,250000,4,1,18.0034357798165
188,118,3,6,2,2,1,1,2,2022,0,2,1,130.290494845361
189,119,3,6,1,2,1,1,2,2021,200000,1,1,16.2242746478873
190,120,3,6,2,2,1,1,1,2022,0,2,1,118.891666666667
192,121,3,6,1,2,1,1,2,2017,300000,3,1,27.7581730263158
194,122,3,6,2,2,1,1,2,2015,250000,3,1,159.81208
195,123,3,7,2,2,1,1,2,2021,300000,2,1,79.1392834437086
196,124,3,7,2,2,1,1,2,2022,0,2,1,266.5758
197,125,3,7,2,2,1,1,1,2022,0,2,1,159.770092307692
198,126,3,7,2,2,1,1,1,2022,0,2,1,134.400469090909
199,127,4,1,2,2,1,1,2,2022,300000,2,1,185.23665
200,128,4,1,2,2,2,1,2,2022,250000,2,1,76.3218756302521
202,129,4,1,1,2,1,1,2,2003,350000,5,1,9.64490152671756
203,130,4,1,2,2,2,1,2,2010,350000,3,1,116.712714285714
204,131,4,2,2,2,1,1,2,2022,350000,3,1,88.2872234042553
205,132,4,2,2,2,1,1,2,2021,888,2,1,182.426832
206,133,4,2,2,2,1,1,2,2018,250000,2,1,139.53121875
207,134,4,2,2,2,1,1,1,2022,0,2,1,151.801378881988
208,135,4,2,1,2,1,1,2,2020,200000,2,1,11.9892
208,135,4,2,1,2,1,2,1,2020,0,2,0,11.9892
210,136,4,3,2,2,1,1,2,2022,0,2,1,52.2024086021505
214,137,4,3,1,2,1,1,1,2022,0,2,1,12.1581888235294
215,138,4,3,1,2,1,1,2,2021,250000,2,1,5.1521799689441
216,139,4,3,1,2,1,1,2,2012,450000,2,1,10.5304336363636
219,140,4,3,2,2,1,1,2,2021,0,1,1,151.93865060241
220,141,4,3,1,2,1,1,2,2022,350000,3,1,7.68185333333333
220,142,4,3,1,2,2,1,2,2019,300000,3,1,7.68185333333333
221,143,4,3,1,2,1,1,2,2022,350000,5,1,15.9206272727273
223,144,4,4,2,2,1,1,1,2022,0,2,1,325.358129032258
