hhid,Cluster,PROVINCE,HH_WT,Conn_Grid,m_R,Tier,Is_Urban,Accept_Cash
121400601,14,1,219.6804,1,1.0,4,1,0
121400701,14,1,219.6804,1,1.0,4,1,0
121400801,14,1,219.6804,1,1.0,4,1,0
121400901,14,1,219.6804,1,1.0,2,1,0
121401001,14,1,219.6804,1,1.0,4,1,0
121401101,14,1,219.6804,1,1.0,4,1,0
121401201,14,1,219.6804,1,0.9050826180324714,2,1,0
121401301,14,1,221.307662222222,0,0.0,0,1,0
121401401,14,1,219.6804,1,1.0,4,1,0
121401501,14,1,219.6804,1,1.0,4,1,0
121401601,14,1,219.6804,1,1.0,2,1,0
121401701,14,1,219.6804,1,1.0,2,1,0
121401801,14,1,219.6804,1,1.0,1,1,0
121500101,15,1,20.4148122137405,0,0.0,0,1,0
121500201,15,1,20.4148122137405,0,0.0,0,1,0
121500301,15,1,668.5851,1,1.0,2,1,0
121500401,15,1,668.5851,1,1.0,4,1,0
121500501,15,1,668.5851,1,1.0,1,1,0
121500601,15,1,668.5851,1,1.0,4,1,0
121500801,15,1,668.5851,1,0.8647162815908936,4,1,0
121500901,15,1,668.5851,1,1.0,2,1,0
121501001,15,1,668.5851,1,1.0,2,1,0
121501101,15,1,668.5851,1,1.0,2,1,0
121501201,15,1,668.5851,1,1.0,4,1,0
121501301,15,1,668.5851,1,0.9800826180324713,4,1,0
121501401,15,1,668.5851,1,1.0,2,1,0
121501501,15,1,668.5851,1,1.0,2,1,0
121501601,15,1,668.5851,1,0.8647162815908936,4,1,0
121501701,15,1,668.5851,1,0.9297162815908937,4,1,0
121501801,15,1,668.5851,1,1.0,4,1,0
121501901,15,1,668.5851,1,1.0,4,1,0
121600101,16,1,22.51949375,0,0.0,0,1,0
121600201,16,1,22.51949375,0,0.0,0,1,0
121600301,16,1,22.51949375,0,0.0,0,1,0
121600401,16,1,22.51949375,0,0.0,0,1,0
121600501,16,1,443.4608,1,0.9050826180324714,1,1,0
121600601,16,1,443.4608,1,1.0,2,1,0
121600701,16,1,443.4608,1,1.0,2,1,0
121600801,16,1,443.4608,1,0.9966921425188322,2,1,0
121600901,16,1,443.4608,1,1.0,2,1,0
121601001,16,1,443.4608,1,0.9050826180324714,4,1,0
121601101,16,1,443.4608,1,1.0,4,1,0
121601201,16,1,22.51949375,0,0.0,0,1,0
121601301,16,1,443.4608,1,1.0,4,1,0
121601401,16,1,443.4608,1,1.0,1,1,0
121601501,16,1,443.4608,1,1.0,4,1,0
121601601,16,1,443.4608,1,1.0,1,1,0
121601701,16,1,443.4608,1,1.0,2,1,1
121601801,16,1,443.4608,1,1.0,4,1,0
121700101,17,1,7.15809113268609,0,0.0,0,1,1
121700201,17,1,85.07116,1,0.9599912256345182,2,1,1
121700301,17,1,7.15809113268609,0,0.0,0,1,0
121700401,17,1,7.15809113268609,0,0.0,0,1,1
121700501,17,1,7.15809113268609,0,0.0,2,1,1
121700601,17,1,85.07116,1,1.0,2,1,0
121700701,17,1,85.07116,1,1.0,1,1,0
121700801,17,1,85.07116,1,1.0,1,1,0
121700901,17,1,85.07116,1,1.0,4,1,0
121701001,17,1,7.15809113268609,0,0.0,0,1,1
121701101,17,1,85.07116,1,1.0,4,1,0
121701201,17,1,85.07116,1,1.0,1,1,0
121701301,17,1,85.07116,1,1.0,2,1,0
121701401,17,1,85.07116,1,1.0,1,1,0
121701501,17,1,85.07116,1,0.85,1,1,0
121701601,17,1,85.07116,1,1.0,1,1,0
121701701,17,1,85.07116,1,1.0,1,1,0
121701801,17,1,85.07116,1,1.0,1,1,0
121800101,18,1,947.7518,1,0.9469514402761416,1,0,0
121800201,18,1,947.7518,1,1.0,2,0,1
121800301,18,1,143.598757575758,0,0.0,2,0,0
121800401,18,1,143.598757575758,0,0.0,0,0,0
121800501,18,1,143.598757575758,0,0.0,0,0,0
121800601,18,1,947.7518,1,0.9249999999999999,2,0,1
121800701,18,1,143.598757575758,0,0.0,0,0,0
121800801,18,1,947.7518,1,0.9800826180324713,1,0,1
121800901,18,1,143.598757575758,0,0.0,0,0,0
121801001,18,1,947.7518,1,0.8300826180324714,1,0,0
121801101,18,1,947.7518,1,1.0,1,0,0
121801201,18,1,947.7518,1,1.0,2,0,1
121801301,18,1,143.598757575758,0,0.0,2,0,1
121801401,18,1,947.7518,1,0.9469514402761416,1,0,0
121801501,18,1,143.598757575758,0,0.0,0,0,0
121801601,18,1,947.7518,1,1.0,2,0,1
121801701,18,1,143.598757575758,0,0.0,0,0,0
121801801,18,1,947.7518,1,0.835173802575087,1,0,0
121900101,19,1,683.8179,1,1.0,4,1,1
121900201,19,1,44.8755496875,0,0.0,0,1,1
121900301,19,1,44.8755496875,0,0.0,0,1,1
121900401,19,1,44.8755496875,0,0.0,0,1,0
121900501,19,1,683.8179,1,1.0,1,1,0
121900601,19,1,683.8179,1,0.9050826180324714,2,1,1
121900801,19,1,44.8755496875,0,0.0,0,1,1
121900901,19,1,683.8179,1,0.9800826180324713,2,1,1
121901001,19,1,683.8179,1,1.0,4,1,0
121901101,19,1,683.8179,1,1.0,2,1,0
121901201,19,1,683.8179,1,1.0,4,1,0
121901301,19,1,683.8179,1,1.0,4,1,0
121901401,19,1,683.8179,1,0.8026786390680324,4,1,0
121901501,19,1,683.8179,1,0.919247239296088,1,1,0
121901601,19,1,683.8179,1,0.9249999999999999,4,1,0
121901701,19,1,683.8179,1,0.919247239296088,4,1,0
121901801,19,1,683.8179,1,0.9249999999999999,1,1,0
121901901,19,1,683.8179,1,1.0,1,1,0
122000101,20,1,446.4181,1,0.7915898086567492,1,0,1
122000201,20,1,604.193264109589,0,0.0,2,0,0
122000301,20,1,446.4181,1,1.0,2,0,1
122000401,20,1,604.193264109589,0,0.0,0,0,0
122000501,20,1,446.4181,1,0.7467377606116178,4,0,0
122000601,20,1,604.193264109589,0,0.0,0,0,0
122000701,20,1,446.4181,1,1.0,1,0,1
122000801,20,1,446.4181,1,1.0,1,0,1
122000901,20,1,446.4181,1,0.963352268340808,1,0,1
122001001,20,1,446.4181,1,1.0,1,0,1
122001101,20,1,446.4181,1,1.0,1,0,0
122001201,20,1,446.4181,1,1.0,1,0,1
122001301,20,1,446.4181,1,1.0,1,0,1
122001401,20,1,604.193264109589,0,0.0,0,0,1
122001501,20,1,446.4181,1,1.0,4,0,1
122001601,20,1,446.4181,1,1.0,2,0,1
122001701,20,1,446.4181,1,1.0,1,0,1
122001801,20,1,604.193264109589,0,0.0,0,0,1
122100101,21,1,560.5378,1,1.0,1,1,0
122100201,21,1,560.5378,1,1.0,5,1,0
122100401,21,1,560.5378,1,1.0,2,1,0
122100501,21,1,323.609451546392,0,0.0,0,1,0
122100601,21,1,323.609451546392,0,0.0,0,1,0
122100701,21,1,560.5378,1,1.0,4,1,0
122100801,21,1,560.5378,1,1.0,5,1,0
122100901,21,1,560.5378,1,1.0,4,1,0
122101001,21,1,560.5378,1,1.0,4,1,0
122101101,21,1,560.5378,1,1.0,5,1,0
122101201,21,1,560.5378,1,1.0,1,1,0
122101301,21,1,560.5378,1,0.9599912256345182,4,1,0
122101401,21,1,560.5378,1,1.0,4,1,0
122101501,21,1,560.5378,1,1.0,4,1,0
122101601,21,1,560.5378,1,1.0,4,1,0
122101701,21,1,560.5378,1,1.0,1,1,0
122101801,21,1,560.5378,1,0.9599912256345182,4,1,0
122102001,21,1,560.5378,1,0.9599912256345182,2,1,1
122200101,22,1,16.4555545454545,0,0.0,0,1,0
122200201,22,1,16.4555545454545,0,0.0,0,1,1
122200301,22,1,16.4555545454545,0,0.0,2,1,1
122200401,22,1,16.4555545454545,0,0.0,0,1,0
122200501,22,1,16.4555545454545,0,0.0,0,1,0
122200601,22,1,362.0222,1,1.0,1,1,0
122200701,22,1,362.0222,1,1.0,2,1,0
122200801,22,1,362.0222,1,1.0,4,1,0
122200901,22,1,362.0222,1,1.0,2,1,0
122201001,22,1,362.0222,1,1.0,4,1,0
122201101,22,1,362.0222,1,1.0,2,1,0
122201201,22,1,362.0222,1,1.0,2,1,0
122201301,22,1,16.4555545454545,0,0.0,2,1,1
122201401,22,1,362.0222,1,0.835173802575087,1,1,0
122201501,22,1,362.0222,1,1.0,4,1,0
122201601,22,1,362.0222,1,1.0,1,1,0
122201701,22,1,362.0222,1,1.0,2,1,0
122201801,22,1,362.0222,1,1.0,5,1,0
122300101,23,1,451.1577,1,0.9249999999999999,2,1,0
122300201,23,1,451.1577,1,1.0,4,1,0
122300301,23,1,30.07718,0,0.0,0,1,0
122300401,23,1,30.07718,0,0.0,2,1,0
122300501,23,1,30.07718,0,0.0,2,1,0
122300601,23,1,451.1577,1,1.0,4,1,0
122300701,23,1,451.1577,1,0.9249999999999999,2,1,0
122300801,23,1,451.1577,1,1.0,4,1,0
122300901,23,1,451.1577,1,1.0,4,1,0
122301001,23,1,451.1577,1,0.9249999999999999,2,1,0
122301101,23,1,451.1577,1,0.9249999999999999,4,1,0
122301201,23,1,30.07718,0,0.0,2,1,0
122301301,23,1,30.07718,0,0.0,0,1,0
122301401,23,1,30.07718,0,0.0,0,1,1
122301501,23,1,451.1577,1,0.7692472392960881,4,1,0
122301601,23,1,451.1577,1,1.0,2,1,0
122301701,23,1,451.1577,1,0.9249999999999999,5,1,0
122301801,23,1,30.07718,0,0.0,0,1,0
122400101,24,1,410.6768,1,1.0,4,1,0
122400201,24,1,410.6768,1,1.0,2,1,0
122400301,24,1,410.6768,1,1.0,1,1,0
122400401,24,1,410.6768,1,1.0,5,1,0
122400501,24,1,410.6768,1,1.0,4,1,0
122400601,24,1,410.6768,1,1.0,4,1,0
122400701,24,1,410.6768,1,1.0,4,1,0
122400801,24,1,410.6768,1,1.0,4,1,0
122400901,24,1,410.6768,1,1.0,4,1,0
122401001,24,1,410.6768,1,1.0,4,1,0
122401101,24,1,410.6768,1,1.0,4,1,0
122401201,24,1,410.6768,1,1.0,4,1,0
122401301,24,1,410.6768,1,1.0,4,1,0
122401401,24,1,410.6768,1,0.9800826180324713,4,1,0
122401501,24,1,410.6768,1,1.0,4,1,0
122401601,24,1,410.6768,1,1.0,2,1,0
122401801,24,1,410.6768,1,1.0,4,1,0
122401901,24,1,410.6768,1,1.0,4,1,0
122500101,25,1,325.5321,1,0.9953287401307611,4,1,0
122500201,25,1,325.5321,1,1.0,1,1,0
122500301,25,1,325.5321,1,1.0,4,1,0
122500401,25,1,325.5321,1,1.0,1,1,0
122500501,25,1,325.5321,1,0.9050826180324714,4,1,0
122500601,25,1,325.5321,1,0.9800826180324713,4,1,0
122500701,25,1,325.5321,1,1.0,4,1,0
122500801,25,1,325.5321,1,1.0,4,1,0
122500901,25,1,325.5321,1,1.0,4,1,0
122501001,25,1,325.5321,1,1.0,1,1,0
122501101,25,1,325.5321,1,1.0,5,1,0
122501201,25,1,325.5321,1,0.9800826180324713,4,1,0
122501301,25,1,325.5321,1,0.9800826180324713,2,1,0
122501401,25,1,325.5321,1,1.0,4,1,0
122501501,25,1,325.5321,1,1.0,1,1,0
122501601,25,1,325.5321,1,1.0,4,1,0
122501701,25,1,325.5321,1,1.0,2,1,0
122501801,25,1,325.5321,1,1.0,4,1,0
122600101,26,1,21.1679242236025,0,0.0,2,1,0
122600201,26,1,1310.783,1,1.0,4,1,1
122600301,26,1,21.1679242236025,0,0.0,0,1,1
