Cluster,m_R_avg,access_rate,share_tier_ge2,pop_weight,Is_Urban
50,0.9129736761710581,0.9348837209302325,0.5033989266547406,4343.741482587065,1.0
51,0.7853463737760972,0.8425196850393699,0.8711524695776662,2164.578742056075,1.0
52,0.2362204724409454,0.2362204724409454,0.31798909751665677,23110.782666666615,0.0
53,0.2971736926535685,0.3053435114503817,0.3193384223918575,20017.00305,0.0
54,0.646198549682507,0.6494464944649445,0.5811808118081182,12257.828886363639,0.0
55,0.0,0.0,0.38888888888888884,23869.440000000002,0.0
56,0.9168214093911896,0.9660194174757283,0.42250346740638006,2461.4809567839193,0.0
57,0.2577823576504756,0.2681564245810055,0.23029174425822468,1131.9453206250002,0.0
58,0.6350119740911151,0.6561403508771929,0.3749829118250171,26794.03419786097,0.0
59,0.06244318181818184,0.06363636363636367,0.3855944055944056,1258.2043571428565,0.0
60,0.7515610502965716,0.7599999999999997,0.5599999999999998,1559.2701315789477,0.0
61,0.6901253814444934,0.7155963302752292,0.3821100917431193,1146.486594871795,0.0
62,0.6599639570986915,0.6818181818181818,0.2977272727272728,1266.7693866666668,0.0
63,0.035361533382479084,0.03550295857988166,0.229676832043696,960.9955441666666,0.0
64,0.36091549606758166,0.3765432098765433,0.1882716049382717,1166.938583606557,0.0
65,0.14411942297096908,0.1460674157303371,0.25468164794007486,906.6063046153844,0.0
66,0.7225928364372854,0.804093567251462,0.26571637426900585,1506.4341381818183,0.0
67,0.23737373737373788,0.23737373737373788,0.19584736251402915,1241.699116595742,0.0
68,0.8910025898241003,0.9451219512195121,0.3649825783972126,22712.031999999996,0.0
69,0.2634290111393847,0.27053140096618283,0.11823671497584544,1357.792103571432,0.0
70,0.3094094606484014,0.31632653061224486,0.4892857142857143,1171.595437419355,0.0
71,0.4002112522077959,0.4010989010989007,0.3333333333333333,20207.651473972623,0.0
72,0.0,0.0,0.11111111111111113,324.14285659789977,0.0
73,0.0,0.0,0.055555555555555566,324.14285659789977,0.0
74,0.0,0.0,0.16666666666666669,324.14285659789977,0.0
75,0.0,0.0,0.055555555555555566,324.14285659789977,0.0
76,0.0,0.0,0.16666666666666669,324.14285659789977,0.0
77,0.0,0.0,0.0,324.14285659789977,0.0
78,0.0,0.0,0.11111111111111113,324.14285659789977,0.0
79,0.3994006849315063,0.4109589041095885,0.2937595129375949,2922.4257900000034,1.0
80,0.6538461538461537,0.6538461538461537,0.3116883116883117,29983.001176470592,0.0
81,0.35022472165587715,0.37037037037036974,0.4319384319384315,27428.095800000046,0.0
82,0.34345395695114095,0.3605769230769228,0.21995192307692313,41350.449920000035,0.0
83,0.0,0.0,0.11111111111111112,23501.178,0.0
84,0.9104673363244121,0.957831325301205,0.5284775465498357,11993.604402515723,0.0
85,0.9892605551187276,1.0,1.0,3170.5073999999995,1.0
86,0.9201772018872323,0.9690721649484536,0.8479381443298969,1746.8519489361702,1.0
87,0.0,0.0,0.05555555555555556,29348.64,0.0
88,0.9195798785741348,0.9852941176470589,0.4926470588235294,4126.96912238806,1.0
89,0.9626556016597511,0.9626556016597511,0.48132780082987553,3723.6903767241374,1.0
90,0.11651635849313186,0.12328767123287661,0.20616438356164377,27304.640977777803,0.0
91,0.26145239942064213,0.2700000000000001,0.208,1166.719111111111,0.0
92,0.9736896511367061,0.9790076335877863,0.7150044611876674,10346.023823001948,1.0
93,0.8237364580286768,0.8260869565217391,0.6180124223602484,1386.9019610526316,0.0
94,0.0,0.0,0.38888888888888884,1525.7709,0.0
95,0.3919175419682034,0.394160583941606,0.3353872404967296,1177.7344029629626,0.0
96,0.10304082745464385,0.10360360360360352,0.21282321282321273,1252.545331304349,0.0
97,0.0,0.0,0.611111111111111,1197.54828,0.0
98,0.6739130434782606,0.6739130434782606,0.4347826086956521,1090.6537083870971,0.0
99,0.0,0.0,0.33333333333333337,17102.7702,0.0
100,0.29556100605075386,0.29687500000000044,0.5225694444444444,22922.48690526312,0.0
101,0.0,0.0,0.2777777777777778,1364.31072,0.0
102,0.6813503223935315,0.6854460093896713,0.3528169014084507,1478.1455958904112,1.0
103,0.879538272683195,0.8854166666666669,0.5300925925925927,1356.9973835294115,0.0
104,0.23425299766822782,0.24590163934426285,0.1384335154826959,1426.017251999997,0.0
105,0.0,0.0,0.16666666666666663,1236.4633800000001,0.0
106,0.0,0.0,0.05555555555555555,388.9285812377928,0.0
107,0.0,0.0,0.16666666666666666,388.9285812377928,0.0
108,0.0,0.0,0.19999999999999998,324.107151031494,0.0
109,0.0,0.0,0.16666666666666666,388.9285812377928,0.0
110,0.0,0.0,0.1111111111111111,388.9285812377928,0.0
111,0.0,0.0,0.0,388.9285812377928,0.0
112,0.0,0.0,0.11764705882352941,367.3214378356932,0.0
113,0.0,0.0,0.3333333333333333,388.9285812377928,0.0
114,0.8292219602277331,0.8493771234428086,0.03227633069082673,25780.901552,0.0
115,0.76264778826233,0.8073654390934846,0.5623937677053825,2457.993745964912,1.0
116,0.7143747159070264,0.7304964539007089,0.2275413711583924,19489.770174757286,0.0
117,0.5724188823021611,0.5990783410138247,0.20761266383386195,26273.97941538462,0.0
118,0.18978102189781001,0.18978102189781001,0.19063975955345647,22511.65030769233,0.0
119,0.6623267803408256,0.6968085106382984,0.6332446808510641,5014.9961526717525,1.0
120,0.7007409150093156,0.7172131147540984,0.7158469945355191,4948.92024,1.0
121,0.0,0.0,0.38888888888888884,19495.062,0.0
122,0.6558658919287833,0.6862745098039214,0.1764705882352941,28547.23542857144,0.0
123,1.0,1.0,0.888888888888889,2326.2929999999997,1.0
124,0.8966119688474121,0.9596928982725527,0.7677543186180421,3892.7312130000005,1.0
125,0.0043290043290043385,0.0043290043290043385,0.409982174688057,23224.53599999998,0.0
126,0.9701222738038705,0.979591836734694,0.7346938775510202,4706.374866666667,1.0
127,0.3550138428796545,0.37688442211055345,0.3031825795644895,23885.619759999958,0.0
128,0.3310974484373945,0.3488759367194006,0.19935767812537178,5806.61257136038,1.0
129,0.0,0.0,0.1111111111111111,16057.818000000001,0.0
130,0.0,0.0,0.27777777777777773,4122.5184,1.0
131,0.005328015719746597,0.008928571428571445,0.3141741071428571,18565.073999999957,0.0
132,0.0,0.0,0.16666666666666666,27363.996000000003,0.0
133,0.4770093710090819,0.48525469168900753,0.5168900804289541,3715.988801104976,1.0
134,0.9233329001923023,0.980728051391863,0.6296059400984455,5076.7927897379905,1.0
135,0.19819819819819814,0.19819819819819814,0.23348348348348352,1033.3286672727274,0.0
136,0.0,0.0,0.16666666666666669,1007.8097399999999,0.0
137,1.0,1.0,0.8333333333333333,3334.9482,1.0
138,0.0,0.0,0.22222222222222224,1217.66688,0.0
139,0.5945945945945944,0.5945945945945944,0.32263513513513503,969.8392909090912,0.0
140,0.5786163522012578,0.5786163522012578,0.10520297312750143,1409.625560869565,0.0
141,0.0,0.0,0.27777777777777773,1170.97236,0.0
142,0.6728684105466292,0.6753246753246752,0.4147411030527913,1227.0972767307692,0.0
143,0.09193333333333321,0.09333333333333321,0.3349743589743589,29163.605357142893,0.0
144,0.4450223519630073,0.44600938967136156,0.25978090766823164,1390.4578117894735,0.0
145,0.7607361963190185,0.7607361963190185,0.2282208588957055,23327.69241935484,0.0
146,0.9576136363636365,0.9636363636363638,0.8030303030303032,3235.786981132075,1.0
147,0.0,0.0,0.2777777777777778,1051.71426,0.0
148,0.24472999156069883,0.25688073394495403,0.1541284403669724,567.8249892857145,0.0
149,0.0,0.0,0.1111111111111111,357.16878,0.0
150,0.0,0.0,0.2777777777777778,22407.965999999997,0.0
151,0.0,0.0,0.055555555555555566,402.8750038146977,0.0
152,0.0,0.0,0.055555555555555566,402.8750038146977,0.0
153,0.0,0.0,0.11111111111111113,402.8750038146977,0.0
154,0.0,0.0,0.055555555555555566,402.8750038146977,0.0
155,0.0,0.0,0.2777777777777778,402.8750038146977,0.0
156,0.0,0.0,0.0,402.8750038146977,0.0
157,0.0,0.0,0.11111111111111113,402.8750038146977,0.0
158,0.0,0.0,0.055555555555555566,402.8750038146977,0.0
159,0.38097410661209574,0.38775510204081626,0.23265306122448975,11007.401263157897,0.0
160,0.7134813513506105,0.715517241379311,0.42887931034482785,17118.40790361444,0.0
161,0.18874279102069177,0.19148936170212788,0.2222222222222222,15560.905699999981,0.0
162,0.25363580164188015,0.2561983471074379,0.19214876033057843,22290.744903225816,0.0
163,0.9976572642606649,1.0,1.0,706.7763,1.0
164,0.9446930030576788,0.9761904761904762,0.9151785714285713,3419.9112585365856,1.0
165,0.9428622526151947,0.9754601226993865,0.7925613496932513,4981.160261635221,1.0
166,0.9383507339657164,0.9571428571428572,0.967857142857143,5210.537134328358,1.0
167,0.2670157068062831,0.2670157068062831,0.04581151832460731,23294.57721568624,0.0
168,0.878288939805879,0.8997020854021849,0.6350838249897774,7266.376844150109,1.0
169,0.34525759271224055,0.38043478260869523,0.2046195652173912,4056.18852571429,1.0
170,0.6039704372199429,0.6172839506172838,0.2669753086419753,22276.296000000002,0.0
171,0.8801369335797764,0.9116161616161615,0.49724517906336096,7329.733808310248,1.0
172,0.9189577666374075,0.9598494353826851,0.6398996235884569,7057.344360784313,1.0
173,0.44241040370626816,0.45,0.225,12396.688,1.0
174,0.9079301599687867,0.9141630901287553,0.4155286773312524,2730.8644671361503,1.0
175,0.6939765177936446,0.6967509025270748,0.32788277765979995,3614.87970932643,1.0
176,0.9527716900698853,0.9798657718120805,0.3266219239373602,3749.7421643835614,1.0
177,0.3491651683504459,0.3699421965317919,0.24797687861271678,19664.527237500002,0.0
178,0.19360932314280854,0.2008547008547007,0.16666666666666666,4631.679497872345,1.0
179,0.053243691536968944,0.060498220640569526,0.32384341637010683,24110.583494117596,0.0
180,0.8017837693089892,0.8240740740740742,0.5393518518518519,2598.9459775280898,1.0
181,0.0,0.0,0.33333333333333337,19629.99,0.0
182,0.43558106380638567,0.45000000000000023,0.43125,19937.58888888888,0.0
