Country,alpha,beta,gamma,Financing_share,Hardening_share,No_viable_share,Mean_mR,Connected_weight
North-West Nigeria,0.5,0.3,0.6,0.5308529346075128,0.45739679883879736,0.011750266553689825,0.7043119237534933,3284361.25
North-West Nigeria,0.5,0.3,0.8,0.5236582540855584,0.4671683213167206,0.00917342459772097,0.6724731650278396,3284361.25
North-West Nigeria,0.5,0.3,1.0,0.5177793941450292,0.47304718125724987,0.00917342459772097,0.6462906702838948,3284361.25
North-West Nigeria,0.6,0.05,0.6,0.524886432041526,0.46594014336075307,0.00917342459772097,0.661179984241714,3284361.25
North-West Nigeria,0.6,0.05,0.8,0.5088902381225457,0.48193633727973323,0.00917342459772108,0.6138766855636001,3284361.25
North-West Nigeria,0.6,0.05,1.0,0.4899164149242648,0.5009101604780142,0.009173424597721025,0.5749769790868821,3284361.25
North-West Nigeria,0.6,0.15,0.6,0.5393748229534636,0.4514517524488154,0.00917342459772097,0.6804481612256857,3284361.25
North-West Nigeria,0.6,0.15,0.8,0.5225694609879561,0.4682571144143229,0.00917342459772108,0.6372581928674078,3284361.25
North-West Nigeria,0.6,0.15,1.0,0.5094720955970882,0.48135447980519086,0.00917342459772097,0.6017410695625782,3284361.25
North-West Nigeria,0.6,0.3,0.6,0.5433396243831004,0.4474869510191786,0.00917342459772108,0.7037922987254975,3284361.25
North-West Nigeria,0.6,0.3,0.8,0.5307068727213631,0.46011970268091595,0.00917342459772097,0.6655857882547132,3284361.25
North-West Nigeria,0.6,0.3,1.0,0.5225694609879561,0.4682571144143229,0.00917342459772108,0.6341667945619793,3284361.25
North-West Nigeria,0.7,0.05,0.6,0.5369764448750767,0.45385013052720236,0.00917342459772097,0.6535583067997544,3284361.25
North-West Nigeria,0.7,0.05,0.8,0.511437512745813,0.479389062656466,0.00917342459772097,0.5983711250086216,3284361.25
North-West Nigeria,0.7,0.05,1.0,0.48573795856864066,0.5050886168336384,0.00917342459772097,0.552988134119117,3284361.25
North-West Nigeria,0.7,0.15,0.6,0.5421710623094256,0.44865551309285345,0.00917342459772097,0.6760378466143881,3284361.25
North-West Nigeria,0.7,0.15,0.8,0.5206819921946024,0.4701445832076766,0.00917342459772097,0.6256495501963971,3284361.25
North-West Nigeria,0.7,0.15,1.0,0.5110525032935461,0.4797740721087329,0.00917342459772097,0.5842129063407627,3284361.25
North-West Nigeria,0.7,0.3,0.6,0.5467842759266879,0.4440422994755912,0.009173424597720858,0.703272673697502,3284361.25
North-West Nigeria,0.7,0.3,0.8,0.5386230846924326,0.45220349070984645,0.00917342459772097,0.6586984114815868,3284361.25
North-West Nigeria,0.7,0.3,1.0,0.5233087464036271,0.46751782899865185,0.00917342459772097,0.622042918840064,3284361.25
North-West Nigeria,0.8,0.05,0.6,0.5383372178779409,0.4524893575243381,0.00917342459772108,0.6459366293577948,3284361.25
North-West Nigeria,0.8,0.05,0.8,0.5093992838286334,0.48142729157364555,0.00917342459772108,0.5828655644536429,3284361.25
North-West Nigeria,0.8,0.05,1.0,0.47814246636261737,0.5126841090396617,0.00917342459772097,0.5309992891513521,3284361.25
North-West Nigeria,0.8,0.15,0.6,0.544136643904158,0.44668993149812103,0.00917342459772108,0.6716275320030904,3284361.25
North-West Nigeria,0.8,0.15,0.8,0.5315939951513069,0.45923258025097213,0.00917342459772097,0.6140409075253864,3284361.25
North-West Nigeria,0.8,0.15,1.0,0.508341345979442,0.48248522942283695,0.00917342459772097,0.5666847431189471,3284361.25
North-West Nigeria,0.8,0.3,0.6,0.5509376893577377,0.43988888604454135,0.00917342459772097,0.702753048669506,3284361.25
North-West Nigeria,0.8,0.3,0.8,0.5411282720091388,0.44969830339314015,0.00917342459772108,0.6518110347084605,3284361.25
North-West Nigeria,0.8,0.3,1.0,0.5307986867588814,0.46002788864339755,0.00917342459772108,0.6099190431181487,3284361.25
North-West Nigeria,0.9,0.05,0.6,0.5374984003697876,0.4533281750324915,0.009173424597720858,0.6383149519158352,3284361.25
North-West Nigeria,0.9,0.05,0.8,0.5127183643129994,0.47810821108927953,0.00917342459772097,0.5673600038986644,3284361.25
North-West Nigeria,0.9,0.05,1.0,0.4705477933400883,0.5202787820621908,0.009173424597720914,0.5090104441835872,3284361.25
North-West Nigeria,0.9,0.15,0.6,0.547569451482591,0.4432571239196881,0.00917342459772097,0.6672172173917928,3284361.25
North-West Nigeria,0.9,0.15,0.8,0.528016447107448,0.462810128294831,0.00917342459772108,0.602432264854376,3284361.25
North-West Nigeria,0.9,0.15,1.0,0.5013392019522334,0.48948737345004567,0.00917342459772097,0.5491565798971315,3284361.25
North-West Nigeria,0.9,0.3,0.6,0.5542754069161488,0.4365511684861301,0.00917342459772108,0.7022334236415106,3284361.25
North-West Nigeria,0.9,0.3,0.8,0.5438013336803269,0.44702524172195207,0.00917342459772108,0.6449236579353341,3284361.25
North-West Nigeria,0.9,0.3,1.0,0.5285207034606177,0.46230587194166123,0.00917342459772097,0.5977951673962333,3284361.25
